Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Anafiotika,Migniardise,5.0,360,5.0(360) · €5–10,"Migniardise
5.0(360) · €5–10
Restaurant · Veikou 30
Open ⋅ Closes 3 PM",10.886104031450156,True
Anafiotika,Victory,4.9,2405,"4.9(2,405) · €10–15","Victory
4.9(2,405) · €10–15
Restaurant ·  · Filellinon 22
Closed ⋅ Opens 9:30 AM",12.685305182539862,True
Anafiotika,Coffee Joint,4.9,1771,"4.9(1,771) · €5–10","Coffee Joint
4.9(1,771) · €5–10
Cafe · Vourvachi 5-9
Closed ⋅ Opens 6 AM Mon",12.379299637782834,True
Anafiotika,Guarantee,4.9,1460,"4.9(1,460) · €5–10","Guarantee
4.9(1,460) · €5–10
Sandwich ·  · Veikou 41
Closed ⋅ Opens 9 AM Mon",12.186191714702382,True
Anafiotika,Golden Indian Haveli,4.9,1049,"4.9(1,049) · €10–20","Golden Indian Haveli
4.9(1,049) · €10–20
Indian ·  · Αγίου Φιλίππου 10
Closed ⋅ Opens 12 PM",11.855592608396297,True
Anafiotika,Symposio Restaurant,4.9,881,4.9(881),"Symposio Restaurant
4.9(881)
Mediterranean · Apollonos 22
Closed ⋅ Opens 10 AM",11.68105762593618,True
Anafiotika,Feyrouz,4.8,5231,"4.8(5,231) · €5–10","Feyrouz
4.8(5,231) · €5–10
Middle Eastern ·  · Καρόρη 23 και, Agathonos 1
Relaxed eatery for Lebanese street fare
Closed ⋅ Opens 12 PM Mon",13.362357743370612,True
Anafiotika,Meat the Greek,4.8,3052,"4.8(3,052) · €5–10","Meat the Greek
4.8(3,052) · €5–10
Gyro · Fokionos 2-4
Closed ⋅ Opens 12 PM Mon",12.823552392404348,True
Anafiotika,A Little Taste of Home Restaurant,4.8,1970,"4.8(1,970) · $$","A Little Taste of Home Restaurant
4.8(1,970) · $$
Restaurant ·  · Astiggos 8
Closed ⋅ Opens 1 PM",12.385788821732035,True
Anafiotika,Meat n Roses Kolonaki,4.8,1738,"4.8(1,738) · €10–15","Meat n Roses Kolonaki
4.8(1,738) · €10–15
Restaurant · Amerikis 7
Closed ⋅ Opens 12 PM",12.260490305825337,True
Anafiotika,Smak Ζυμερία,4.8,1491,"4.8(1,491) · €5–10","Smak Ζυμερία
4.8(1,491) · €5–10
Fast Food · Romvis 21
Closed ⋅ Opens 1 PM",12.107202314764738,True
Anafiotika,Nissos Seafood Tavern,4.8,1070,"4.8(1,070) · €15–20","Nissos Seafood Tavern
4.8(1,070) · €15–20
Seafood ·  · Christokopidou 1
Closed ⋅ Opens 1 PM",11.77541392745595,True
Anafiotika,Seawolf Athens Restaurant,4.8,1047,"4.8(1,047) · $$","Seawolf Athens Restaurant
4.8(1,047) · $$
Restaurant ·  · Dimitrakopoulou 35
Closed ⋅ Opens 5 PM Mon",11.753684210870537,True
Anafiotika,The Frogs Guesthouse,4.8,652,4.8(652),"The Frogs Guesthouse
4.8(652)
Hotel",11.280044561926653,True
Anafiotika,PANDORA,4.8,645,4.8(645) · €5–10,"PANDORA
4.8(645) · €5–10
Restaurant · Lempesi 1
Open ⋅ Closes 3:30 PM",11.269250316795773,True
Anafiotika,Blame The Sun Athens Taproom,4.8,627,4.8(627) · €5–10,"Blame The Sun Athens Taproom
4.8(627) · €5–10
Brewpub · Veikou 60, C
Closed ⋅ Opens 5 PM",11.24094654063292,True
Anafiotika,Grande Dame Athenian Tavern,4.8,508,4.8(508) · $$,"Grande Dame Athenian Tavern
4.8(508) · $$
Grill · Nikis 46
Closed ⋅ Opens 1 PM",11.030481447578481,True
Anafiotika,Esthio Athens,4.8,446,4.8(446),"Esthio Athens
4.8(446)
Restaurant · Dimitrakopoulou 7
Closed ⋅ Opens 2 PM",10.900318952020065,True
Anafiotika,Karamanlidika,4.7,11017,"4.7(11,017) · €10–20","Karamanlidika
4.7(11,017) · €10–20
Greek ·  · Evripidou 52
Closed ⋅ Opens 8:30 AM Mon",14.007194813340064,True
Anafiotika,Ατίταμος,4.7,6762,"4.7(6,762) · €15–20","Ατίταμος
4.7(6,762) · €15–20
Greek ·  · Kapodistriou 2
Rustic spot for classic fare & a terrace
Closed ⋅ Opens 12 PM",13.51907398326783,True
Anafiotika,Aspro Alogo (i.e. White Horse) Traditional Greek Food,4.7,5139,"4.7(5,139) · €10–15","Aspro Alogo (i.e. White Horse) Traditional Greek Food
4.7(5,139) · €10–15
Greek ·  · Apollonos
Opens soon ⋅ 9 AM",13.244613786992229,True
Anafiotika,Arcadia Restaurant,4.7,4350,"4.7(4,350) · €15–25","Arcadia Restaurant
4.7(4,350) · €15–25
Greek ·  · Makrigianni 23-27
Closed ⋅ Opens 11 AM",13.077931124082731,True
Anafiotika,juicygrill_Athens (downtown),4.7,4134,"4.7(4,134) · €10–20","juicygrill_Athens (downtown)
4.7(4,134) · €10–20
Hamburger ·  · Palaión Patrón Germanoú 7
Closed ⋅ Opens 1 PM",13.027000740241714,True
Anafiotika,OROSCOPO restaurant,4.7,3974,"4.7(3,974) · $$","OROSCOPO restaurant
4.7(3,974) · $$
Mediterranean ·  · Antinoros 42-44
Airy eatery for Greek & European cuisine
Closed ⋅ Opens 1:30 PM",12.987528423111762,True
Anafiotika,Old Ithaki,4.7,3430,"4.7(3,430) · $$","Old Ithaki
4.7(3,430) · $$
Restaurant ·  · Agias Filotheis 2
Closed ⋅ Opens 11 AM",12.840315540159985,True
