Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Exarcheia,Thang Long Vietnamese Restaurant,5.0,743,5.0(743) · €10–15,"Thang Long Vietnamese Restaurant
5.0(743) · €10–15
Vietnamese ·  · Meg. Alexandrou 1
Closed ⋅ Opens 12 PM",11.61069604471776,True
Exarcheia,Falafelo Street Food,5.0,253,5.0(253) · €1–5,"Falafelo Street Food
5.0(253) · €1–5
Vegan · Soultani 2-4
Closed ⋅ Opens 2 PM",10.53338948872752,True
Exarcheia,Vegan Beat Athens,4.9,5069,"4.9(5,069) · €5–10","Vegan Beat Athens
4.9(5,069) · €5–10
Vegan · Perikleous 56
Closed ⋅ Opens 11 AM",13.43089883847235,True
Exarcheia,Geco Athens,4.9,1345,"4.9(1,345)","Geco Athens
4.9(1,345)
Restaurant ·  · Lekka 14
Open ⋅ Closes 3 AM",12.10414929203594,True
Exarcheia,Thinalos Seafood Restaurant - ΘΙΝΑΛΟΣ,4.9,1321,"4.9(1,321) · $$","Thinalos Seafood Restaurant - ΘΙΝΑΛΟΣ
4.9(1,321) · $$
Seafood ·  · Chiou 7
Closed ⋅ Opens 12 PM",12.086144304522325,True
Exarcheia,Golden Indian Haveli,4.9,1049,"4.9(1,049) · €10–20","Golden Indian Haveli
4.9(1,049) · €10–20
Indian ·  · Αγίου Φιλίππου 10
Closed ⋅ Opens 12 PM",11.855592608396297,True
Exarcheia,YALLA YALLA Athens,4.9,699,4.9(699) · €5–10,"YALLA YALLA Athens
4.9(699) · €5–10
Lebanese · Ag. Dimitriou 19
Closed ⋅ Opens 12 PM",11.44965074223381,True
Exarcheia,Feyrouz,4.8,5231,"4.8(5,231) · €5–10","Feyrouz
4.8(5,231) · €5–10
Middle Eastern ·  · Καρόρη 23 και, Agathonos 1
Relaxed eatery for Lebanese street fare
Closed ⋅ Opens 12 PM Mon",13.362357743370612,True
Exarcheia,A Little Taste of Home Restaurant,4.8,1970,"4.8(1,970) · $$","A Little Taste of Home Restaurant
4.8(1,970) · $$
Restaurant ·  · Astiggos 8
Closed ⋅ Opens 1 PM",12.385788821732035,True
Exarcheia,Meat n Roses Kolonaki,4.8,1738,"4.8(1,738) · €10–15","Meat n Roses Kolonaki
4.8(1,738) · €10–15
Restaurant · Amerikis 7
Closed ⋅ Opens 12 PM",12.260490305825337,True
Exarcheia,Nissos Seafood Tavern,4.8,1070,"4.8(1,070) · €15–20","Nissos Seafood Tavern
4.8(1,070) · €15–20
Seafood ·  · Christokopidou 1
Closed ⋅ Opens 1 PM",11.77541392745595,True
Exarcheia,Cookoomela Grill,4.8,895,4.8(895) · €5–10,"Cookoomela Grill
4.8(895) · €5–10
Vegan · Themistokleous 43
Closed ⋅ Opens 2 PM",11.596823718274855,True
Exarcheia,The Frogs Guesthouse,4.8,652,4.8(652),"The Frogs Guesthouse
4.8(652)
Hotel",11.280044561926653,True
Exarcheia,Karamanlidika,4.7,11017,"4.7(11,017) · €10–20","Karamanlidika
4.7(11,017) · €10–20
Greek ·  · Evripidou 52
Closed ⋅ Opens 8:30 AM Mon",14.007194813340064,True
Exarcheia,Ατίταμος,4.7,6762,"4.7(6,762) · €15–20","Ατίταμος
4.7(6,762) · €15–20
Greek ·  · Kapodistriou 2
Rustic spot for classic fare & a terrace
Closed ⋅ Opens 12 PM",13.51907398326783,True
Exarcheia,Falafellas (Athens),4.7,5204,"4.7(5,204) · €1–5","Falafellas (Athens)
4.7(5,204) · €1–5
Falafel · Aiolou 51
Closed ⋅ Opens 11 AM Mon",13.257182839632396,True
Exarcheia,Aspro Alogo (i.e. White Horse) Traditional Greek Food,4.7,5139,"4.7(5,139) · €10–15","Aspro Alogo (i.e. White Horse) Traditional Greek Food
4.7(5,139) · €10–15
Greek ·  · Apollonos
Opens soon ⋅ 9 AM",13.244613786992229,True
Exarcheia,juicygrill_Athens (downtown),4.7,4134,"4.7(4,134) · €10–20","juicygrill_Athens (downtown)
4.7(4,134) · €10–20
Hamburger ·  · Palaión Patrón Germanoú 7
Closed ⋅ Opens 1 PM",13.027000740241714,True
Exarcheia,Old Ithaki,4.7,3430,"4.7(3,430) · $$","Old Ithaki
4.7(3,430) · $$
Restaurant ·  · Agias Filotheis 2
Closed ⋅ Opens 11 AM",12.840315540159985,True
Exarcheia,Athena 's Cook,4.7,3419,"4.7(3,419) · €15–25","Athena 's Cook
4.7(3,419) · €15–25
Restaurant ·  · Nikis 20
Closed ⋅ Opens 10 AM",12.837103389639303,True
Exarcheia,Krasopoulio tou Kokkora,4.7,2824,"4.7(2,824) · €10–15","Krasopoulio tou Kokkora
4.7(2,824) · €10–15
Greek · Esopou 4
Closed ⋅ Opens 12:30 PM",12.645909598613134,True
Exarcheia,"Karamanlidika - Τα Καραμανλίδικα του Φάνη, Εργαστήρι - Ερμού 119",4.7,2563,"4.7(2,563) · €15–20","Karamanlidika - Τα Καραμανλίδικα του Φάνη, Εργαστήρι - Ερμού 119
4.7(2,563) · €15–20
Greek · Ermou 119
Closed ⋅ Opens 12 PM",12.548933726364071,True
Exarcheia,EATERY Bairaktaris Aiolou 29,4.7,2427,"4.7(2,427) · €10–15","EATERY Bairaktaris Aiolou 29
4.7(2,427) · €10–15
Mediterranean ·  · Aiolou 29
Opens soon ⋅ 9 AM",12.494411205726601,True
Exarcheia,Granello - Pizza Italiana,4.7,2366,"4.7(2,366) · €10–15","Granello - Pizza Italiana
4.7(2,366) · €10–15
Pizza · Perikleous 18
Closed ⋅ Opens 1 PM",12.468956044538333,True
Exarcheia,HANOI ATHENS - AUTHENTIC VIETNAMESE FOOD,4.7,2080,"4.7(2,080) · €10–15","HANOI ATHENS - AUTHENTIC VIETNAMESE FOOD
4.7(2,080) · €10–15
Vietnamese · Petraki 12
Closed ⋅ Opens 12 PM",12.340123172695364,True
