Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Gazi,Thang Long Vietnamese Restaurant,5.0,743,5.0(743) · €10–15,"Thang Long Vietnamese Restaurant
5.0(743) · €10–15
Vietnamese ·  · Meg. Alexandrou 1
Closed ⋅ Opens 12 PM",11.61069604471776,True
Gazi,Vegan Beat Athens,4.9,5069,"4.9(5,069) · €5–10","Vegan Beat Athens
4.9(5,069) · €5–10
Vegan · Perikleous 56
Closed ⋅ Opens 11 AM",13.43089883847235,True
Gazi,Geco Athens,4.9,1345,"4.9(1,345)","Geco Athens
4.9(1,345)
Restaurant ·  · Lekka 14
Open ⋅ Closes 3 AM",12.10414929203594,True
Gazi,Thinalos Seafood Restaurant - ΘΙΝΑΛΟΣ,4.9,1321,"4.9(1,321) · $$","Thinalos Seafood Restaurant - ΘΙΝΑΛΟΣ
4.9(1,321) · $$
Seafood ·  · Chiou 7
Closed ⋅ Opens 12 PM",12.086144304522325,True
Gazi,Golden Indian Haveli,4.9,1049,"4.9(1,049) · €10–20","Golden Indian Haveli
4.9(1,049) · €10–20
Indian ·  · Αγίου Φιλίππου 10
Closed ⋅ Opens 12 PM",11.855592608396297,True
Gazi,The New Era Authentic Greek Cuisine,4.9,856,4.9(856) · €15–20,"The New Era Authentic Greek Cuisine
4.9(856) · €15–20
Greek ·  · Perikleous 30-32
Closed ⋅ Opens 11:30 AM",11.652270376141743,True
Gazi,Mr Ben,4.9,309,4.9(309) · €10–15,"Mr Ben
4.9(309) · €10–15
Small Plates · Avlonos 56
Open ⋅ Closes 11 PM",10.633341276897745,True
Gazi,MIRONI Greek Restaurant,4.8,4133,"4.8(4,133) · €15–25","MIRONI Greek Restaurant
4.8(4,133) · €15–25
Greek ·  · Meg. Alexandrou 7
Closed ⋅ Opens 12 PM",13.126758814511732,True
Gazi,KARMINIO - All Day Eatery,4.8,2028,"4.8(2,028) · €10–15","KARMINIO - All Day Eatery
4.8(2,028) · €10–15
Restaurant ·  · Veikou 86
Open ⋅ Closes 2 AM",12.414805364711073,True
Gazi,A Little Taste of Home Restaurant,4.8,1970,"4.8(1,970) · $$","A Little Taste of Home Restaurant
4.8(1,970) · $$
Restaurant ·  · Astiggos 8
Closed ⋅ Opens 1 PM",12.385788821732035,True
Gazi,Ραφίκι,4.8,1947,"4.8(1,947) · €10–15","Ραφίκι
4.8(1,947) · €10–15
Restaurant ·  · Pellis 22
Closed ⋅ Opens 12 PM",12.3740450053722,True
Gazi,Stone Athens,4.8,1801,"4.8(1,801) · $$","Stone Athens
4.8(1,801) · $$
Restaurant · Adrianou 31
Open ⋅ Closes 1 AM",12.296097345175955,True
Gazi,Meat n Roses Kolonaki,4.8,1738,"4.8(1,738) · €10–15","Meat n Roses Kolonaki
4.8(1,738) · €10–15
Restaurant · Amerikis 7
Closed ⋅ Opens 12 PM",12.260490305825337,True
Gazi,Thes ''Greek Creative Cuisine'',4.8,1578,"4.8(1,578) · $$","Thes ''Greek Creative Cuisine''
4.8(1,578) · $$
Restaurant · Taki 16
Closed ⋅ Opens 12:30 PM",12.163913501405819,True
Gazi,Seawolf Athens Restaurant,4.8,1047,"4.8(1,047) · $$","Seawolf Athens Restaurant
4.8(1,047) · $$
Restaurant ·  · Dimitrakopoulou 35
Closed ⋅ Opens 5 PM Mon",11.753684210870537,True
Gazi,Soil restaurant,4.8,996,4.8(996) · €50+,"Soil restaurant
4.8(996) · €50+
Fine Dining · Ferekidou 5
Closed ⋅ Opens 6:30 PM Mon",11.703747257584599,True
Gazi,PANDORA,4.8,645,4.8(645) · €5–10,"PANDORA
4.8(645) · €5–10
Restaurant · Lempesi 1
Open ⋅ Closes 3:30 PM",11.269250316795773,True
Gazi,Athena Greek Gastronomy,4.8,348,4.8(348) · €5–10,"Athena Greek Gastronomy
4.8(348) · €5–10
Greek · Karaiskaki 3
Closed ⋅ Opens 12 PM Mon",10.652202479774473,True
Gazi,Ατίταμος,4.7,6762,"4.7(6,762) · €15–20","Ατίταμος
4.7(6,762) · €15–20
Greek ·  · Kapodistriou 2
Rustic spot for classic fare & a terrace
Closed ⋅ Opens 12 PM",13.51907398326783,True
Gazi,Aspro Alogo (i.e. White Horse) Traditional Greek Food,4.7,5139,"4.7(5,139) · €10–15","Aspro Alogo (i.e. White Horse) Traditional Greek Food
4.7(5,139) · €10–15
Greek ·  · Apollonos
Opens soon ⋅ 9 AM",13.244613786992229,True
Gazi,juicygrill_Athens (downtown),4.7,4134,"4.7(4,134) · €10–20","juicygrill_Athens (downtown)
4.7(4,134) · €10–20
Hamburger ·  · Palaión Patrón Germanoú 7
Closed ⋅ Opens 1 PM",13.027000740241714,True
Gazi,OROSCOPO restaurant,4.7,3974,"4.7(3,974) · $$","OROSCOPO restaurant
4.7(3,974) · $$
Mediterranean ·  · Antinoros 42-44
Airy eatery for Greek & European cuisine
Closed ⋅ Opens 1:30 PM",12.987528423111762,True
Gazi,Athena 's Cook,4.7,3420,"4.7(3,420) · €15–25","Athena 's Cook
4.7(3,420) · €15–25
Restaurant ·  · Nikis 20
Closed ⋅ Opens 10 AM",12.83739583005665,True
Gazi,GREEK STORIES,4.7,2681,"4.7(2,681) · €15–20","GREEK STORIES
4.7(2,681) · €15–20
Greek ·  · Makrigianni 19-21
Relaxed eatery for classic delicacies
Closed ⋅ Opens 12 PM",12.59394513823596,True
Gazi,Eleas Gi,4.7,2437,"4.7(2,437) · €50+","Eleas Gi
4.7(2,437) · €50+
Greek · 
Closed ⋅ Opens 1 PM",12.498523053625206,True
