Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Koukaki,Migniardise,5.0,360,5.0(360) · €5–10,"Migniardise
5.0(360) · €5–10
Restaurant · Veikou 30
Open ⋅ Closes 3 PM",10.886104031450156,True
Koukaki,Coffee Joint,4.9,1771,"4.9(1,771) · €5–10","Coffee Joint
4.9(1,771) · €5–10
Cafe · Vourvachi 5-9
Closed ⋅ Opens 6 AM Mon",12.379299637782834,True
Koukaki,Guarantee,4.9,1460,"4.9(1,460) · €5–10","Guarantee
4.9(1,460) · €5–10
Sandwich ·  · Veikou 41
Closed ⋅ Opens 9 AM Mon",12.186191714702382,True
Koukaki,Herve Restaurant,4.9,778,4.9(778) · €50+,"Herve Restaurant
4.9(778) · €50+
Fine Dining · Trion Ierarchon 170
Closed ⋅ Opens 7:30 PM Tue",11.55672652417839,True
Koukaki,Mama Tierra Acropolis - Vegan street food,4.9,490,4.9(490) · €5–10,"Mama Tierra Acropolis - Vegan street food
4.9(490) · €5–10
Vegan · Chatzichristou 29
Closed ⋅ Opens 12 PM",11.094405391104672,True
Koukaki,Crete,4.9,412,4.9(412) · €1–5,"Crete
4.9(412) · €1–5
Sandwich · Ipponaktos 54
Closed ⋅ Opens 8 AM Mon",10.921023349349527,True
Koukaki,Kouzineta Restaurant,4.9,288,4.9(288) · €10–15,"Kouzineta Restaurant
4.9(288) · €10–15
Traditional restaurant · Veikou 107
Closed ⋅ Opens 12:30 PM",10.562960480135946,True
Koukaki,KARMINIO - All Day Eatery,4.8,2028,"4.8(2,028) · €10–15","KARMINIO - All Day Eatery
4.8(2,028) · €10–15
Restaurant ·  · Veikou 86
Open ⋅ Closes 2 AM",12.414805364711073,True
Koukaki,PARKBENCH,4.8,1390,"4.8(1,390) · $$","PARKBENCH
4.8(1,390) · $$
Restaurant ·  · Pramanton 10
Closed ⋅ Opens 1:30 PM",12.037059026124737,True
Koukaki,Neratzia Cafe Bistro,4.8,1214,"4.8(1,214) · €10–15","Neratzia Cafe Bistro
4.8(1,214) · €10–15
Bistro ·  · Zan Moreas 6
Open ⋅ Closes 1 AM",11.901675971619444,True
Koukaki,Seawolf Athens Restaurant,4.8,1047,"4.8(1,047) · $$","Seawolf Athens Restaurant
4.8(1,047) · $$
Restaurant ·  · Dimitrakopoulou 35
Closed ⋅ Opens 5 PM Mon",11.753684210870537,True
Koukaki,Thomas 1971 Tavern,4.8,840,4.8(840) · $$,"Thomas 1971 Tavern
4.8(840) · $$
Restaurant · Dimitrakopoulou 18
Closed ⋅ Opens 12:30 PM",11.533401891837359,True
Koukaki,Kalamakeri,4.8,826,4.8(826) · €10–15,"Kalamakeri
4.8(826) · €10–15
Restaurant ·  · Leontiou 11
Closed ⋅ Opens 1 PM Mon",11.516594773520978,True
Koukaki,Strange Brew Taproom & Bottleshop,4.8,805,4.8(805) · €5–10,"Strange Brew Taproom & Bottleshop
4.8(805) · €5–10
Beer hall · Falirou 86
Closed ⋅ Opens 2 PM",11.490842277418563,True
Koukaki,PANDORA,4.8,645,4.8(645) · €5–10,"PANDORA
4.8(645) · €5–10
Restaurant · Lempesi 1
Open ⋅ Closes 3:30 PM",11.269250316795773,True
Koukaki,Blame The Sun Athens Taproom,4.8,627,4.8(627) · €5–10,"Blame The Sun Athens Taproom
4.8(627) · €5–10
Brewpub · Veikou 60, C
Closed ⋅ Opens 5 PM",11.24094654063292,True
Koukaki,VOVA FOOD BAR,4.8,623,4.8(623) · €10–15,"VOVA FOOD BAR
4.8(623) · €10–15
Restaurant ·  · Veikou 8
Open ⋅ Closes 3:30 AM",11.234546518787454,True
Koukaki,Bite Box,4.8,573,4.8(573) · €5–10,"Bite Box
4.8(573) · €5–10
Breakfast ·  · Veikou 84
Opens soon ⋅ 9 AM",11.15088571671474,True
Koukaki,falafel bar ΤΟ ΡΕΒΙΘΙ,4.8,516,4.8(516) · €1–5,"falafel bar ΤΟ ΡΕΒΙΘΙ
4.8(516) · €1–5
Restaurant · Parthenonos 1
Closed ⋅ Opens 12 PM",11.046106765481563,True
Koukaki,Esthio Athens,4.8,446,4.8(446),"Esthio Athens
4.8(446)
Restaurant · Dimitrakopoulou 7
Closed ⋅ Opens 2 PM",10.900318952020065,True
Koukaki,Mother Vegan Cafe Bistro,4.8,339,4.8(339) · €5–10,"Mother Vegan Cafe Bistro
4.8(339) · €5–10
Vegan · Δημητρακοπούλου, Agiou Nikolaou 95
Closed ⋅ Opens 10 AM",10.626000107380449,True
Koukaki,Psiloritis,4.8,279,4.8(279) · €10–15,"Psiloritis
4.8(279) · €10–15
Family-friendly · Sokratous 19
Opens soon ⋅ 9 AM",10.431211781821364,True
Koukaki,Arcadia Restaurant,4.7,4351,"4.7(4,351) · €15–25","Arcadia Restaurant
4.7(4,351) · €15–25
Greek ·  · Makrigianni 23-27
Closed ⋅ Opens 11 AM",13.078160982720679,True
Koukaki,TUK TUK THAI STREET FOOD,4.7,2793,"4.7(2,793) · €10–15","TUK TUK THAI STREET FOOD
4.7(2,793) · €10–15
Thai ·  · Veikou 40
Narrow outpost for casual Thai fare
Closed ⋅ Opens 5 PM",12.634871565945177,True
Koukaki,"Yard, all day bar restaurant",4.7,2388,"4.7(2,388) · $$","Yard, all day bar restaurant
4.7(2,388) · $$
Restaurant ·  · Makrigianni 17
Open ⋅ Closes 12:30 AM",12.478211474512493,True
