Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Kypseli,Thang Long Vietnamese Restaurant,5.0,743,5.0(743) · €10–15,"Thang Long Vietnamese Restaurant
5.0(743) · €10–15
Vietnamese ·  · Meg. Alexandrou 1
Closed ⋅ Opens 12 PM",11.61069604471776,True
Kypseli,Vegan Beat Athens,4.9,5069,"4.9(5,069) · €5–10","Vegan Beat Athens
4.9(5,069) · €5–10
Vegan · Perikleous 56
Closed ⋅ Opens 11 AM",13.43089883847235,True
Kypseli,Victory,4.9,2405,"4.9(2,405) · €10–15","Victory
4.9(2,405) · €10–15
Restaurant ·  · Filellinon 22
Closed ⋅ Opens 9:30 AM",12.685305182539862,True
Kypseli,Geco Athens,4.9,1345,"4.9(1,345)","Geco Athens
4.9(1,345)
Restaurant ·  · Lekka 14
Open ⋅ Closes 3 AM",12.10414929203594,True
Kypseli,Thinalos Seafood Restaurant - ΘΙΝΑΛΟΣ,4.9,1321,"4.9(1,321) · $$","Thinalos Seafood Restaurant - ΘΙΝΑΛΟΣ
4.9(1,321) · $$
Seafood ·  · Chiou 7
Closed ⋅ Opens 12 PM",12.086144304522325,True
Kypseli,Golden Indian Haveli,4.9,1049,"4.9(1,049) · €10–20","Golden Indian Haveli
4.9(1,049) · €10–20
Indian ·  · Αγίου Φιλίππου 10
Closed ⋅ Opens 12 PM",11.855592608396297,True
Kypseli,ETHIOPIAN FOOD KIYYAA Cafe & Restaurant,4.9,788,4.9(788) · €10–15,"ETHIOPIAN FOOD KIYYAA Cafe & Restaurant
4.9(788) · €10–15
Ethiopian · Ioánnou Drosopoúlou 40
Closed ⋅ Opens 2 PM",11.56949808985788,True
Kypseli,Mr Ben,4.9,309,4.9(309) · €10–15,"Mr Ben
4.9(309) · €10–15
Small Plates · Avlonos 56
Opens soon ⋅ 9 AM",10.633341276897745,True
Kypseli,TO MIKIO,4.9,284,4.9(284) · €10–15,"TO MIKIO
4.9(284) · €10–15
Small Plates · Ioánnou Drosopoúlou 14
Closed ⋅ Opens 10 AM",10.548974238161207,True
Kypseli,MIRONI Greek Restaurant,4.8,4133,"4.8(4,133) · €15–25","MIRONI Greek Restaurant
4.8(4,133) · €15–25
Greek ·  · Meg. Alexandrou 7
Closed ⋅ Opens 12 PM",13.126758814511732,True
Kypseli,A Little Taste of Home Restaurant,4.8,1970,"4.8(1,970) · $$","A Little Taste of Home Restaurant
4.8(1,970) · $$
Restaurant ·  · Astiggos 8
Closed ⋅ Opens 1 PM",12.385788821732035,True
Kypseli,Meat n Roses Kolonaki,4.8,1738,"4.8(1,738) · €10–15","Meat n Roses Kolonaki
4.8(1,738) · €10–15
Restaurant · Amerikis 7
Closed ⋅ Opens 12 PM",12.260490305825337,True
Kypseli,Nissos Seafood Tavern,4.8,1070,"4.8(1,070) · €15–20","Nissos Seafood Tavern
4.8(1,070) · €15–20
Seafood ·  · Christokopidou 1
Closed ⋅ Opens 1 PM",11.77541392745595,True
Kypseli,PANDORA,4.8,645,4.8(645) · €5–10,"PANDORA
4.8(645) · €5–10
Restaurant · Lempesi 1
Open ⋅ Closes 3:30 PM",11.269250316795773,True
Kypseli,Athena Greek Gastronomy,4.8,348,4.8(348) · €5–10,"Athena Greek Gastronomy
4.8(348) · €5–10
Greek · Karaiskaki 3
Closed ⋅ Opens 12 PM Mon",10.652202479774473,True
Kypseli,Karamanlidika,4.7,11017,"4.7(11,017) · €10–20","Karamanlidika
4.7(11,017) · €10–20
Greek ·  · Evripidou 52
Closed ⋅ Opens 8:30 AM Mon",14.007194813340064,True
Kypseli,Arch Beer House,4.7,8644,"4.7(8,644) · €10–20","Arch Beer House
4.7(8,644) · €10–20
Gastropub ·  · Eth. Antistaseos 91
Closed ⋅ Opens 7 PM",13.764620717626777,True
Kypseli,Aspro Alogo (i.e. White Horse) Traditional Greek Food,4.7,5139,"4.7(5,139) · €10–15","Aspro Alogo (i.e. White Horse) Traditional Greek Food
4.7(5,139) · €10–15
Greek ·  · Apollonos
Opens soon ⋅ 9 AM",13.244613786992229,True
Kypseli,Arcadia Restaurant,4.7,4350,"4.7(4,350) · €15–25","Arcadia Restaurant
4.7(4,350) · €15–25
Greek ·  · Makrigianni 23-27
Closed ⋅ Opens 11 AM",13.077931124082731,True
Kypseli,juicygrill_Athens (downtown),4.7,4134,"4.7(4,134) · €10–20","juicygrill_Athens (downtown)
4.7(4,134) · €10–20
Hamburger ·  · Palaión Patrón Germanoú 7
Closed ⋅ Opens 1 PM",13.027000740241714,True
Kypseli,Old Ithaki,4.7,3430,"4.7(3,430) · $$","Old Ithaki
4.7(3,430) · $$
Restaurant ·  · Agias Filotheis 2
Closed ⋅ Opens 11 AM",12.840315540159985,True
Kypseli,Athena 's Cook,4.7,3420,"4.7(3,420) · €15–25","Athena 's Cook
4.7(3,420) · €15–25
Restaurant ·  · Nikis 20
Closed ⋅ Opens 10 AM",12.83739583005665,True
Kypseli,Krasopoulio tou Kokkora,4.7,2824,"4.7(2,824) · €10–15","Krasopoulio tou Kokkora
4.7(2,824) · €10–15
Greek · Esopou 4
Closed ⋅ Opens 12:30 PM",12.645909598613134,True
Kypseli,"Karamanlidika - Τα Καραμανλίδικα του Φάνη, Εργαστήρι - Ερμού 119",4.7,2563,"4.7(2,563) · €15–20","Karamanlidika - Τα Καραμανλίδικα του Φάνη, Εργαστήρι - Ερμού 119
4.7(2,563) · €15–20
Greek · Ermou 119
Closed ⋅ Opens 12 PM",12.548933726364071,True
Kypseli,EATERY Bairaktaris Aiolou 29,4.7,2427,"4.7(2,427) · €10–15","EATERY Bairaktaris Aiolou 29
4.7(2,427) · €10–15
Mediterranean ·  · Aiolou 29
Opens soon ⋅ 9 AM",12.494411205726601,True
