Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Metaxourgeio,Thang Long Vietnamese Restaurant,5.0,743,5.0(743) · €10–15,"Thang Long Vietnamese Restaurant
5.0(743) · €10–15
Vietnamese ·  · Meg. Alexandrou 1
Closed ⋅ Opens 12 PM",11.61069604471776,True
Metaxourgeio,Vegan Beat Athens,4.9,5069,"4.9(5,069) · €5–10","Vegan Beat Athens
4.9(5,069) · €5–10
Vegan · Perikleous 56
Closed ⋅ Opens 11 AM",13.43089883847235,True
Metaxourgeio,Thinalos Seafood Restaurant - ΘΙΝΑΛΟΣ,4.9,1321,"4.9(1,321) · $$","Thinalos Seafood Restaurant - ΘΙΝΑΛΟΣ
4.9(1,321) · $$
Seafood ·  · Chiou 7
Closed ⋅ Opens 12 PM",12.086144304522325,True
Metaxourgeio,Aesopou Fables,4.9,1062,"4.9(1,062)","Aesopou Fables
4.9(1,062)
Greek · Esopou 9
Closed ⋅ Opens 12:30 PM",11.867909201801885,True
Metaxourgeio,Golden Indian Haveli,4.9,1049,"4.9(1,049) · €10–20","Golden Indian Haveli
4.9(1,049) · €10–20
Indian ·  · Αγίου Φιλίππου 10
Closed ⋅ Opens 12 PM",11.855592608396297,True
Metaxourgeio,Symposio Restaurant,4.9,881,4.9(881),"Symposio Restaurant
4.9(881)
Mediterranean · Apollonos 22
Closed ⋅ Opens 10 AM",11.68105762593618,True
Metaxourgeio,The New Era Authentic Greek Cuisine,4.9,856,4.9(856) · €15–20,"The New Era Authentic Greek Cuisine
4.9(856) · €15–20
Greek ·  · Perikleous 30-32
Closed ⋅ Opens 11:30 AM",11.652270376141743,True
Metaxourgeio,Feyrouz,4.8,5231,"4.8(5,231) · €5–10","Feyrouz
4.8(5,231) · €5–10
Middle Eastern ·  · Καρόρη 23 και, Agathonos 1
Relaxed eatery for Lebanese street fare
Closed ⋅ Opens 12 PM Mon",13.362357743370612,True
Metaxourgeio,MIRONI Greek Restaurant,4.8,4133,"4.8(4,133) · €15–25","MIRONI Greek Restaurant
4.8(4,133) · €15–25
Greek ·  · Meg. Alexandrou 7
Closed ⋅ Opens 12 PM",13.126758814511732,True
Metaxourgeio,Meat the Greek,4.8,3052,"4.8(3,052) · €5–10","Meat the Greek
4.8(3,052) · €5–10
Gyro · Fokionos 2-4
Closed ⋅ Opens 12 PM Mon",12.823552392404348,True
Metaxourgeio,A Little Taste of Home Restaurant,4.8,1970,"4.8(1,970) · $$","A Little Taste of Home Restaurant
4.8(1,970) · $$
Restaurant ·  · Astiggos 8
Closed ⋅ Opens 1 PM",12.385788821732035,True
Metaxourgeio,Ραφίκι,4.8,1947,"4.8(1,947) · €10–15","Ραφίκι
4.8(1,947) · €10–15
Restaurant ·  · Pellis 22
Closed ⋅ Opens 12 PM",12.3740450053722,True
