Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Monastiraki,Vegan Beat Athens,4.9,5069,"4.9(5,069) · €5–10","Vegan Beat Athens
4.9(5,069) · €5–10
Vegan · Perikleous 56
Closed ⋅ Opens 11 AM",13.43089883847235,True
Monastiraki,Golden Indian Haveli,4.9,1049,"4.9(1,049) · €10–20","Golden Indian Haveli
4.9(1,049) · €10–20
Indian ·  · Αγίου Φιλίππου 10
Closed ⋅ Opens 12 PM",11.855592608396297,True
Monastiraki,Symposio Restaurant,4.9,881,4.9(881),"Symposio Restaurant
4.9(881)
Mediterranean · Apollonos 22
Closed ⋅ Opens 10 AM",11.68105762593618,True
Monastiraki,Feyrouz,4.8,5231,"4.8(5,231) · €5–10","Feyrouz
4.8(5,231) · €5–10
Middle Eastern ·  · Καρόρη 23 και, Agathonos 1
Relaxed eatery for Lebanese street fare
Closed ⋅ Opens 12 PM Mon",13.362357743370612,True
Monastiraki,MIRONI Greek Restaurant,4.8,4133,"4.8(4,133) · €15–25","MIRONI Greek Restaurant
4.8(4,133) · €15–25
Greek ·  · Meg. Alexandrou 7
Closed ⋅ Opens 12 PM",13.126758814511732,True
Monastiraki,Bandiera,4.8,3678,"4.8(3,678) · €15–20","Bandiera
4.8(3,678) · €15–20
Restaurant · Taki 19
Closed ⋅ Opens 1 PM",13.010124405164266,True
Monastiraki,Meat the Greek,4.8,3052,"4.8(3,052) · €5–10","Meat the Greek
4.8(3,052) · €5–10
Gyro · Fokionos 2-4
Closed ⋅ Opens 12 PM Mon",12.823552392404348,True
Monastiraki,A Little Taste of Home Restaurant,4.8,1970,"4.8(1,970) · $$","A Little Taste of Home Restaurant
4.8(1,970) · $$
Restaurant ·  · Astiggos 8
Closed ⋅ Opens 1 PM",12.385788821732035,True
Monastiraki,Stone Athens,4.8,1801,"4.8(1,801) · $$","Stone Athens
4.8(1,801) · $$
Restaurant · Adrianou 31
Open ⋅ Closes 1 AM",12.296097345175955,True
Monastiraki,Thes ''Greek Creative Cuisine'',4.8,1578,"4.8(1,578) · $$","Thes ''Greek Creative Cuisine''
4.8(1,578) · $$
Restaurant · Taki 16
Closed ⋅ Opens 12:30 PM",12.163913501405819,True
Monastiraki,Smak Ζυμερία,4.8,1491,"4.8(1,491) · €5–10","Smak Ζυμερία
4.8(1,491) · €5–10
Fast Food · Romvis 21
Closed ⋅ Opens 1 PM",12.107202314764738,True
Monastiraki,Nissos Seafood Tavern,4.8,1070,"4.8(1,070) · €15–20","Nissos Seafood Tavern
4.8(1,070) · €15–20
Seafood ·  · Christokopidou 1
Closed ⋅ Opens 1 PM",11.77541392745595,True
Monastiraki,The Frogs Guesthouse,4.8,652,4.8(652),"The Frogs Guesthouse
4.8(652)
Hotel",11.280044561926653,True
Monastiraki,PANDORA,4.8,645,4.8(645) · €5–10,"PANDORA
4.8(645) · €5–10
Restaurant · Lempesi 1
Open ⋅ Closes 3:30 PM",11.269250316795773,True
Monastiraki,Karamanlidika,4.7,11017,"4.7(11,017) · €10–20","Karamanlidika
4.7(11,017) · €10–20
Greek ·  · Evripidou 52
Closed ⋅ Opens 8:30 AM Mon",14.007194813340064,True
Monastiraki,Ατίταμος,4.7,6762,"4.7(6,762) · €15–20","Ατίταμος
4.7(6,762) · €15–20
Greek ·  · Kapodistriou 2
Rustic spot for classic fare & a terrace
Closed ⋅ Opens 12 PM",13.51907398326783,True
Monastiraki,Falafellas (Athens),4.7,5204,"4.7(5,204) · €1–5","Falafellas (Athens)
4.7(5,204) · €1–5
Falafel · Aiolou 51
Closed ⋅ Opens 11 AM Mon",13.257182839632396,True
Monastiraki,Aspro Alogo (i.e. White Horse) Traditional Greek Food,4.7,5139,"4.7(5,139) · €10–15","Aspro Alogo (i.e. White Horse) Traditional Greek Food
4.7(5,139) · €10–15
Greek ·  · Apollonos
Opens soon ⋅ 9 AM",13.244613786992229,True
Monastiraki,The Brunchers,4.7,4881,"4.7(4,881) · €10–15","The Brunchers
4.7(4,881) · €10–15
Brunch ·  · Ag. Theklas 5
Open ⋅ Closes 6 PM",13.193105395887148,True
Monastiraki,juicygrill_Athens (downtown),4.7,4134,"4.7(4,134) · €10–20","juicygrill_Athens (downtown)
4.7(4,134) · €10–20
Hamburger ·  · Palaión Patrón Germanoú 7
Closed ⋅ Opens 1 PM",13.027000740241714,True
Monastiraki,Old Ithaki,4.7,3430,"4.7(3,430) · $$","Old Ithaki
4.7(3,430) · $$
Restaurant ·  · Agias Filotheis 2
Closed ⋅ Opens 11 AM",12.840315540159985,True
Monastiraki,Athena 's Cook,4.7,3419,"4.7(3,419) · €15–25","Athena 's Cook
4.7(3,419) · €15–25
Restaurant ·  · Nikis 20
Closed ⋅ Opens 10 AM",12.837103389639303,True
Monastiraki,The Kyklamino,4.7,3361,"4.7(3,361) · €10–15","The Kyklamino
4.7(3,361) · €10–15
Small Plates ·  · Pl. Avissinias 3
Closed ⋅ Opens 11 AM",12.819993827725106,True
Monastiraki,Krasopoulio tou Kokkora,4.7,2824,"4.7(2,824) · €10–15","Krasopoulio tou Kokkora
4.7(2,824) · €10–15
Greek · Esopou 4
Closed ⋅ Opens 12:30 PM",12.645909598613134,True
Monastiraki,GREEK STORIES,4.7,2681,"4.7(2,681) · €15–20","GREEK STORIES
4.7(2,681) · €15–20
Greek ·  · Makrigianni 19-21
Relaxed eatery for classic delicacies
Closed ⋅ Opens 12 PM",12.59394513823596,True
