Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Neos Kosmos,Migniardise,5.0,360,5.0(360) · €5–10,"Migniardise
5.0(360) · €5–10
Restaurant · Veikou 30
Open ⋅ Closes 3 PM",10.886104031450156,True
Neos Kosmos,Vegan Beat Athens,4.9,5069,"4.9(5,069) · €5–10","Vegan Beat Athens
4.9(5,069) · €5–10
Vegan · Perikleous 56
Closed ⋅ Opens 11 AM",13.43089883847235,True
Neos Kosmos,Coffee Joint,4.9,1771,"4.9(1,771) · €5–10","Coffee Joint
4.9(1,771) · €5–10
Cafe · Vourvachi 5-9
Closed ⋅ Opens 6 AM Mon",12.379299637782834,True
Neos Kosmos,Romatella - Pinsa Romana,4.9,1061,"4.9(1,061) · €5–10","Romatella - Pinsa Romana
4.9(1,061) · €5–10
Pizza · Falirou 4
Temporarily closed",11.866967138613983,True
Neos Kosmos,The Empiro Grill,4.9,790,4.9(790) · €1–5,"The Empiro Grill
4.9(790) · €1–5
Restaurant ·  · Irakleous 28
Closed ⋅ Opens 1 PM Mon",11.572032945461068,True
Neos Kosmos,Crete,4.9,412,4.9(412) · €1–5,"Crete
4.9(412) · €1–5
Sandwich · Ipponaktos 54
Closed ⋅ Opens 8 AM Mon",10.921023349349527,True
Neos Kosmos,Crete,4.9,412,4.9(412) · €1–5,"Crete
4.9(412) · €1–5
Sandwich · Ipponaktos 54
Closed ⋅ Opens 8 AM Mon",10.921023349349527,True
Neos Kosmos,Ya Zhou,4.9,358,4.9(358),"Ya Zhou
4.9(358)
Asian · Lepeniotou 26
Closed ⋅ Opens 1 PM",10.7805329864007,True
Neos Kosmos,Chimichurri Athens,4.9,349,4.9(349),"Chimichurri Athens
4.9(349)
Restaurant · Nileos 11
Closed ⋅ Opens 12 PM",10.755071922202427,True
Neos Kosmos,MIRONI Greek Restaurant,4.8,4133,"4.8(4,133) · €15–25","MIRONI Greek Restaurant
4.8(4,133) · €15–25
Greek ·  · Meg. Alexandrou 7
Closed ⋅ Opens 12 PM",13.126758814511732,True
Neos Kosmos,Bandiera,4.8,3678,"4.8(3,678) · €15–20","Bandiera
4.8(3,678) · €15–20
Restaurant · Taki 19
Closed ⋅ Opens 1 PM",13.010124405164266,True
Neos Kosmos,KARMINIO - All Day Eatery,4.8,2028,"4.8(2,028) · €10–15","KARMINIO - All Day Eatery
4.8(2,028) · €10–15
Restaurant ·  · Veikou 86
Open ⋅ Closes 2 AM",12.414805364711073,True
Neos Kosmos,A Little Taste of Home Restaurant,4.8,1970,"4.8(1,970) · $$","A Little Taste of Home Restaurant
4.8(1,970) · $$
Restaurant ·  · Astiggos 8
Closed ⋅ Opens 1 PM",12.385788821732035,True
Neos Kosmos,Meat n Roses Kolonaki,4.8,1738,"4.8(1,738) · €10–15","Meat n Roses Kolonaki
4.8(1,738) · €10–15
Restaurant · Amerikis 7
Closed ⋅ Opens 12 PM",12.260490305825337,True
Neos Kosmos,Usurum Brunch & Cocktails,4.8,1620,"4.8(1,620) · €10–15","Usurum Brunch & Cocktails
4.8(1,620) · €10–15
Breakfast ·  · Lepeniotou 19
Open ⋅ Closes 7 PM",12.19018142822643,True
Neos Kosmos,Thes ''Greek Creative Cuisine'',4.8,1578,"4.8(1,578) · $$","Thes ''Greek Creative Cuisine''
4.8(1,578) · $$
Restaurant · Taki 16
Closed ⋅ Opens 12:30 PM",12.163913501405819,True
Neos Kosmos,Kalamakeri,4.8,826,4.8(826) · €10–15,"Kalamakeri
4.8(826) · €10–15
Restaurant ·  · Leontiou 11
Closed ⋅ Opens 1 PM Mon",11.516594773520978,True
Neos Kosmos,PANDORA,4.8,645,4.8(645) · €5–10,"PANDORA
4.8(645) · €5–10
Restaurant · Lempesi 1
Open ⋅ Closes 3:30 PM",11.269250316795773,True
Neos Kosmos,Dinner in the Sky Athens,4.8,638,4.8(638) · €50+,"Dinner in the Sky Athens
4.8(638) · €50+
Restaurant ·  · Technopolis
Temporarily closed",11.25833828334479,True
Neos Kosmos,Blame The Sun Athens Taproom,4.8,627,4.8(627) · €5–10,"Blame The Sun Athens Taproom
4.8(627) · €5–10
Brewpub · Veikou 60, C
Closed ⋅ Opens 5 PM",11.24094654063292,True
Neos Kosmos,Me geusi kitro,4.8,355,4.8(355) · $$,"Me geusi kitro
4.8(355) · $$
Restaurant · Machis Analatou 49
Closed ⋅ Opens 6 PM Mon",10.672117789475415,True
Neos Kosmos,Aspro Alogo (i.e. White Horse) Traditional Greek Food,4.7,5139,"4.7(5,139) · €10–15","Aspro Alogo (i.e. White Horse) Traditional Greek Food
4.7(5,139) · €10–15
Greek ·  · Apollonos
Opens soon ⋅ 9 AM",13.244613786992229,True
Neos Kosmos,juicygrill_Athens (downtown),4.7,4134,"4.7(4,134) · €10–20","juicygrill_Athens (downtown)
4.7(4,134) · €10–20
Hamburger ·  · Palaión Patrón Germanoú 7
Closed ⋅ Opens 1 PM",13.027000740241714,True
Neos Kosmos,EATERY Bairaktaris Aiolou 29,4.7,2427,"4.7(2,427) · €10–15","EATERY Bairaktaris Aiolou 29
4.7(2,427) · €10–15
Mediterranean ·  · Aiolou 29
Opens soon ⋅ 9 AM",12.494411205726601,True
Neos Kosmos,"Yard, all day bar restaurant",4.7,2387,"4.7(2,387) · $$","Yard, all day bar restaurant
4.7(2,387) · $$
Restaurant ·  · Makrigianni 17
Open ⋅ Closes 12:30 AM",12.47779262633883,True
