Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
"Omonoia, Athens",Migniardise,5.0,360,5.0(360) · €5–10,"Migniardise
5.0(360) · €5–10
Restaurant · Veikou 30
Open ⋅ Closes 3 PM",10.886104031450156,True
"Omonoia, Athens",Falafelo Street Food,5.0,253,5.0(253) · €1–5,"Falafelo Street Food
5.0(253) · €1–5
Vegan · Soultani 2-4
Closed ⋅ Opens 2 PM",10.53338948872752,True
"Omonoia, Athens",Vegan Beat Athens,4.9,5069,"4.9(5,069) · €5–10","Vegan Beat Athens
4.9(5,069) · €5–10
Vegan · Perikleous 56
Closed ⋅ Opens 11 AM",13.43089883847235,True
"Omonoia, Athens",Thinalos Seafood Restaurant - ΘΙΝΑΛΟΣ,4.9,1321,"4.9(1,321) · $$","Thinalos Seafood Restaurant - ΘΙΝΑΛΟΣ
4.9(1,321) · $$
Seafood ·  · Chiou 7
Closed ⋅ Opens 12 PM",12.086144304522325,True
"Omonoia, Athens",Ya Zhou,4.9,358,4.9(358),"Ya Zhou
4.9(358)
Asian · Lepeniotou 26
Closed ⋅ Opens 1 PM",10.7805329864007,True
"Omonoia, Athens",Chimichurri Athens,4.9,349,4.9(349),"Chimichurri Athens
4.9(349)
Restaurant · Nileos 11
Closed ⋅ Opens 12 PM",10.755071922202427,True
"Omonoia, Athens",MIRONI Greek Restaurant,4.8,4133,"4.8(4,133) · €15–25","MIRONI Greek Restaurant
4.8(4,133) · €15–25
Greek ·  · Meg. Alexandrou 7
Closed ⋅ Opens 12 PM",13.126758814511732,True
"Omonoia, Athens",Bandiera,4.8,3678,"4.8(3,678) · €15–20","Bandiera
4.8(3,678) · €15–20
Restaurant · Taki 19
Closed ⋅ Opens 1 PM",13.010124405164266,True
"Omonoia, Athens",KARMINIO - All Day Eatery,4.8,2028,"4.8(2,028) · €10–15","KARMINIO - All Day Eatery
4.8(2,028) · €10–15
Restaurant ·  · Veikou 86
Open ⋅ Closes 2 AM",12.414805364711073,True
"Omonoia, Athens",A Little Taste of Home Restaurant,4.8,1970,"4.8(1,970) · $$","A Little Taste of Home Restaurant
4.8(1,970) · $$
Restaurant ·  · Astiggos 8
Closed ⋅ Opens 1 PM",12.385788821732035,True
"Omonoia, Athens",Meat n Roses Kolonaki,4.8,1738,"4.8(1,738) · €10–15","Meat n Roses Kolonaki
4.8(1,738) · €10–15
Restaurant · Amerikis 7
Closed ⋅ Opens 12 PM",12.260490305825337,True
"Omonoia, Athens",Thes ''Greek Creative Cuisine'',4.8,1578,"4.8(1,578) · $$","Thes ''Greek Creative Cuisine''
4.8(1,578) · $$
Restaurant · Taki 16
Closed ⋅ Opens 12:30 PM",12.163913501405819,True
"Omonoia, Athens",Mentirosa - Tacos & Cocktails,4.8,492,4.8(492),"Mentirosa - Tacos & Cocktails
4.8(492)
Mexican · Thermopilon 41
Closed ⋅ Opens 12 PM",10.998478716492308,True
"Omonoia, Athens",Ateno Cook & Deli,4.8,434,4.8(434),"Ateno Cook & Deli
4.8(434)
Restaurant · Αιόλου 52 &, Miltiadou
Open ⋅ Closes 1 AM",10.873044534100405,True
"Omonoia, Athens",Karamanlidika,4.7,11017,"4.7(11,017) · €10–20","Karamanlidika
4.7(11,017) · €10–20
Greek ·  · Evripidou 52
Closed ⋅ Opens 8:30 AM Mon",14.007194813340064,True
"Omonoia, Athens",Ατίταμος,4.7,6762,"4.7(6,762) · €15–20","Ατίταμος
4.7(6,762) · €15–20
Greek ·  · Kapodistriou 2
Rustic spot for classic fare & a terrace
Closed ⋅ Opens 12 PM",13.51907398326783,True
"Omonoia, Athens",Aspro Alogo (i.e. White Horse) Traditional Greek Food,4.7,5139,"4.7(5,139) · €10–15","Aspro Alogo (i.e. White Horse) Traditional Greek Food
4.7(5,139) · €10–15
Greek ·  · Apollonos
Opens soon ⋅ 9 AM",13.244613786992229,True
"Omonoia, Athens",Arcadia Restaurant,4.7,4351,"4.7(4,351) · €15–25","Arcadia Restaurant
4.7(4,351) · €15–25
Greek ·  · Makrigianni 23-27
Closed ⋅ Opens 11 AM",13.078160982720679,True
"Omonoia, Athens",juicygrill_Athens (downtown),4.7,4134,"4.7(4,134) · €10–20","juicygrill_Athens (downtown)
4.7(4,134) · €10–20
Hamburger ·  · Palaión Patrón Germanoú 7
Closed ⋅ Opens 1 PM",13.027000740241714,True
"Omonoia, Athens",Athena 's Cook,4.7,3419,"4.7(3,419) · €15–25","Athena 's Cook
4.7(3,419) · €15–25
Restaurant ·  · Nikis 20
Closed ⋅ Opens 10 AM",12.837103389639303,True
"Omonoia, Athens",Krasopoulio tou Kokkora,4.7,2824,"4.7(2,824) · €10–15","Krasopoulio tou Kokkora
4.7(2,824) · €10–15
Greek · Esopou 4
Closed ⋅ Opens 12:30 PM",12.645909598613134,True
"Omonoia, Athens",GREEK STORIES,4.7,2681,"4.7(2,681) · €15–20","GREEK STORIES
4.7(2,681) · €15–20
Greek ·  · Makrigianni 19-21
Relaxed eatery for classic delicacies
Closed ⋅ Opens 12 PM",12.59394513823596,True
