Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Pangrati,Vegan Beat Athens,4.9,5069,"4.9(5,069) · €5–10","Vegan Beat Athens
4.9(5,069) · €5–10
Vegan · Perikleous 56
Closed ⋅ Opens 11 AM",13.43089883847235,True
Pangrati,Victory,4.9,2405,"4.9(2,405) · €10–15","Victory
4.9(2,405) · €10–15
Restaurant ·  · Filellinon 22
Closed ⋅ Opens 9:30 AM",12.685305182539862,True
Pangrati,ILIADA,4.9,1850,"4.9(1,850) · €10–15","ILIADA
4.9(1,850) · €10–15
Restaurant ·  · Kidathineon 1 - 3
Closed ⋅ Opens 10 AM",12.42294091807237,True
Pangrati,Coffee Joint,4.9,1771,"4.9(1,771) · €5–10","Coffee Joint
4.9(1,771) · €5–10
Cafe · Vourvachi 5-9
Closed ⋅ Opens 6 AM Mon",12.379299637782834,True
Pangrati,A Little Taste of Home Restaurant,4.8,1970,"4.8(1,970) · $$","A Little Taste of Home Restaurant
4.8(1,970) · $$
Restaurant ·  · Astiggos 8
Closed ⋅ Opens 1 PM",12.385788821732035,True
Pangrati,Meat n Roses Kolonaki,4.8,1738,"4.8(1,738) · €10–15","Meat n Roses Kolonaki
4.8(1,738) · €10–15
Restaurant · Amerikis 7
Closed ⋅ Opens 12 PM",12.260490305825337,True
Pangrati,5F,4.8,1563,"4.8(1,563) · €5–10","5F
4.8(1,563) · €5–10
Restaurant ·  · Diocharous 31 &, Klisouras
Closed ⋅ Opens 12 PM Mon",12.154362330421478,True
Pangrati,Soil restaurant,4.8,996,4.8(996) · €50+,"Soil restaurant
4.8(996) · €50+
Fine Dining · Ferekidou 5
Closed ⋅ Opens 6:30 PM Mon",11.703747257584599,True
Pangrati,Sushimou,4.8,934,4.8(934) · €50+,"Sushimou
4.8(934) · €50+
Sushi · Skoufou 6
Closed ⋅ Opens 6 PM Mon",11.639476438228844,True
Pangrati,PANDORA,4.8,645,4.8(645) · €5–10,"PANDORA
4.8(645) · €5–10
Restaurant · Lempesi 1
Open ⋅ Closes 3:30 PM",11.269250316795773,True
