Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Petralona,Migniardise,5.0,360,5.0(360) · €5–10,"Migniardise
5.0(360) · €5–10
Restaurant · Veikou 30
Open ⋅ Closes 3 PM",10.886104031450156,True
Petralona,Vegan Beat Athens,4.9,5069,"4.9(5,069) · €5–10","Vegan Beat Athens
4.9(5,069) · €5–10
Vegan · Perikleous 56
Closed ⋅ Opens 11 AM",13.43089883847235,True
Petralona,Thinalos Seafood Restaurant - ΘΙΝΑΛΟΣ,4.9,1321,"4.9(1,321) · $$","Thinalos Seafood Restaurant - ΘΙΝΑΛΟΣ
4.9(1,321) · $$
Seafood ·  · Chiou 7
Closed ⋅ Opens 12 PM",12.086144304522325,True
Petralona,Herve Restaurant,4.9,778,4.9(778) · €50+,"Herve Restaurant
4.9(778) · €50+
Fine Dining · Trion Ierarchon 170
Closed ⋅ Opens 7:30 PM Tue",11.55672652417839,True
Petralona,Buho Bruncherie,4.9,655,4.9(655) · €5–10,"Buho Bruncherie
4.9(655) · €5–10
Brunch · Trion Ierarchon 196
Opens soon ⋅ 9 AM",11.384635235635251,True
Petralona,i avli tis idylis,4.9,294,4.9(294) · €15–20,"i avli tis idylis
4.9(294) · €15–20
Restaurant · Iraklidon 14
Closed ⋅ Opens 12 PM",10.583579767338682,True
Petralona,MIRONI Greek Restaurant,4.8,4133,"4.8(4,133) · €15–25","MIRONI Greek Restaurant
4.8(4,133) · €15–25
Greek ·  · Meg. Alexandrou 7
Closed ⋅ Opens 12 PM",13.126758814511732,True
Petralona,KARMINIO - All Day Eatery,4.8,2028,"4.8(2,028) · €10–15","KARMINIO - All Day Eatery
4.8(2,028) · €10–15
Restaurant ·  · Veikou 86
Open ⋅ Closes 2 AM",12.414805364711073,True
Petralona,A Little Taste of Home Restaurant,4.8,1970,"4.8(1,970) · $$","A Little Taste of Home Restaurant
4.8(1,970) · $$
Restaurant ·  · Astiggos 8
Closed ⋅ Opens 1 PM",12.385788821732035,True
Petralona,PARKBENCH,4.8,1390,"4.8(1,390) · $$","PARKBENCH
4.8(1,390) · $$
Restaurant ·  · Pramanton 10
Closed ⋅ Opens 1:30 PM",12.037059026124737,True
Petralona,Nissos Seafood Tavern,4.8,1070,"4.8(1,070) · €15–20","Nissos Seafood Tavern
4.8(1,070) · €15–20
Seafood ·  · Christokopidou 1
Closed ⋅ Opens 1 PM",11.77541392745595,True
Petralona,Felicita - Aperitivo & Wine Bar,4.8,355,4.8(355) · $$,"Felicita - Aperitivo & Wine Bar
4.8(355) · $$
Restaurant ·  · Megalou Vasileiou 40
Closed ⋅ Opens 3 PM",10.672117789475415,True
Petralona,Agape,4.8,294,4.8(294),"Agape
4.8(294)
Restaurant · Iraklidon 21-23
Opens soon ⋅ 9 AM",10.483579767338682,True
Petralona,"Karamanlidika - Τα Καραμανλίδικα του Φάνη, Εργαστήρι - Ερμού 119",4.7,2563,"4.7(2,563) · €15–20","Karamanlidika - Τα Καραμανλίδικα του Φάνη, Εργαστήρι - Ερμού 119
4.7(2,563) · €15–20
Greek · Ermou 119
Closed ⋅ Opens 12 PM",12.548933726364071,True
Petralona,The Souvlaki Of Charokopou,4.7,1866,"4.7(1,866) · €5–10","The Souvlaki Of Charokopou
4.7(1,866) · €5–10
Restaurant ·  · Charokopou 46
Closed ⋅ Opens 1 PM Mon",12.23155238140729,True
Petralona,Mandragoras,4.7,1806,"4.7(1,806) · €15–20","Mandragoras
4.7(1,806) · €15–20
Greek ·  · Galatias 1
Closed ⋅ Opens 1:30 PM",12.198869733976931,True
Petralona,Cappadocia Grill Cafe,4.7,1481,"4.7(1,481) · €10–20","Cappadocia Grill Cafe
4.7(1,481) · €10–20
Halal ·  · Leof. El. Venizelou 15
Closed ⋅ Opens 12:30 PM",12.000472814267798,True
Petralona,Aleria Restaurant,4.7,1469,"4.7(1,469) · €50+","Aleria Restaurant
4.7(1,469) · €50+
Fine Dining ·  · Meg. Alexandrou 57
Creative Mediterranean fare in chic spot
Closed ⋅ Opens 7 PM Mon",11.992337176173876,True
Petralona,Πάμε παράγκα,4.7,1295,"4.7(1,295) · €15–20","Πάμε παράγκα
4.7(1,295) · €15–20
Restaurant · Kallisthenous 42
Closed ⋅ Opens 1 PM",11.866265974133638,True
Petralona,CTC Urban Gastronomy,4.7,1159,"4.7(1,159) · €50+","CTC Urban Gastronomy
4.7(1,159) · €50+
Restaurant ·  · Plateon 15
Closed ⋅ Opens 7:30 PM Tue",11.755312843339752,True
Petralona,Valitsa,4.7,1133,"4.7(1,133) · €10–15","Valitsa
4.7(1,133) · €10–15
Restaurant ·  · Dimofontos 80
Closed ⋅ Opens 1 PM",11.732624261028008,True
Petralona,Merceri food & drink,4.7,730,4.7(730) · €50+,"Merceri food & drink
4.7(730) · €50+
Restaurant · Iraklidon 21
Closed ⋅ Opens 6 PM",11.293044534142437,True
Petralona,Οινομαγειρείο της Αλεξάνδρας,4.7,655,4.7(655),"Οινομαγειρείο της Αλεξάνδρας
4.7(655)
Family-friendly ·  · Dekeleon 32
Closed ⋅ Opens 1 PM",11.184635235635252,True
Petralona,Caravin Wine & Wanderlust,4.7,634,4.7(634) · $$,"Caravin Wine & Wanderlust
4.7(634) · $$
Restaurant ·  · Akamantos 11
Closed",11.152048954437227,True
Petralona,Asymmetro,4.7,629,4.7(629) · €10–15,"Asymmetro
4.7(629) · €10–15
Restaurant ·  · Geor. Olimpiou 14
Closed ⋅ Opens 10 AM",11.14413125670044,True
