Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Psyri,Vegan Beat Athens,4.9,5069,"4.9(5,069) · €5–10","Vegan Beat Athens
4.9(5,069) · €5–10
Vegan · Perikleous 56
Closed ⋅ Opens 11 AM",13.43089883847235,True
Psyri,Aesopou Fables,4.9,1062,"4.9(1,062)","Aesopou Fables
4.9(1,062)
Greek · Esopou 9
Closed ⋅ Opens 12:30 PM",11.867909201801885,True
Psyri,Golden Indian Haveli,4.9,1049,"4.9(1,049) · €10–20","Golden Indian Haveli
4.9(1,049) · €10–20
Indian ·  · Αγίου Φιλίππου 10
Closed ⋅ Opens 12 PM",11.855592608396297,True
Psyri,Tapfield,4.9,627,4.9(627) · €5–10,"Tapfield
4.9(627) · €5–10
Bar ·  · Ναυάρχου Αποστόλη 4
Closed ⋅ Opens 5:30 PM",11.34094654063292,True
Psyri,Asian bowls,4.9,540,4.9(540) · €10–15,"Asian bowls
4.9(540) · €10–15
Vietnamese · Sarri 36
Closed ⋅ Opens 12 PM",11.191569139558322,True
Psyri,Sarri's Souvlaki,4.9,446,4.9(446) · €5–10,"Sarri's Souvlaki
4.9(446) · €5–10
Restaurant · Sarri 36
Closed ⋅ Opens 11 AM",11.000318952020065,True
Psyri,Αριστοτέλης Κρεατοφαγείον (Aristotelis Kreatofageion),4.9,384,4.9(384) · €15–20,"Αριστοτέλης Κρεατοφαγείον (Aristotelis Kreatofageion)
4.9(384) · €15–20
Barbecue ·  · Esopou 3
Closed ⋅ Opens 12 PM",10.850642552587727,True
Psyri,Feyrouz,4.8,5231,"4.8(5,231) · €5–10","Feyrouz
4.8(5,231) · €5–10
Middle Eastern ·  · Καρόρη 23 και, Agathonos 1
Relaxed eatery for Lebanese street fare
Closed ⋅ Opens 12 PM Mon",13.362357743370612,True
Psyri,MIRONI Greek Restaurant,4.8,4133,"4.8(4,133) · €15–25","MIRONI Greek Restaurant
4.8(4,133) · €15–25
Greek ·  · Meg. Alexandrou 7
Closed ⋅ Opens 12 PM",13.126758814511732,True
Psyri,Bandiera,4.8,3678,"4.8(3,678) · €15–20","Bandiera
4.8(3,678) · €15–20
Restaurant · Taki 19
Closed ⋅ Opens 1 PM",13.010124405164266,True
Psyri,A Little Taste of Home Restaurant,4.8,1970,"4.8(1,970) · $$","A Little Taste of Home Restaurant
4.8(1,970) · $$
Restaurant ·  · Astiggos 8
Closed ⋅ Opens 1 PM",12.385788821732035,True
Psyri,Stone Athens,4.8,1801,"4.8(1,801) · $$","Stone Athens
4.8(1,801) · $$
Restaurant · Adrianou 31
Open ⋅ Closes 1 AM",12.296097345175955,True
Psyri,To kousoulo,4.8,1677,"4.8(1,677) · €15–20","To kousoulo
4.8(1,677) · €15–20
Restaurant ·  · Amfiktionos 27
Opens soon ⋅ 9 AM",12.22476176182321,True
Psyri,Usurum Brunch & Cocktails,4.8,1620,"4.8(1,620) · €10–15","Usurum Brunch & Cocktails
4.8(1,620) · €10–15
Breakfast ·  · Lepeniotou 19
Open ⋅ Closes 7 PM",12.19018142822643,True
Psyri,Thes ''Greek Creative Cuisine'',4.8,1578,"4.8(1,578) · $$","Thes ''Greek Creative Cuisine''
4.8(1,578) · $$
Restaurant · Taki 16
Closed ⋅ Opens 12:30 PM",12.163913501405819,True
Psyri,Nissos Seafood Tavern,4.8,1070,"4.8(1,070) · €15–20","Nissos Seafood Tavern
4.8(1,070) · €15–20
Seafood ·  · Christokopidou 1
Closed ⋅ Opens 1 PM",11.77541392745595,True
Psyri,Bouloukos Kebab,4.8,1000,"4.8(1,000) · €5–10","Bouloukos Kebab
4.8(1,000) · €5–10
Restaurant · Athinas 53
Closed ⋅ Opens 10:30 AM Mon",11.707755278982138,True
Psyri,The Frogs Guesthouse,4.8,652,4.8(652),"The Frogs Guesthouse
4.8(652)
Hotel",11.280044561926653,True
Psyri,PANDORA,4.8,645,4.8(645) · €5–10,"PANDORA
4.8(645) · €5–10
Restaurant · Lempesi 1
Open ⋅ Closes 3:30 PM",11.269250316795773,True
Psyri,Artos Venetis,4.8,319,4.8(319),"Artos Venetis
4.8(319)
Pastries · Sarri 13
Closed ⋅ Opens 6 AM Mon",10.565191102784844,True
Psyri,Η Στοά του Ψυρρή,4.8,298,4.8(298) · €10–15,"Η Στοά του Ψυρρή
4.8(298) · €10–15
Small Plates · Ag. Dimitriou 19
Closed ⋅ Opens 10 AM",10.497093486505404,True
Psyri,Agape,4.8,294,4.8(294),"Agape
4.8(294)
Restaurant · Iraklidon 21-23
Opens soon ⋅ 9 AM",10.483579767338682,True
Psyri,Παραδοσιακόν Καφενείον Καστέλλο,4.8,252,4.8(252) · €15–20,"Παραδοσιακόν Καφενείον Καστέλλο
4.8(252) · €15–20
Greek ·  · Evripidou 88
Closed ⋅ Opens 9 AM Mon",10.329429087511423,True
Psyri,Karamanlidika,4.7,11017,"4.7(11,017) · €10–20","Karamanlidika
4.7(11,017) · €10–20
Greek ·  · Evripidou 52
Closed ⋅ Opens 8:30 AM Mon",14.007194813340064,True
Psyri,Falafellas (Athens),4.7,5204,"4.7(5,204) · €1–5","Falafellas (Athens)
4.7(5,204) · €1–5
Falafel · Aiolou 51
Closed ⋅ Opens 11 AM Mon",13.257182839632396,True
