Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Thiseio,Thang Long Vietnamese Restaurant,5.0,743,5.0(743) · €10–15,"Thang Long Vietnamese Restaurant
5.0(743) · €10–15
Vietnamese ·  · Meg. Alexandrou 1
Closed ⋅ Opens 12 PM",11.61069604471776,True
Thiseio,Migniardise,5.0,360,5.0(360) · €5–10,"Migniardise
5.0(360) · €5–10
Restaurant · Veikou 30
Open ⋅ Closes 3 PM",10.886104031450156,True
Thiseio,Victory,4.9,2405,"4.9(2,405) · €10–15","Victory
4.9(2,405) · €10–15
Restaurant ·  · Filellinon 22
Closed ⋅ Opens 9:30 AM",12.685305182539862,True
Thiseio,Thinalos Seafood Restaurant - ΘΙΝΑΛΟΣ,4.9,1321,"4.9(1,321) · $$","Thinalos Seafood Restaurant - ΘΙΝΑΛΟΣ
4.9(1,321) · $$
Seafood ·  · Chiou 7
Closed ⋅ Opens 12 PM",12.086144304522325,True
Thiseio,Golden Indian Haveli,4.9,1049,"4.9(1,049) · €10–20","Golden Indian Haveli
4.9(1,049) · €10–20
Indian ·  · Αγίου Φιλίππου 10
Closed ⋅ Opens 12 PM",11.855592608396297,True
Thiseio,i avli tis idylis,4.9,294,4.9(294) · €15–20,"i avli tis idylis
4.9(294) · €15–20
Restaurant · Iraklidon 14
Closed ⋅ Opens 12 PM",10.583579767338682,True
Thiseio,MIRONI Greek Restaurant,4.8,4133,"4.8(4,133) · €15–25","MIRONI Greek Restaurant
4.8(4,133) · €15–25
Greek ·  · Meg. Alexandrou 7
Closed ⋅ Opens 12 PM",13.126758814511732,True
Thiseio,KARMINIO - All Day Eatery,4.8,2028,"4.8(2,028) · €10–15","KARMINIO - All Day Eatery
4.8(2,028) · €10–15
Restaurant ·  · Veikou 86
Open ⋅ Closes 2 AM",12.414805364711073,True
Thiseio,A Little Taste of Home Restaurant,4.8,1970,"4.8(1,970) · $$","A Little Taste of Home Restaurant
4.8(1,970) · $$
Restaurant ·  · Astiggos 8
Closed ⋅ Opens 1 PM",12.385788821732035,True
Thiseio,Stone Athens,4.8,1801,"4.8(1,801) · $$","Stone Athens
4.8(1,801) · $$
Restaurant · Adrianou 31
Open ⋅ Closes 1 AM",12.296097345175955,True
Thiseio,Meat n Roses Kolonaki,4.8,1738,"4.8(1,738) · €10–15","Meat n Roses Kolonaki
4.8(1,738) · €10–15
Restaurant · Amerikis 7
Closed ⋅ Opens 12 PM",12.260490305825337,True
Thiseio,To kousoulo,4.8,1677,"4.8(1,677) · €15–20","To kousoulo
4.8(1,677) · €15–20
Restaurant ·  · Amfiktionos 27
Opens soon ⋅ 9 AM",12.22476176182321,True
Thiseio,Thes ''Greek Creative Cuisine'',4.8,1578,"4.8(1,578) · $$","Thes ''Greek Creative Cuisine''
4.8(1,578) · $$
Restaurant · Taki 16
Closed ⋅ Opens 12:30 PM",12.163913501405819,True
Thiseio,Nissos Seafood Tavern,4.8,1070,"4.8(1,070) · €15–20","Nissos Seafood Tavern
4.8(1,070) · €15–20
Seafood ·  · Christokopidou 1
Closed ⋅ Opens 1 PM",11.77541392745595,True
Thiseio,Seawolf Athens Restaurant,4.8,1047,"4.8(1,047) · $$","Seawolf Athens Restaurant
4.8(1,047) · $$
Restaurant ·  · Dimitrakopoulou 35
Closed ⋅ Opens 5 PM Mon",11.753684210870537,True
Thiseio,Cookoomela Grill,4.8,895,4.8(895) · €5–10,"Cookoomela Grill
4.8(895) · €5–10
Vegan · Themistokleous 43
Closed ⋅ Opens 2 PM",11.596823718274855,True
Thiseio,The Frogs Guesthouse,4.8,652,4.8(652),"The Frogs Guesthouse
4.8(652)
Hotel",11.280044561926653,True
Thiseio,PANDORA,4.8,645,4.8(645) · €5–10,"PANDORA
4.8(645) · €5–10
Restaurant · Lempesi 1
Open ⋅ Closes 3:30 PM",11.269250316795773,True
Thiseio,VOVA FOOD BAR,4.8,623,4.8(623) · €10–15,"VOVA FOOD BAR
4.8(623) · €10–15
Restaurant ·  · Veikou 8
Open ⋅ Closes 3:30 AM",11.234546518787454,True
Thiseio,Karamanlidika,4.7,11017,"4.7(11,017) · €10–20","Karamanlidika
4.7(11,017) · €10–20
Greek ·  · Evripidou 52
Closed ⋅ Opens 8:30 AM Mon",14.007194813340064,True
Thiseio,Ατίταμος,4.7,6762,"4.7(6,762) · €15–20","Ατίταμος
4.7(6,762) · €15–20
Greek ·  · Kapodistriou 2
Rustic spot for classic fare & a terrace
Closed ⋅ Opens 12 PM",13.51907398326783,True
Thiseio,Aspro Alogo (i.e. White Horse) Traditional Greek Food,4.7,5139,"4.7(5,139) · €10–15","Aspro Alogo (i.e. White Horse) Traditional Greek Food
4.7(5,139) · €10–15
Greek ·  · Apollonos
Opens soon ⋅ 9 AM",13.244613786992229,True
Thiseio,Arcadia Restaurant,4.7,4350,"4.7(4,350) · €15–25","Arcadia Restaurant
4.7(4,350) · €15–25
Greek ·  · Makrigianni 23-27
Closed ⋅ Opens 11 AM",13.077931124082731,True
Thiseio,juicygrill_Athens (downtown),4.7,4134,"4.7(4,134) · €10–20","juicygrill_Athens (downtown)
4.7(4,134) · €10–20
Hamburger ·  · Palaión Patrón Germanoú 7
Closed ⋅ Opens 1 PM",13.027000740241714,True
Thiseio,Old Ithaki,4.7,3430,"4.7(3,430) · $$","Old Ithaki
4.7(3,430) · $$
Restaurant ·  · Agias Filotheis 2
Closed ⋅ Opens 11 AM",12.840315540159985,True
