name,rating,reviews,info,category,composite_score,high_review_flag,address
Alchemist Cafe Patisserie,5.0,2061,"5.0(2,061)",Patisserie,12.63094658089046,True,Chatzichristou 8
The Black Salami Microbakery,4.8,1540,€5–10,Bakery,12.139537695407675,True, · Zoodochou Pigis 71
Μαμά ψωμί,4.8,337,€1–5,Bakery,10.62008293035236,True, · Zacharitsa 42
Αρτοποιείο Δήμου (Dimou Bakery/pastry shop),4.8,324,€1–5,Bakery,10.580743515792328,True, · Ilia Poulopoulou 17
Artos Venetis,4.8,319,4.8(319),Pastries,10.565191102784844,True,Sarri 13
Κekkos Traditional Cafe & Pastry,4.8,296,4.8(296),Cafe,10.49035945432406,True, · Eratosthenous 7
overoll,4.7,3038,€1–5,Bakery,12.71895468315572,True,Praxitelous 27
Peinirli Ionias,4.7,1561,€1–5,Bakery,12.053081920515432,True, · Panormou 3
Takis Bakery,4.7,1387,€1–5,Bakery,11.93489842031483,True,Misaraliotou 14
Creme Royale,4.7,461,€1–5,Cafe,10.833398042996649,True,Athinas 37
Pnyka,4.7,396,$$,Pastries,10.68141421125448,True,Pratinou 2
Pnyka,4.7,293,€1–5,Bakery,10.380172609017068,True,Petraki 24
To Koulouri of Psirri,4.6,638,€1–5,Bakery,11.058338283344789,True, · Γεωργίου Καραϊσκάκη 23
CAKE Kolonaki,4.6,462,€5–10,Cupcakes,10.735564891081738,True, · Irodotou 15
Afrato,4.6,295,€1–5,Bakery,10.28697535633982,True, · Evridamantos 13
ARISTON LOBOTESI,4.5,938,$,Pastries,11.343749949006224,True, · Voulis 10
Patisserie Slim Bites Kolonaki,4.5,565,$$,Confectionery store,10.83682573114644,True,Patriarchou Ioakim 37
Patisserie Despina,4.5,436,$$,Patisserie,10.577642243349034,True,Patriarchou Ioakim 56
Ta Serbetia stou Psyrri,4.4,3179,$$,Dessert shop,12.464321960910803,True," · 105 54, Eschilou 3"
Fresko Yogurt Bar Acropoli,4.4,2466,$,Dessert shop,12.21035268372429,True, · Iouliou Smith 2
Ζαχαροπλαστεία Κωνσταντινίδης,4.4,1731,$$$,Patisserie,11.85645455517621,True, · Leof. Andrea Siggrou 98
Fresh Patisserie & Cafe,4.4,933,$$,Patisserie,11.238405200847344,True, · Leof. Andrea Siggrou 96
ΦΟΥΡΝΟΣ ΒΕΝΕΤΗ 1948 | OMONOIA NEON,4.4,719,€5–10,Bakery,10.977861357721046,True, · Pl. Omonias 7
Flour and Sugar,4.4,537,$$,Pastries,10.685998094508864,True, · Anastaseos 125
72H Artisanal Bakery & Eatery Athens,4.4,364,€5–10,Bakery,10.29715386763674,True,Patroou 9
