name,rating,reviews,info,category,composite_score,high_review_flag,address
Alchemist Cafe Patisserie,5.0,2061,"5.0(2,061)",Patisserie,12.63094658089046,True,Chatzichristou 8
The Black Salami Microbakery,4.8,1540,€5–10,Bakery,12.139537695407675,True, · Zoodochou Pigis 71
La Maison - Fine Pastry,4.8,1489,$$,Patisserie,12.10586003268401,True, · Dimosthenous 149
Ρίζος Ελαια-Φούρνος,4.8,466,$$,Pastries,10.944185634125644,True, · Matrozou 12
Μαμά ψωμί,4.8,337,€1–5,Bakery,10.62008293035236,True, · Zacharitsa 42
Amandine's Bagels,4.8,333,€5–10,Bagel shop,10.608142489980445,True,Nikis 13
Αρτοποιείο Δήμου (Dimou Bakery/pastry shop),4.8,324,€1–5,Bakery,10.580743515792328,True, · Ilia Poulopoulou 17
Artos Venetis,4.8,319,4.8(319),Pastries,10.565191102784844,True,Sarri 13
Κekkos Traditional Cafe & Pastry,4.8,296,4.8(296),Cafe,10.49035945432406,True, · Eratosthenous 7
CHOUREAL - Choux & Profiterole,4.7,4544,$$,Patisserie,13.121562960400986,True," · Διομείας 2 &, Ermou 18"
Takis Bakery,4.7,1387,€1–5,Bakery,11.93489842031483,True,Misaraliotou 14
Phleïbor,4.7,843,4.7(843),Patisserie,11.436966958001856,True, · Nikis 10
Creme Royale,4.7,461,€1–5,Cafe,10.833398042996649,True,Athinas 37
Ζαχαροπλαστείο (MAKARON) Lonis,4.7,334,4.7(334),Pastries,10.5111409929767,True,Athinas 7
Thiseio Bakery,4.7,296,€1–5,Bakery,10.39035945432406,True,Nileos 34
"Diogenis Food Hall - Καφέ, Sandwiches & Σφολιάτες στην Πλάκα",4.7,276,€5–10,Cafe,10.32040086571715,True,Sellei 3
KORA,4.6,1109,€5–10,Bakery,11.611213987350368,True, · Panagiotou Anagnostopoulou 44
To Koulouri of Psirri,4.6,638,€1–5,Bakery,11.058338283344789,True, · Γεωργίου Καραϊσκάκη 23
Afrato,4.6,295,€1–5,Bakery,10.28697535633982,True, · Evridamantos 13
ΔΕΡΒΑΣ ΧΡΗΣΤΟΣ,4.6,262,$$,Pastries,10.168344503761096,True,Artakis 89
Dope Roasting Co,4.5,2568,€5–10,Bakery,12.350882664809852,True, · Vissis 25
Tromero Paidi,4.5,1313,€5–10,Bakery,11.680069874302797,True, · Papadiamantopoulou 30
I Cake You,4.5,998,4.5(998),Cookies,11.405753276311463,True, · Themistokleous 42
ARISTON LOBOTESI,4.5,938,$,Pastries,11.343749949006224,True, · Voulis 10
Sovolos,4.5,875,$$,Pastries,11.274223886357614,True, · Sintagmatarchou Davaki 52
