name,rating,reviews,info,category,composite_score,high_review_flag,address
The Black Salami Microbakery,4.8,1540,€5–10,Bakery,12.139537695407675,True, · Zoodochou Pigis 71
InLoveAgain,4.8,455,€5–10,Dessert,10.92029741895095,True, · Klitiou 3
Μαμά ψωμί,4.8,337,€1–5,Bakery,10.62008293035236,True, · Zacharitsa 42
Αρτοποιείο Δήμου (Dimou Bakery/pastry shop),4.8,324,€1–5,Bakery,10.580743515792328,True, · Ilia Poulopoulou 17
Artos Venetis,4.8,319,4.8(319),Pastries,10.565191102784844,True,Sarri 13
Κekkos Traditional Cafe & Pastry,4.8,296,4.8(296),Cafe,10.49035945432406,True, · Eratosthenous 7
CHOUREAL - Choux & Profiterole,4.7,4544,$$,Patisserie,13.121562960400986,True," · Διομείας 2 &, Ermou 18"
Takis Bakery,4.7,1387,€1–5,Bakery,11.93489842031483,True,Misaraliotou 14
KICK,4.7,956,€5–10,Coffee shop,11.5627579130514,True,Sporadon 26
Phleïbor,4.7,843,4.7(843),Patisserie,11.436966958001856,True, · Nikis 10
Cultivos Kypseli,4.7,552,€5–10,Coffee shop,11.013548046277094,True,Zakinthou 4
Creme Royale,4.7,461,€1–5,Cafe,10.833398042996649,True,Athinas 37
Pap-Liber (Πατήσια),4.6,671,$$,Patisserie,11.10876913697168,True," · Ιακωβίδου 10 &, Tsiller"
To Koulouri of Psirri,4.6,638,€1–5,Bakery,11.058338283344789,True, · Γεωργίου Καραϊσκάκη 23
CREMONA,4.6,555,$$,Patisserie,10.918968113746434,True," · 58, Doiranis 56"
CAKE Kolonaki,4.6,462,€5–10,Cupcakes,10.735564891081738,True, · Irodotou 15
Πετέκ - Ζαχαροπλαστείο,4.6,289,$$,Pastries,10.266426688112432,True, · 3is Septemvriou 81
Remoundos Traditional Bakery,4.6,287,€1–5,Bakery,10.259482215759622,True,Kipselis 37
I Cake You,4.5,998,4.5(998),Cookies,11.405753276311463,True, · Themistokleous 42
ARISTON LOBOTESI,4.5,938,$,Pastries,11.343749949006224,True, · Voulis 10
Dimitris Economides Athens,4.5,729,4.5(729),Confectionery store,11.091673732008658,True, · Leof. Kifisias 340
Πορτατίφ - Factory,4.5,642,$$,Pastries,10.96458830368996,True,Mavromichali 81
Ζαχαροπλαστείο Lonis,4.5,417,$$,Pastries,10.5330862217988,True, · Prigkiponnison 28
Piroski,4.5,295,€1–10,Pie shop,10.18697535633982,True,Ἀcharnon 140
Ta Serbetia stou Psyrri,4.4,3179,$$,Dessert shop,12.464321960910803,True," · 105 54, Eschilou 3"
