name,rating,reviews,info,category,composite_score,high_review_flag,address
PASTRY VOMVYLA,4.9,351,4.9(351),Confectionery store,10.760786223465866,True,Theodoritou Vresthenis 7
Fika coffee & croissant,4.8,574,€1–5,Coffee shop,11.152629396319568,True,Vourvachi 6
MARINOS KOSMAS GLUTEN FREE PASTRY & BAKERY PROJECT,4.8,357,4.8(357),Pastries,10.67773578177964,True, · Leof. Mesogeion 78Α
Μαμά ψωμί,4.8,337,€1–5,Bakery,10.62008293035236,True, · Zacharitsa 42
Artos Venetis,4.8,319,4.8(319),Pastries,10.565191102784844,True,Sarri 13
Κekkos Traditional Cafe & Pastry,4.8,296,4.8(296),Cafe,10.49035945432406,True, · Eratosthenous 7
Takis Bakery,4.7,1387,€1–5,Bakery,11.93489842031483,True,Misaraliotou 14
Ζαχαροπλαστείο (MAKARON) Lonis,4.7,334,4.7(334),Pastries,10.5111409929767,True,Athinas 7
Thiseio Bakery,4.7,296,€1–5,Bakery,10.39035945432406,True,Nileos 34
Kosmikon,4.6,1712,"4.6(1,712)",Confectionery store,12.045417556701686,True, · Leof. Ionias 104
To Koulouri of Psirri,4.6,638,€1–5,Bakery,11.058338283344789,True, · Γεωργίου Καραϊσκάκη 23
CAKE Kolonaki,4.6,462,€5–10,Cupcakes,10.735564891081738,True, · Irodotou 15
Belle Vue - Patisserie,4.6,430,$$,Bakery,10.663785208687608,True, · Leof. El. Venizelou 104
Afrato,4.6,295,€1–5,Bakery,10.28697535633982,True, · Evridamantos 13
Tromero Paidi,4.5,1313,€5–10,Bakery,11.680069874302797,True, · Papadiamantopoulou 30
"Tsirou, Christina, & Co. E.E.",4.5,836,$$,Patisserie,11.228628613084702,True, · Eftichidou 44
Πορτατίφ - Factory,4.5,642,$$,Pastries,10.96458830368996,True,Mavromichali 81
The Wheat Bakery & Patisserie,4.5,336,$,Pastries,10.317111159963204,True, · Leof. Irinis 24
Βλάχος Bakery & Pastry,4.5,276,$$,Pastries,10.12040086571715,True, · Mpaknana 55
Marie Aretie gluten free sweets,5.0,107,5.0(107),Confectionery store,9.672828834461908,False,Meletiou Vasiliou 53
Το Προζύμι,5.0,91,€1–5,Bakery,9.51085950651685,False,Doiranis 51
Koulouri Bake House,4.9,201,€1–5,Bakery,10.203304908059076,False,Veikou 74
Breadman,4.9,145,€5–10,Bakery,9.876733742420576,False,Formionos 12
Peinirli Onomastos,4.9,136,€1–5,Bakery,9.812654885736052,False,Machis Analatou 52-54
Artoapolauseis,4.9,22,4.9(22),Bakery,7.991042453358316,False,Kassomouli 26
