name,rating,reviews,info,category,composite_score,high_review_flag,address
Alchemist Cafe Patisserie,5.0,2061,"5.0(2,061)",Patisserie,12.63094658089046,True,Chatzichristou 8
Migniardise,5.0,360,€5–10,Cafe,10.886104031450156,True,Veikou 30
Coffee Joint,4.9,1771,€5–10,Cafe,12.379299637782834,True,Vourvachi 5-9
Caffeine Dealer (specialty coffee),4.9,434,€1–5,Coffee shop,10.973044534100406,True,Pl. Kountouriotou 2
Coffee Lab Athens,4.9,329,€1–5,Coffee shop,10.696057750765371,True,Sofokleous 18
The Black Salami Microbakery,4.8,1540,€5–10,Bakery,12.139537695407675,True, · Zoodochou Pigis 71
behold theman,4.8,724,€1–5,Coffee shop,11.384791392385717,True,"Ιδεοχώρος, Stournari 6"
10/09 Δέκα Ενάτου,4.8,584,€5–10,Coffee shop,11.169900982828228,True,Charokopou 143
"Shedia Home - Cafe, Restaurant & Giftshop",4.8,560,$$,Cafe,11.127936783729194,True, · Kolokotroni 56
White Turtle Coffeehouse,4.8,449,€1–5,Coffee shop,10.907022887742254,True,"Στουρναρη 43, Kaniggos 33"
Foyer Espresso Bar,4.8,434,€1–5,Bakery,10.873044534100403,True,Vriaxidos 2
Arte Athens,4.8,345,$$,Ice Cream,10.64354441703136,True,Tripodon 16
Μαμά ψωμί,4.8,337,€1–5,Bakery,10.62008293035236,True, · Zacharitsa 42
Αρτοποιείο Δήμου (Dimou Bakery/pastry shop),4.8,324,€1–5,Bakery,10.580743515792328,True, · Ilia Poulopoulou 17
Artos Venetis,4.8,319,4.8(319),Pastries,10.565191102784844,True,Sarri 13
Κekkos Traditional Cafe & Pastry,4.8,296,4.8(296),Cafe,10.49035945432406,True, · Eratosthenous 7
Stani,4.7,3210,"4.7(3,210)",Dairy store,12.77402621612406,True,Marikas Kotopouli 10
overoll,4.7,3038,€1–5,Bakery,12.71895468315572,True,Praxitelous 27
Little Tree Books and Coffee,4.7,2515,€5–10,Coffee shop,12.53002808253384,True,Kavalloti 2
Stylitis,4.7,1523,€5–10,Coffee shop,12.028437352895162,True, · Nikomidias 3
Takis Bakery,4.7,1387,€1–5,Bakery,11.93489842031483,True,Misaraliotou 14
Phleïbor,4.7,843,4.7(843),Patisserie,11.436966958001856,True, · Nikis 10
Warehouse CO2,4.7,681,$$,Wine bar,11.223562306149512,True, · Iperidou 1
Tailor Made Coffee Roasters,4.7,535,€1–5,Coffee shop,10.982266746896006,True,Perikleous 37
Special patisserie,4.7,460,$$,Patisserie,10.83122648948314,True,Trion Ierarchon 124
