name,rating,reviews,info,category,composite_score,high_review_flag,address
Migniardise,5.0,360,€5–10,Restaurant,10.886104031450156,True,Veikou 30
Guarantee,4.9,1460,€5–10,Sandwich,12.186191714702382,True, · Veikou 41
Symposio Restaurant,4.9,881,4.9(881),Mediterranean,11.68105762593618,True,Apollonos 22
The New Era Authentic Greek Cuisine,4.9,856,€15–20,Greek,11.652270376141743,True, · Perikleous 30-32
Mama Tierra Acropolis - Vegan street food,4.9,490,€5–10,Vegan,11.094405391104672,True,Chatzichristou 29
Ya Zhou,4.9,358,4.9(358),Asian,10.7805329864007,True,Lepeniotou 26
Feyrouz,4.8,5231,€5–10,Middle Eastern,13.362357743370612,True," · Καρόρη 23 και, Agathonos 1"
MIRONI Greek Restaurant,4.8,4133,€15–25,Greek,13.126758814511732,True, · Meg. Alexandrou 7
Bandiera,4.8,3678,€15–20,Restaurant,13.010124405164266,True,Taki 19
Meat the Greek,4.8,3052,€5–10,Gyro,12.823552392404348,True,Fokionos 2-4
A Little Taste of Home Restaurant,4.8,1970,$$,Restaurant,12.385788821732037,True, · Astiggos 8
Stone Athens,4.8,1801,$$,Restaurant,12.296097345175957,True,Adrianou 31
Usurum Brunch & Cocktails,4.8,1620,€10–15,Breakfast,12.19018142822643,True, · Lepeniotou 19
Nissos Seafood Tavern,4.8,1070,€15–20,Seafood,11.77541392745595,True, · Christokopidou 1
The Frogs Guesthouse,4.8,652,4.8(652),Hotel,11.280044561926651,True,
PANDORA,4.8,645,€5–10,Restaurant,11.269250316795771,True,Lempesi 1
Esthio Athens,4.8,446,4.8(446),Restaurant,10.900318952020063,True,Dimitrakopoulou 7
Karamanlidika,4.7,11017,€10–20,Greek,14.007194813340064,True, · Evripidou 52
Falafellas (Athens),4.7,5204,€1–5,Falafel,13.257182839632396,True,Aiolou 51
Arcadia Restaurant,4.7,4350,€15–25,Greek,13.077931124082731,True, · Makrigianni 23-27
juicygrill_Athens (downtown),4.7,4134,€10–20,Hamburger,13.027000740241714,True, · Palaión Patrón Germanoú 7
Athena 's Cook,4.7,3420,€15–25,Restaurant,12.83739583005665,True, · Nikis 20
Krasopoulio tou Kokkora,4.7,2824,€10–15,Greek,12.645909598613134,True,Esopou 4
GREEK STORIES,4.7,2681,€15–20,Greek,12.59394513823596,True, · Makrigianni 19-21
"Karamanlidika - Τα Καραμανλίδικα του Φάνη, Εργαστήρι - Ερμού 119",4.7,2563,€15–20,Greek,12.548933726364073,True,Ermou 119
