name,rating,reviews,info,category,composite_score,high_review_flag,address
Thang Long Vietnamese Restaurant,5.0,743,€10–15,Vietnamese,11.61069604471776,True, · Meg. Alexandrou 1
Falafelo Street Food,5.0,253,€1–5,Vegan,10.53338948872752,True,Soultani 2-4
Vegan Beat Athens,4.9,5069,€5–10,Vegan,13.43089883847235,True,Perikleous 56
Geco Athens,4.9,1345,"4.9(1,345)",Restaurant,12.10414929203594,True, · Lekka 14
Thinalos Seafood Restaurant - ΘΙΝΑΛΟΣ,4.9,1321,$$,Seafood,12.086144304522325,True, · Chiou 7
Golden Indian Haveli,4.9,1049,€10–20,Indian,11.855592608396297,True, · Αγίου Φιλίππου 10
YALLA YALLA Athens,4.9,699,€5–10,Lebanese,11.44965074223381,True,Ag. Dimitriou 19
Feyrouz,4.8,5231,€5–10,Middle Eastern,13.362357743370612,True," · Καρόρη 23 και, Agathonos 1"
A Little Taste of Home Restaurant,4.8,1970,$$,Restaurant,12.385788821732037,True, · Astiggos 8
Meat n Roses Kolonaki,4.8,1738,€10–15,Restaurant,12.260490305825336,True,Amerikis 7
Nissos Seafood Tavern,4.8,1070,€15–20,Seafood,11.77541392745595,True, · Christokopidou 1
Cookoomela Grill,4.8,895,€5–10,Vegan,11.596823718274855,True,Themistokleous 43
The Frogs Guesthouse,4.8,652,4.8(652),Hotel,11.280044561926651,True,
Karamanlidika,4.7,11017,€10–20,Greek,14.007194813340064,True, · Evripidou 52
Ατίταμος,4.7,6762,€15–20,Greek,13.51907398326783,True, · Kapodistriou 2
Falafellas (Athens),4.7,5204,€1–5,Falafel,13.257182839632396,True,Aiolou 51
Aspro Alogo (i.e. White Horse) Traditional Greek Food,4.7,5139,€10–15,Greek,13.244613786992227,True, · Apollonos
juicygrill_Athens (downtown),4.7,4134,€10–20,Hamburger,13.027000740241714,True, · Palaión Patrón Germanoú 7
Old Ithaki,4.7,3430,$$,Restaurant,12.840315540159985,True, · Agias Filotheis 2
Athena 's Cook,4.7,3419,€15–25,Restaurant,12.837103389639305,True, · Nikis 20
Krasopoulio tou Kokkora,4.7,2824,€10–15,Greek,12.645909598613134,True,Esopou 4
"Karamanlidika - Τα Καραμανλίδικα του Φάνη, Εργαστήρι - Ερμού 119",4.7,2563,€15–20,Greek,12.548933726364073,True,Ermou 119
EATERY Bairaktaris Aiolou 29,4.7,2427,€10–15,Mediterranean,12.4944112057266,True, · Aiolou 29
Granello - Pizza Italiana,4.7,2366,€10–15,Pizza,12.468956044538333,True,Perikleous 18
HANOI ATHENS - AUTHENTIC VIETNAMESE FOOD,4.7,2080,€10–15,Vietnamese,12.340123172695364,True,Petraki 12
