name,rating,reviews,info,category,composite_score,high_review_flag,address
Thang Long Vietnamese Restaurant,5.0,743,€10–15,Vietnamese,11.61069604471776,True, · Meg. Alexandrou 1
Vegan Beat Athens,4.9,5069,€5–10,Vegan,13.43089883847235,True,Perikleous 56
Geco Athens,4.9,1345,"4.9(1,345)",Restaurant,12.10414929203594,True, · Lekka 14
Thinalos Seafood Restaurant - ΘΙΝΑΛΟΣ,4.9,1321,$$,Seafood,12.086144304522325,True, · Chiou 7
Golden Indian Haveli,4.9,1049,€10–20,Indian,11.855592608396297,True, · Αγίου Φιλίππου 10
The New Era Authentic Greek Cuisine,4.9,856,€15–20,Greek,11.652270376141743,True, · Perikleous 30-32
Mr Ben,4.9,309,€10–15,Small Plates,10.633341276897744,True,Avlonos 56
MIRONI Greek Restaurant,4.8,4133,€15–25,Greek,13.126758814511732,True, · Meg. Alexandrou 7
KARMINIO - All Day Eatery,4.8,2028,€10–15,Restaurant,12.414805364711071,True, · Veikou 86
A Little Taste of Home Restaurant,4.8,1970,$$,Restaurant,12.385788821732037,True, · Astiggos 8
Ραφίκι,4.8,1947,€10–15,Restaurant,12.3740450053722,True, · Pellis 22
Stone Athens,4.8,1801,$$,Restaurant,12.296097345175957,True,Adrianou 31
Meat n Roses Kolonaki,4.8,1738,€10–15,Restaurant,12.260490305825336,True,Amerikis 7
Thes ''Greek Creative Cuisine'',4.8,1578,$$,Restaurant,12.16391350140582,True,Taki 16
Seawolf Athens Restaurant,4.8,1047,$$,Restaurant,11.753684210870537,True, · Dimitrakopoulou 35
Soil restaurant,4.8,996,€50+,Fine Dining,11.7037472575846,True,Ferekidou 5
PANDORA,4.8,645,€5–10,Restaurant,11.269250316795771,True,Lempesi 1
Athena Greek Gastronomy,4.8,348,€5–10,Greek,10.652202479774472,True,Karaiskaki 3
Ατίταμος,4.7,6762,€15–20,Greek,13.51907398326783,True, · Kapodistriou 2
Aspro Alogo (i.e. White Horse) Traditional Greek Food,4.7,5139,€10–15,Greek,13.244613786992227,True, · Apollonos
juicygrill_Athens (downtown),4.7,4134,€10–20,Hamburger,13.027000740241714,True, · Palaión Patrón Germanoú 7
OROSCOPO restaurant,4.7,3974,$$,Mediterranean,12.987528423111762,True, · Antinoros 42-44
Athena 's Cook,4.7,3420,€15–25,Restaurant,12.83739583005665,True, · Nikis 20
GREEK STORIES,4.7,2681,€15–20,Greek,12.59394513823596,True, · Makrigianni 19-21
Eleas Gi,4.7,2437,€50+,Greek,12.498523053625206,True,
