name,rating,reviews,info,category,composite_score,high_review_flag,address
Thang Long Vietnamese Restaurant,5.0,743,€10–15,Vietnamese,11.61069604471776,True, · Meg. Alexandrou 1
Migniardise,5.0,360,€5–10,Restaurant,10.886104031450156,True,Veikou 30
Vegan Beat Athens,4.9,5069,€5–10,Vegan,13.43089883847235,True,Perikleous 56
Thinalos Seafood Restaurant - ΘΙΝΑΛΟΣ,4.9,1321,$$,Seafood,12.086144304522325,True, · Chiou 7
Golden Indian Haveli,4.9,1049,€10–20,Indian,11.855592608396297,True, · Αγίου Φιλίππου 10
MIRONI Greek Restaurant,4.8,4133,€15–25,Greek,13.126758814511732,True, · Meg. Alexandrou 7
A Little Taste of Home Restaurant,4.8,1970,$$,Restaurant,12.385788821732037,True, · Astiggos 8
Meat n Roses Kolonaki,4.8,1738,€10–15,Restaurant,12.260490305825336,True,Amerikis 7
PANDORA,4.8,645,€5–10,Restaurant,11.269250316795771,True,Lempesi 1
Grande Dame Athenian Tavern,4.8,508,$$,Grill,11.03048144757848,True,Nikis 46
Karamanlidika,4.7,11017,€10–20,Greek,14.007194813340064,True, · Evripidou 52
Aspro Alogo (i.e. White Horse) Traditional Greek Food,4.7,5139,€10–15,Greek,13.244613786992227,True, · Apollonos
juicygrill_Athens (downtown),4.7,4134,€10–20,Hamburger,13.027000740241714,True, · Palaión Patrón Germanoú 7
OROSCOPO restaurant,4.7,3974,$$,Mediterranean,12.987528423111762,True, · Antinoros 42-44
Old Ithaki,4.7,3430,$$,Restaurant,12.840315540159985,True, · Agias Filotheis 2
Krasopoulio tou Kokkora,4.7,2824,€10–15,Greek,12.645909598613134,True,Esopou 4
"Karamanlidika - Τα Καραμανλίδικα του Φάνη, Εργαστήρι - Ερμού 119",4.7,2563,€15–20,Greek,12.548933726364073,True,Ermou 119
EATERY Bairaktaris Aiolou 29,4.7,2427,€10–15,Mediterranean,12.4944112057266,True, · Aiolou 29
"Yard, all day bar restaurant",4.7,2387,$$,Restaurant,12.47779262633883,True, · Makrigianni 17
Granello - Pizza Italiana,4.7,2366,€10–15,Pizza,12.468956044538333,True,Perikleous 18
Mpirmpilo,4.7,2149,$$,Restaurant,12.372757896642511,True,Ploutarchou 26
Fine Mess Smokehouse,4.7,2023,$$,Restaurant,12.312336837167743,True, · Delfon 5
Aleria Restaurant,4.7,1469,€50+,Fine Dining,11.992337176173876,True, · Meg. Alexandrou 57
Simul,4.7,1387,€50+,Restaurant,11.93489842031483,True, · Ipsilantou 63
Tivoli,4.7,1372,$$,Greek,11.92402480828583,True, · Emmanouil Benaki 34
