name,rating,reviews,info,category,composite_score,high_review_flag,address
Migniardise,5.0,360,€5–10,Restaurant,10.886104031450156,True,Veikou 30
Coffee Joint,4.9,1771,€5–10,Cafe,12.379299637782834,True,Vourvachi 5-9
Guarantee,4.9,1460,€5–10,Sandwich,12.186191714702382,True, · Veikou 41
Herve Restaurant,4.9,778,€50+,Fine Dining,11.55672652417839,True,Trion Ierarchon 170
Mama Tierra Acropolis - Vegan street food,4.9,490,€5–10,Vegan,11.094405391104672,True,Chatzichristou 29
Crete,4.9,412,€1–5,Sandwich,10.921023349349529,True,Ipponaktos 54
Kouzineta Restaurant,4.9,288,€10–15,Traditional restaurant,10.562960480135946,True,Veikou 107
KARMINIO - All Day Eatery,4.8,2028,€10–15,Restaurant,12.414805364711071,True, · Veikou 86
PARKBENCH,4.8,1390,$$,Restaurant,12.037059026124735,True, · Pramanton 10
Neratzia Cafe Bistro,4.8,1214,€10–15,Bistro,11.901675971619444,True, · Zan Moreas 6
Seawolf Athens Restaurant,4.8,1047,$$,Restaurant,11.753684210870537,True, · Dimitrakopoulou 35
Thomas 1971 Tavern,4.8,840,$$,Restaurant,11.53340189183736,True,Dimitrakopoulou 18
Kalamakeri,4.8,826,€10–15,Restaurant,11.516594773520978,True, · Leontiou 11
Strange Brew Taproom & Bottleshop,4.8,805,€5–10,Beer hall,11.490842277418563,True,Falirou 86
PANDORA,4.8,645,€5–10,Restaurant,11.269250316795771,True,Lempesi 1
Blame The Sun Athens Taproom,4.8,627,€5–10,Brewpub,11.24094654063292,True,"Veikou 60, C"
VOVA FOOD BAR,4.8,623,€10–15,Restaurant,11.234546518787454,True, · Veikou 8
Bite Box,4.8,573,€5–10,Breakfast,11.15088571671474,True, · Veikou 84
falafel bar ΤΟ ΡΕΒΙΘΙ,4.8,516,€1–5,Restaurant,11.046106765481564,True,Parthenonos 1
Esthio Athens,4.8,446,4.8(446),Restaurant,10.900318952020063,True,Dimitrakopoulou 7
Mother Vegan Cafe Bistro,4.8,339,€5–10,Vegan,10.626000107380449,True,"Δημητρακοπούλου, Agiou Nikolaou 95"
Psiloritis,4.8,279,€10–15,Family-friendly,10.431211781821364,True,Sokratous 19
Arcadia Restaurant,4.7,4351,€15–25,Greek,13.07816098272068,True, · Makrigianni 23-27
TUK TUK THAI STREET FOOD,4.7,2793,€10–15,Thai,12.634871565945176,True, · Veikou 40
"Yard, all day bar restaurant",4.7,2388,$$,Restaurant,12.478211474512491,True, · Makrigianni 17
