name,rating,reviews,info,category,composite_score,high_review_flag,address
Thang Long Vietnamese Restaurant,5.0,743,€10–15,Vietnamese,11.61069604471776,True, · Meg. Alexandrou 1
Vegan Beat Athens,4.9,5069,€5–10,Vegan,13.43089883847235,True,Perikleous 56
Thinalos Seafood Restaurant - ΘΙΝΑΛΟΣ,4.9,1321,$$,Seafood,12.086144304522325,True, · Chiou 7
Aesopou Fables,4.9,1062,"4.9(1,062)",Greek,11.867909201801885,True,Esopou 9
Golden Indian Haveli,4.9,1049,€10–20,Indian,11.855592608396297,True, · Αγίου Φιλίππου 10
Symposio Restaurant,4.9,881,4.9(881),Mediterranean,11.68105762593618,True,Apollonos 22
The New Era Authentic Greek Cuisine,4.9,856,€15–20,Greek,11.652270376141743,True, · Perikleous 30-32
Feyrouz,4.8,5231,€5–10,Middle Eastern,13.362357743370612,True," · Καρόρη 23 και, Agathonos 1"
MIRONI Greek Restaurant,4.8,4133,€15–25,Greek,13.126758814511732,True, · Meg. Alexandrou 7
Meat the Greek,4.8,3052,€5–10,Gyro,12.823552392404348,True,Fokionos 2-4
A Little Taste of Home Restaurant,4.8,1970,$$,Restaurant,12.385788821732037,True, · Astiggos 8
Ραφίκι,4.8,1947,€10–15,Restaurant,12.3740450053722,True, · Pellis 22
Stone Athens,4.8,1801,$$,Restaurant,12.296097345175957,True,Adrianou 31
Meat n Roses Kolonaki,4.8,1738,€10–15,Restaurant,12.260490305825336,True,Amerikis 7
Thes ''Greek Creative Cuisine'',4.8,1578,$$,Restaurant,12.16391350140582,True,Taki 16
Nissos Seafood Tavern,4.8,1070,€15–20,Seafood,11.77541392745595,True, · Christokopidou 1
Cookoomela Grill,4.8,895,€5–10,Vegan,11.596823718274855,True,Themistokleous 43
The Frogs Guesthouse,4.8,652,4.8(652),Hotel,11.280044561926651,True,
PANDORA,4.8,645,€5–10,Restaurant,11.269250316795771,True,Lempesi 1
Grande Dame Athenian Tavern,4.8,508,$$,Grill,11.03048144757848,True,Nikis 46
Karamanlidika,4.7,11017,€10–20,Greek,14.007194813340064,True, · Evripidou 52
Ατίταμος,4.7,6762,€15–20,Greek,13.51907398326783,True, · Kapodistriou 2
Aspro Alogo (i.e. White Horse) Traditional Greek Food,4.7,5139,€10–15,Greek,13.244613786992227,True, · Apollonos
Arcadia Restaurant,4.7,4350,€15–25,Greek,13.077931124082731,True, · Makrigianni 23-27
Old Ithaki,4.7,3430,$$,Restaurant,12.840315540159985,True, · Agias Filotheis 2
