name,rating,reviews,info,category,composite_score,high_review_flag,address
Vegan Beat Athens,4.9,5069,€5–10,Vegan,13.43089883847235,True,Perikleous 56
Golden Indian Haveli,4.9,1049,€10–20,Indian,11.855592608396297,True, · Αγίου Φιλίππου 10
Symposio Restaurant,4.9,881,4.9(881),Mediterranean,11.68105762593618,True,Apollonos 22
Feyrouz,4.8,5231,€5–10,Middle Eastern,13.362357743370612,True," · Καρόρη 23 και, Agathonos 1"
MIRONI Greek Restaurant,4.8,4133,€15–25,Greek,13.126758814511732,True, · Meg. Alexandrou 7
Bandiera,4.8,3678,€15–20,Restaurant,13.010124405164266,True,Taki 19
Meat the Greek,4.8,3052,€5–10,Gyro,12.823552392404348,True,Fokionos 2-4
A Little Taste of Home Restaurant,4.8,1970,$$,Restaurant,12.385788821732037,True, · Astiggos 8
Stone Athens,4.8,1801,$$,Restaurant,12.296097345175957,True,Adrianou 31
Thes ''Greek Creative Cuisine'',4.8,1578,$$,Restaurant,12.16391350140582,True,Taki 16
Smak Ζυμερία,4.8,1491,€5–10,Fast Food,12.107202314764738,True,Romvis 21
Nissos Seafood Tavern,4.8,1070,€15–20,Seafood,11.77541392745595,True, · Christokopidou 1
The Frogs Guesthouse,4.8,652,4.8(652),Hotel,11.280044561926651,True,
PANDORA,4.8,645,€5–10,Restaurant,11.269250316795771,True,Lempesi 1
Karamanlidika,4.7,11017,€10–20,Greek,14.007194813340064,True, · Evripidou 52
Ατίταμος,4.7,6762,€15–20,Greek,13.51907398326783,True, · Kapodistriou 2
Falafellas (Athens),4.7,5204,€1–5,Falafel,13.257182839632396,True,Aiolou 51
Aspro Alogo (i.e. White Horse) Traditional Greek Food,4.7,5139,€10–15,Greek,13.244613786992227,True, · Apollonos
The Brunchers,4.7,4881,€10–15,Brunch,13.193105395887148,True, · Ag. Theklas 5
juicygrill_Athens (downtown),4.7,4134,€10–20,Hamburger,13.027000740241714,True, · Palaión Patrón Germanoú 7
Old Ithaki,4.7,3430,$$,Restaurant,12.840315540159985,True, · Agias Filotheis 2
Athena 's Cook,4.7,3419,€15–25,Restaurant,12.837103389639305,True, · Nikis 20
The Kyklamino,4.7,3361,€10–15,Small Plates,12.819993827725106,True, · Pl. Avissinias 3
Krasopoulio tou Kokkora,4.7,2824,€10–15,Greek,12.645909598613134,True,Esopou 4
GREEK STORIES,4.7,2681,€15–20,Greek,12.59394513823596,True, · Makrigianni 19-21
