name,rating,reviews,info,category,composite_score,high_review_flag,address
Migniardise,5.0,360,€5–10,Restaurant,10.886104031450156,True,Veikou 30
Vegan Beat Athens,4.9,5069,€5–10,Vegan,13.43089883847235,True,Perikleous 56
Coffee Joint,4.9,1771,€5–10,Cafe,12.379299637782834,True,Vourvachi 5-9
Romatella - Pinsa Romana,4.9,1061,€5–10,Pizza,11.866967138613983,True,Falirou 4
The Empiro Grill,4.9,790,€1–5,Restaurant,11.572032945461068,True, · Irakleous 28
Crete,4.9,412,€1–5,Sandwich,10.921023349349529,True,Ipponaktos 54
Crete,4.9,412,€1–5,Sandwich,10.921023349349529,True,Ipponaktos 54
Ya Zhou,4.9,358,4.9(358),Asian,10.7805329864007,True,Lepeniotou 26
Chimichurri Athens,4.9,349,4.9(349),Restaurant,10.755071922202427,True,Nileos 11
MIRONI Greek Restaurant,4.8,4133,€15–25,Greek,13.126758814511732,True, · Meg. Alexandrou 7
Bandiera,4.8,3678,€15–20,Restaurant,13.010124405164266,True,Taki 19
KARMINIO - All Day Eatery,4.8,2028,€10–15,Restaurant,12.414805364711071,True, · Veikou 86
A Little Taste of Home Restaurant,4.8,1970,$$,Restaurant,12.385788821732037,True, · Astiggos 8
Meat n Roses Kolonaki,4.8,1738,€10–15,Restaurant,12.260490305825336,True,Amerikis 7
Usurum Brunch & Cocktails,4.8,1620,€10–15,Breakfast,12.19018142822643,True, · Lepeniotou 19
Thes ''Greek Creative Cuisine'',4.8,1578,$$,Restaurant,12.16391350140582,True,Taki 16
Kalamakeri,4.8,826,€10–15,Restaurant,11.516594773520978,True, · Leontiou 11
PANDORA,4.8,645,€5–10,Restaurant,11.269250316795771,True,Lempesi 1
Dinner in the Sky Athens,4.8,638,€50+,Restaurant,11.25833828334479,True, · Technopolis
Blame The Sun Athens Taproom,4.8,627,€5–10,Brewpub,11.24094654063292,True,"Veikou 60, C"
Me geusi kitro,4.8,355,$$,Restaurant,10.672117789475417,True,Machis Analatou 49
Aspro Alogo (i.e. White Horse) Traditional Greek Food,4.7,5139,€10–15,Greek,13.244613786992227,True, · Apollonos
juicygrill_Athens (downtown),4.7,4134,€10–20,Hamburger,13.027000740241714,True, · Palaión Patrón Germanoú 7
EATERY Bairaktaris Aiolou 29,4.7,2427,€10–15,Mediterranean,12.4944112057266,True, · Aiolou 29
"Yard, all day bar restaurant",4.7,2387,$$,Restaurant,12.47779262633883,True, · Makrigianni 17
