name,rating,reviews,info,category,composite_score,high_review_flag,address
Migniardise,5.0,360,€5–10,Restaurant,10.886104031450156,True,Veikou 30
Falafelo Street Food,5.0,253,€1–5,Vegan,10.53338948872752,True,Soultani 2-4
Vegan Beat Athens,4.9,5069,€5–10,Vegan,13.43089883847235,True,Perikleous 56
Thinalos Seafood Restaurant - ΘΙΝΑΛΟΣ,4.9,1321,$$,Seafood,12.086144304522325,True, · Chiou 7
Ya Zhou,4.9,358,4.9(358),Asian,10.7805329864007,True,Lepeniotou 26
Chimichurri Athens,4.9,349,4.9(349),Restaurant,10.755071922202427,True,Nileos 11
MIRONI Greek Restaurant,4.8,4133,€15–25,Greek,13.126758814511732,True, · Meg. Alexandrou 7
Bandiera,4.8,3678,€15–20,Restaurant,13.010124405164266,True,Taki 19
KARMINIO - All Day Eatery,4.8,2028,€10–15,Restaurant,12.414805364711071,True, · Veikou 86
A Little Taste of Home Restaurant,4.8,1970,$$,Restaurant,12.385788821732037,True, · Astiggos 8
Meat n Roses Kolonaki,4.8,1738,€10–15,Restaurant,12.260490305825336,True,Amerikis 7
Thes ''Greek Creative Cuisine'',4.8,1578,$$,Restaurant,12.16391350140582,True,Taki 16
Mentirosa - Tacos & Cocktails,4.8,492,4.8(492),Mexican,10.998478716492308,True,Thermopilon 41
Ateno Cook & Deli,4.8,434,4.8(434),Restaurant,10.873044534100403,True,"Αιόλου 52 &, Miltiadou"
Karamanlidika,4.7,11017,€10–20,Greek,14.007194813340064,True, · Evripidou 52
Ατίταμος,4.7,6762,€15–20,Greek,13.51907398326783,True, · Kapodistriou 2
Aspro Alogo (i.e. White Horse) Traditional Greek Food,4.7,5139,€10–15,Greek,13.244613786992227,True, · Apollonos
Arcadia Restaurant,4.7,4351,€15–25,Greek,13.07816098272068,True, · Makrigianni 23-27
juicygrill_Athens (downtown),4.7,4134,€10–20,Hamburger,13.027000740241714,True, · Palaión Patrón Germanoú 7
Athena 's Cook,4.7,3419,€15–25,Restaurant,12.837103389639305,True, · Nikis 20
Krasopoulio tou Kokkora,4.7,2824,€10–15,Greek,12.645909598613134,True,Esopou 4
GREEK STORIES,4.7,2681,€15–20,Greek,12.59394513823596,True, · Makrigianni 19-21
EATERY Bairaktaris Aiolou 29,4.7,2427,€10–15,Mediterranean,12.4944112057266,True, · Aiolou 29
Granello - Pizza Italiana,4.7,2366,€10–15,Pizza,12.468956044538333,True,Perikleous 18
Lefteris O Politis (est. 1951),4.7,2292,€1–5,Kebab shop,12.437180077834627,True,Satovriandou 20
