name,rating,reviews,info,category,composite_score,high_review_flag,address
Vegan Beat Athens,4.9,5069,€5–10,Vegan,13.43089883847235,True,Perikleous 56
Victory,4.9,2405,€10–15,Restaurant,12.685305182539862,True, · Filellinon 22
ILIADA,4.9,1850,€10–15,Restaurant,12.42294091807237,True, · Kidathineon 1 - 3
Coffee Joint,4.9,1771,€5–10,Cafe,12.379299637782834,True,Vourvachi 5-9
A Little Taste of Home Restaurant,4.8,1970,$$,Restaurant,12.385788821732037,True, · Astiggos 8
Meat n Roses Kolonaki,4.8,1738,€10–15,Restaurant,12.260490305825336,True,Amerikis 7
5F,4.8,1563,€5–10,Restaurant,12.154362330421478,True," · Diocharous 31 &, Klisouras"
Soil restaurant,4.8,996,€50+,Fine Dining,11.7037472575846,True,Ferekidou 5
Sushimou,4.8,934,€50+,Sushi,11.639476438228844,True,Skoufou 6
PANDORA,4.8,645,€5–10,Restaurant,11.269250316795771,True,Lempesi 1
Grande Dame Athenian Tavern,4.8,508,$$,Grill,11.03048144757848,True,Nikis 46
Ombrela Cafe Brunch Bar,4.8,433,€10–15,Cafe,10.870737728002489,True,Eratosthenous 21
Meat n Roses Pagrati,4.8,378,€10–15,Restaurant,10.734894195619589,True,Aminta 6
OH_MYPINSA!,4.8,331,€10–15,Pizza,10.602118375377064,True,Ευφράνορος 21
Κekkos Traditional Cafe & Pastry,4.8,296,4.8(296),Restaurant,10.49035945432406,True, · Eratosthenous 7
Aspro Alogo (i.e. White Horse) Traditional Greek Food,4.7,5139,€10–15,Greek,13.244613786992227,True, · Apollonos
juicygrill_Athens (downtown),4.7,4134,€10–20,Hamburger,13.027000740241714,True, · Palaión Patrón Germanoú 7
OROSCOPO restaurant,4.7,3974,$$,Mediterranean,12.987528423111762,True, · Antinoros 42-44
Athena 's Cook,4.7,3419,€15–25,Restaurant,12.837103389639305,True, · Nikis 20
Veganaki,4.7,2687,€10–15,Vegan,12.59618060861549,True,Athanasiou Diakou 38 (38
EATERY Bairaktaris Aiolou 29,4.7,2427,€10–15,Mediterranean,12.4944112057266,True, · Aiolou 29
Mpirmpilo,4.7,2149,$$,Restaurant,12.372757896642511,True,Ploutarchou 26
HANOI ATHENS - AUTHENTIC VIETNAMESE FOOD,4.7,2080,€10–15,Vietnamese,12.340123172695364,True,Petraki 12
Baba Ghanoush Vegetarian Restaurant,4.7,1648,€5–10,Vegetarian,12.107317710469417,True, · Empedokleous 25 - 27
Metropolis Roof Garden,4.7,1192,€50+,Restaurant,11.783387847625296,True, · Mitropoleos 15
