name,rating,reviews,info,category,composite_score,high_review_flag,address
Migniardise,5.0,360,€5–10,Restaurant,10.886104031450156,True,Veikou 30
Vegan Beat Athens,4.9,5069,€5–10,Vegan,13.43089883847235,True,Perikleous 56
Thinalos Seafood Restaurant - ΘΙΝΑΛΟΣ,4.9,1321,$$,Seafood,12.086144304522325,True, · Chiou 7
Herve Restaurant,4.9,778,€50+,Fine Dining,11.55672652417839,True,Trion Ierarchon 170
Buho Bruncherie,4.9,655,€5–10,Brunch,11.384635235635251,True,Trion Ierarchon 196
i avli tis idylis,4.9,294,€15–20,Restaurant,10.583579767338682,True,Iraklidon 14
MIRONI Greek Restaurant,4.8,4133,€15–25,Greek,13.126758814511732,True, · Meg. Alexandrou 7
KARMINIO - All Day Eatery,4.8,2028,€10–15,Restaurant,12.414805364711071,True, · Veikou 86
A Little Taste of Home Restaurant,4.8,1970,$$,Restaurant,12.385788821732037,True, · Astiggos 8
PARKBENCH,4.8,1390,$$,Restaurant,12.037059026124735,True, · Pramanton 10
Nissos Seafood Tavern,4.8,1070,€15–20,Seafood,11.77541392745595,True, · Christokopidou 1
Felicita - Aperitivo & Wine Bar,4.8,355,$$,Restaurant,10.672117789475417,True, · Megalou Vasileiou 40
Agape,4.8,294,4.8(294),Restaurant,10.483579767338682,True,Iraklidon 21-23
"Karamanlidika - Τα Καραμανλίδικα του Φάνη, Εργαστήρι - Ερμού 119",4.7,2563,€15–20,Greek,12.548933726364073,True,Ermou 119
The Souvlaki Of Charokopou,4.7,1866,€5–10,Restaurant,12.23155238140729,True, · Charokopou 46
Mandragoras,4.7,1806,€15–20,Greek,12.198869733976933,True, · Galatias 1
Cappadocia Grill Cafe,4.7,1481,€10–20,Halal,12.000472814267798,True, · Leof. El. Venizelou 15
Aleria Restaurant,4.7,1469,€50+,Fine Dining,11.992337176173876,True, · Meg. Alexandrou 57
Πάμε παράγκα,4.7,1295,€15–20,Restaurant,11.866265974133638,True,Kallisthenous 42
CTC Urban Gastronomy,4.7,1159,€50+,Restaurant,11.755312843339752,True, · Plateon 15
Valitsa,4.7,1133,€10–15,Restaurant,11.732624261028008,True, · Dimofontos 80
Merceri food & drink,4.7,730,€50+,Restaurant,11.293044534142435,True,Iraklidon 21
Οινομαγειρείο της Αλεξάνδρας,4.7,655,4.7(655),Family-friendly,11.184635235635252,True, · Dekeleon 32
Caravin Wine & Wanderlust,4.7,634,$$,Restaurant,11.152048954437229,True, · Akamantos 11
Asymmetro,4.7,629,€10–15,Restaurant,11.14413125670044,True, · Geor. Olimpiou 14
