name,rating,reviews,info,category,composite_score,high_review_flag,address
Vegan Beat Athens,4.9,5069,€5–10,Vegan,13.43089883847235,True,Perikleous 56
Victory,4.9,2405,€10–15,Restaurant,12.685305182539862,True, · Filellinon 22
ILIADA,4.9,1850,€10–15,Restaurant,12.42294091807237,True, · Kidathineon 1 - 3
Coffee Joint,4.9,1771,€5–10,Cafe,12.379299637782834,True,Vourvachi 5-9
Golden Indian Haveli,4.9,1049,€10–20,Indian,11.855592608396297,True, · Αγίου Φιλίππου 10
The New Era Authentic Greek Cuisine,4.9,856,€15–20,Greek,11.652270376141743,True, · Perikleous 30-32
Feyrouz,4.8,5231,€5–10,Middle Eastern,13.362357743370612,True," · Καρόρη 23 και, Agathonos 1"
MIRONI Greek Restaurant,4.8,4133,€15–25,Greek,13.126758814511732,True, · Meg. Alexandrou 7
A Little Taste of Home Restaurant,4.8,1970,$$,Restaurant,12.385788821732037,True, · Astiggos 8
Meat n Roses Kolonaki,4.8,1738,€10–15,Restaurant,12.260490305825336,True,Amerikis 7
Smak Ζυμερία,4.8,1491,€5–10,Fast Food,12.107202314764738,True,Romvis 21
Nissos Seafood Tavern,4.8,1070,€15–20,Seafood,11.77541392745595,True, · Christokopidou 1
Plakaki Cafe,4.8,782,€10–15,Cafe,11.461854740545313,True, · Pl. Filomousou Eterias 2
PANDORA,4.8,645,€5–10,Restaurant,11.269250316795771,True,Lempesi 1
Grande Dame Athenian Tavern,4.8,508,$$,Grill,11.03048144757848,True,Nikis 46
Karamanlidika,4.7,11017,€10–20,Greek,14.007194813340064,True, · Evripidou 52
Falafellas (Athens),4.7,5204,€1–5,Falafel,13.257182839632396,True,Aiolou 51
Aspro Alogo (i.e. White Horse) Traditional Greek Food,4.7,5139,€10–15,Greek,13.244613786992227,True, · Apollonos
Arcadia Restaurant,4.7,4351,€15–25,Greek,13.07816098272068,True, · Makrigianni 23-27
juicygrill_Athens (downtown),4.7,4134,€10–20,Hamburger,13.027000740241714,True, · Palaión Patrón Germanoú 7
Old Ithaki,4.7,3430,$$,Restaurant,12.840315540159985,True, · Agias Filotheis 2
Athena 's Cook,4.7,3419,€15–25,Restaurant,12.837103389639305,True, · Nikis 20
Krasopoulio tou Kokkora,4.7,2824,€10–15,Greek,12.645909598613134,True,Esopou 4
GREEK STORIES,4.7,2681,€15–20,Greek,12.59394513823596,True, · Makrigianni 19-21
"Karamanlidika - Τα Καραμανλίδικα του Φάνη, Εργαστήρι - Ερμού 119",4.7,2563,€15–20,Greek,12.548933726364073,True,Ermou 119
