name,rating,reviews,info,category,composite_score,high_review_flag,address
Vegan Beat Athens,4.9,5069,€5–10,Vegan,13.43089883847235,True,Perikleous 56
Aesopou Fables,4.9,1062,"4.9(1,062)",Greek,11.867909201801885,True,Esopou 9
Golden Indian Haveli,4.9,1049,€10–20,Indian,11.855592608396297,True, · Αγίου Φιλίππου 10
Tapfield,4.9,627,€5–10,Bar,11.34094654063292,True, · Ναυάρχου Αποστόλη 4
Asian bowls,4.9,540,€10–15,Vietnamese,11.191569139558322,True,Sarri 36
Sarri's Souvlaki,4.9,446,€5–10,Restaurant,11.000318952020065,True,Sarri 36
Αριστοτέλης Κρεατοφαγείον (Aristotelis Kreatofageion),4.9,384,€15–20,Barbecue,10.850642552587727,True, · Esopou 3
Feyrouz,4.8,5231,€5–10,Middle Eastern,13.362357743370612,True," · Καρόρη 23 και, Agathonos 1"
MIRONI Greek Restaurant,4.8,4133,€15–25,Greek,13.126758814511732,True, · Meg. Alexandrou 7
Bandiera,4.8,3678,€15–20,Restaurant,13.010124405164266,True,Taki 19
A Little Taste of Home Restaurant,4.8,1970,$$,Restaurant,12.385788821732037,True, · Astiggos 8
Stone Athens,4.8,1801,$$,Restaurant,12.296097345175957,True,Adrianou 31
To kousoulo,4.8,1677,€15–20,Restaurant,12.22476176182321,True, · Amfiktionos 27
Usurum Brunch & Cocktails,4.8,1620,€10–15,Breakfast,12.19018142822643,True, · Lepeniotou 19
Thes ''Greek Creative Cuisine'',4.8,1578,$$,Restaurant,12.16391350140582,True,Taki 16
Nissos Seafood Tavern,4.8,1070,€15–20,Seafood,11.77541392745595,True, · Christokopidou 1
Bouloukos Kebab,4.8,1000,€5–10,Restaurant,11.707755278982138,True,Athinas 53
The Frogs Guesthouse,4.8,652,4.8(652),Hotel,11.280044561926651,True,
PANDORA,4.8,645,€5–10,Restaurant,11.269250316795771,True,Lempesi 1
Artos Venetis,4.8,319,4.8(319),Pastries,10.565191102784844,True,Sarri 13
Η Στοά του Ψυρρή,4.8,298,€10–15,Small Plates,10.497093486505404,True,Ag. Dimitriou 19
Agape,4.8,294,4.8(294),Restaurant,10.483579767338682,True,Iraklidon 21-23
Παραδοσιακόν Καφενείον Καστέλλο,4.8,252,€15–20,Greek,10.329429087511423,True, · Evripidou 88
Karamanlidika,4.7,11017,€10–20,Greek,14.007194813340064,True, · Evripidou 52
Falafellas (Athens),4.7,5204,€1–5,Falafel,13.257182839632396,True,Aiolou 51
