name,rating,reviews,info,category,composite_score,high_review_flag,address
Thang Long Vietnamese Restaurant,5.0,743,€10–15,Vietnamese,11.61069604471776,True, · Meg. Alexandrou 1
Migniardise,5.0,360,€5–10,Restaurant,10.886104031450156,True,Veikou 30
Victory,4.9,2405,€10–15,Restaurant,12.685305182539862,True, · Filellinon 22
Thinalos Seafood Restaurant - ΘΙΝΑΛΟΣ,4.9,1321,$$,Seafood,12.086144304522325,True, · Chiou 7
Golden Indian Haveli,4.9,1049,€10–20,Indian,11.855592608396297,True, · Αγίου Φιλίππου 10
i avli tis idylis,4.9,294,€15–20,Restaurant,10.583579767338682,True,Iraklidon 14
MIRONI Greek Restaurant,4.8,4133,€15–25,Greek,13.126758814511732,True, · Meg. Alexandrou 7
KARMINIO - All Day Eatery,4.8,2028,€10–15,Restaurant,12.414805364711071,True, · Veikou 86
A Little Taste of Home Restaurant,4.8,1970,$$,Restaurant,12.385788821732037,True, · Astiggos 8
Stone Athens,4.8,1801,$$,Restaurant,12.296097345175957,True,Adrianou 31
Meat n Roses Kolonaki,4.8,1738,€10–15,Restaurant,12.260490305825336,True,Amerikis 7
To kousoulo,4.8,1677,€15–20,Restaurant,12.22476176182321,True, · Amfiktionos 27
Thes ''Greek Creative Cuisine'',4.8,1578,$$,Restaurant,12.16391350140582,True,Taki 16
Nissos Seafood Tavern,4.8,1070,€15–20,Seafood,11.77541392745595,True, · Christokopidou 1
Seawolf Athens Restaurant,4.8,1047,$$,Restaurant,11.753684210870537,True, · Dimitrakopoulou 35
Cookoomela Grill,4.8,895,€5–10,Vegan,11.596823718274855,True,Themistokleous 43
The Frogs Guesthouse,4.8,652,4.8(652),Hotel,11.280044561926651,True,
PANDORA,4.8,645,€5–10,Restaurant,11.269250316795771,True,Lempesi 1
VOVA FOOD BAR,4.8,623,€10–15,Restaurant,11.234546518787454,True, · Veikou 8
Karamanlidika,4.7,11017,€10–20,Greek,14.007194813340064,True, · Evripidou 52
Ατίταμος,4.7,6762,€15–20,Greek,13.51907398326783,True, · Kapodistriou 2
Aspro Alogo (i.e. White Horse) Traditional Greek Food,4.7,5139,€10–15,Greek,13.244613786992227,True, · Apollonos
Arcadia Restaurant,4.7,4350,€15–25,Greek,13.077931124082731,True, · Makrigianni 23-27
juicygrill_Athens (downtown),4.7,4134,€10–20,Hamburger,13.027000740241714,True, · Palaión Patrón Germanoú 7
Old Ithaki,4.7,3430,$$,Restaurant,12.840315540159985,True, · Agias Filotheis 2
