Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Bastille,JJ Beaumarchais,4.9,989,4.9(989),"JJ Beaumarchais
4.9(989)
French ·  · 92 Bd Beaumarchais
Creative cuisine in a relaxed restaurant
Closed ⋅ Opens 6:45 PM Tue",11.796694331622714,True
Bastille,Chez Pradel Bastille,4.9,633,4.9(633) · €20–30,"Chez Pradel Bastille
4.9(633) · €20–30
French ·  · 3 Rue du Pasteur Wagner
Closed ⋅ Opens 10:30 AM",11.350470422144177,True
Bastille,BOMBOLÒ Cantine à Pizza - Cave à Vins Italiens,4.9,438,4.9(438) · €20–30,"BOMBOLÒ Cantine à Pizza - Cave à Vins Italiens
4.9(438) · €20–30
Italian ·  · 90 Bd Voltaire
Closed ⋅ Opens 12 PM Mon",10.982218910376446,True
Bastille,Menekse,4.9,349,4.9(349) · €20–30,"Menekse
4.9(349) · €20–30
Restaurant · 7 Pass. de la Main d'Or
Closed ⋅ Opens 6:30 PM",10.755071922202427,True
Bastille,BEER Paris,4.9,330,4.9(330) · €10–20,"BEER Paris
4.9(330) · €10–20
Beer hall · 3 Rue de la Forge Royale
Closed ⋅ Opens 5 PM",10.699092654460525,True
Bastille,Cagettes,4.9,305,4.9(305) · €10–20,"Cagettes
4.9(305) · €10–20
Restaurant ·  · 3 Rue Froment
Closed ⋅ Opens 12 PM Mon",10.620311776607412,True
Bastille,On Partage - Cantine Caféinée,4.9,272,4.9(272) · €10–20,"On Partage - Cantine Caféinée
4.9(272) · €10–20
Restaurant ·  · 137 bis Rue de Charonne
Closed ⋅ Opens 9 AM",10.505802066295999,True
Bastille,Kitchen Ter(re),4.8,1999,"4.8(1,999) · $$","Kitchen Ter(re)
4.8(1,999) · $$
Restaurant · 26 Bd Saint-Germain
Closed ⋅ Opens 12 PM Tue",12.400402334500399,True
Bastille,Madito,4.8,1040,"4.8(1,040) · €30–40","Madito
4.8(1,040) · €30–40
Lebanese ·  · 12 Rue de Candie
Lebanese dining in an airy modern space
Closed ⋅ Opens 12 PM Tue",11.746975992135418,True
Bastille,Les Deux Colombes,4.8,1033,"4.8(1,033) · €20–30","Les Deux Colombes
4.8(1,033) · €20–30
Restaurant · 4 Rue de la Colombe
Artful eatery for easygoing meals & wine
Closed ⋅ Opens 12 PM",11.740222469119638,True
