Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Batignolles,Rooster par Frédéric Duca,4.9,1080,"4.9(1,080) · €100+","Rooster par Frédéric Duca
4.9(1,080) · €100+
Haute French ·  · 137 Rue Cardinet
Polished locale for creative fine dining
Closed ⋅ Opens 12:15 PM Mon",11.884716320118265,True
Batignolles,Petit Boutary,4.9,903,4.9(903),"Petit Boutary
4.9(903)
French ·  · 16 Rue Jacquemont
Upscale bistro for set menus with wines
Closed ⋅ Opens 12 PM Tue",11.705722553416987,True
Batignolles,Mallory Gabsi,4.8,1954,"4.8(1,954) · €100+","Mallory Gabsi
4.8(1,954) · €100+
Haute French ·  · 28 Rue des Acacias
High-concept fare in posh surrounds
Closed ⋅ Opens 12:30 PM Mon",12.377633832602728,True
Batignolles,Les P'tits Potes - Bar à vin de copains,4.8,1412,"4.8(1,412) · €20–30","Les P'tits Potes - Bar à vin de copains
4.8(1,412) · €20–30
Wine bar ·  · 33 Rue des Dames
Closed ⋅ Opens 6 PM",12.052762418053188,True
Batignolles,Le Truffaut,4.8,648,4.8(648),"Le Truffaut
4.8(648)
Restaurant · 89 Rue Truffaut
Closed ⋅ Opens 12 PM Mon",11.273890696352275,True
Batignolles,Chez Tartar,4.8,511,4.8(511) · €30–40,"Chez Tartar
4.8(511) · €30–40
Restaurant ·  · 31 Rue Legendre
Closed ⋅ Opens 12 PM Mon",11.036369590203705,True
Batignolles,"Les Frérots Burger, bistrot",4.8,461,4.8(461) · €20–30,"Les Frérots Burger, bistrot
4.8(461) · €20–30
Restaurant · 117 Rue des Dames
Closed ⋅ Opens 11:30 AM Mon",10.933398042996648,True
Batignolles,Mamine Batignolles,4.8,301,4.8(301) · €30–40,"Mamine Batignolles
4.8(301) · €30–40
Tapas Bar · 19 Rue des Dames
Closed ⋅ Opens 7 PM Tue",10.507110264748874,True
Batignolles,Que pour les Gourmands,4.8,255,4.8(255) · €20–30,"Que pour les Gourmands
4.8(255) · €20–30
French ·  · 97 Rue de Tocqueville
Classic cooking in a clock-filled eatery
Closed ⋅ Opens 12 PM Mon",10.341263545158426,True
Batignolles,MELT BATIGNOLLES,4.7,3075,"4.7(3,075) · €20–30","MELT BATIGNOLLES
4.7(3,075) · €20–30
Meat ·  · 83 Rue Legendre
Relaxed eatery for American comfort food
Closed ⋅ Opens 12 PM",12.731060180240618,True
Batignolles,BRUTUS - Batignolles,4.7,1861,"4.7(1,861)","BRUTUS - Batignolles
4.7(1,861)
Crêperie · 99 Rue des Dames
Closed ⋅ Opens 12 PM",12.228869256642252,True
Batignolles,Le 27 Gourmand,4.7,1245,"4.7(1,245) · $$","Le 27 Gourmand
4.7(1,245) · $$
French ·  · 27 Bd des Batignolles
Closed ⋅ Opens 7 PM Mon",11.826890808898808,True
Batignolles,ANONA,4.7,1198,"4.7(1,198) · €100+","ANONA
4.7(1,198) · €100+
Fine Dining ·  · 80 Bd des Batignolles
Refined modern cuisine & tasting menus
Closed ⋅ Opens 7:30 PM Mon",11.788408778675395,True
Batignolles,Le 17.45 Paris Batignolles - Planches à composer,4.7,1097,"4.7(1,097) · €20–30","Le 17.45 Paris Batignolles - Planches à composer
4.7(1,097) · €20–30
French · 45 Rue des Dames
Cool locale for cheese & charcuterie
Closed ⋅ Opens 5:45 PM",11.70033446027523,True
Batignolles,Franquette Paris,4.7,982,4.7(982),"Franquette Paris
4.7(982)
French · 8 Rue des Dames
Closed ⋅ Opens 7:30 PM Tue",11.589591308354466,True
Batignolles,Le Paris 17,4.7,712,4.7(712) · $$,"Le Paris 17
4.7(712) · $$
French ·  · 41 Rue Guersant
French cuisine & an old-world ambience
Closed ⋅ Opens 12 PM Mon",11.268077911411975,True
Batignolles,Chez Gusto,4.7,651,4.7(651) · €20–30,"Chez Gusto
4.7(651) · €20–30
Italian ·  · 93 Rue de La Jonquière
Closed ⋅ Opens 12 PM",11.178509642208569,True
Batignolles,Le Bistrot d'Yves,4.7,645,4.7(645) · €30–40,"Le Bistrot d'Yves
4.7(645) · €30–40
Restaurant ·  · 33 Rue Cardinet
Contemporary bistro for refined classics
Closed ⋅ Opens 12 PM Mon",11.169250316795772,True
Batignolles,Les Marchands de Vin,4.7,537,4.7(537) · €30–40,"Les Marchands de Vin
4.7(537) · €30–40
Restaurant ·  · 9 Rue Biot
Closed ⋅ Opens 7 PM Tue",10.985998094508865,True
Batignolles,Ripaille,4.7,513,4.7(513) · $$,"Ripaille
4.7(513) · $$
Restaurant · 69 Rue des Dames
Closed ⋅ Opens 12 PM Mon",10.94027584517077,True
Batignolles,Restaurant Vatel Paris,4.7,484,4.7(484) · $$,"Restaurant Vatel Paris
4.7(484) · $$
French ·  · 122 Rue Nollet
Closed ⋅ Opens 12 PM Mon",10.882084906716631,True
Batignolles,L'entrepotes,4.7,439,4.7(439) · €10–20,"L'entrepotes
4.7(439) · €10–20
Bar ·  · 68 Av. de Clichy
Closed ⋅ Opens 3 PM",10.78449941307517,True
Batignolles,Kokoya,4.7,408,4.7(408) · €20–30,"Kokoya
4.7(408) · €20–30
Japanese ·  · 5 Rue des Batignolles
Closed ⋅ Opens 12 PM Tue",10.711267174404162,True
Batignolles,Les Poulettes Batignolles,4.7,400,4.7(400) · $$,"Les Poulettes Batignolles
4.7(400) · $$
Traditional restaurant ·  · 10 Rue de Cheroy
Franco-Catalan meals & outdoor seats
Closed ⋅ Opens 12:30 PM Tue",10.691464547107982,True
Batignolles,Pêche,4.7,369,4.7(369) · $$,"Pêche
4.7(369) · $$
French ·  · 127 Rue Cardinet
Closed ⋅ Opens 12 PM Mon",10.610796644040526,True
