Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Belleville,Restaurant Musa Belleville - Paris 20,5.0,503,5.0(503),"Restaurant Musa Belleville - Paris 20
5.0(503)
Tapas ·  · 82 Bd de Belleville
Closed ⋅ Opens 6 PM Tue",11.22059017009974,True
Belleville,avec amour - le burger Belleville,4.8,2985,"4.8(2,985) · €10–20","avec amour - le burger Belleville
4.8(2,985) · €10–20
Hamburger ·  · 78 Rue de Belleville
Closed ⋅ Opens 11 AM",12.801355025826702,True
Belleville,Les Petites Flèches Parmentier,4.8,734,4.8(734) · €20–30,"Les Petites Flèches Parmentier
4.8(734) · €20–30
Dart bar ·  · 49 Rue Jean-Pierre Timbaud
Closed ⋅ Opens 3:30 PM",11.398509028614516,True
Belleville,11ème Domaine,4.8,624,4.8(624) · €20–30,"11ème Domaine
4.8(624) · €20–30
Wine bar ·  · 14 Rue des Trois Bornes
Closed ⋅ Opens 6 PM",11.236150368369428,True
Belleville,Fifty fifty,4.8,287,4.8(287) · €10–20,"Fifty fifty
4.8(287) · €10–20
Cocktail bar · 74 Rue Jean-Pierre Timbaud
Cozy cocktail lounge with a tapas menu
Closed ⋅ Opens 6 PM Tue",10.459482215759621,True
Belleville,Le Jourdain,4.7,950,4.7(950) · €20–40,"Le Jourdain
4.7(950) · €20–40
Restaurant · 101 Rue des Couronnes
Airy venue for creative small plates
Closed ⋅ Opens 12 PM Mon",11.556461984594588,True
Belleville,Le Jourdain,4.7,950,4.7(950) · €20–40,"Le Jourdain
4.7(950) · €20–40
Restaurant · 101 Rue des Couronnes
Airy venue for creative small plates
Closed ⋅ Opens 12 PM Mon",11.556461984594588,True
Belleville,Le Hérisson,4.7,487,4.7(487) · €20–30,"Le Hérisson
4.7(487) · €20–30
Moroccan ·  · 78 Bd de Belleville
Cool bistro for choice fare & wine
Closed ⋅ Opens 3 PM Mon",10.888264123082589,True
Belleville,Le Hérisson,4.7,487,4.7(487) · €20–30,"Le Hérisson
4.7(487) · €20–30
Moroccan ·  · 78 Bd de Belleville
Cool bistro for choice fare & wine
Closed ⋅ Opens 3 PM Mon",10.888264123082589,True
Belleville,Babel Belleville,4.7,452,4.7(452),"Babel Belleville
4.7(452)
3-star tourist hotel
Funky, vintage hotel with a bistro/bar",10.813682179832231,True
Belleville,Coup de Tête,4.7,281,4.7(281) · €20–30,"Coup de Tête
4.7(281) · €20–30
Restaurant ·  · 107 Rue de Belleville
Closed ⋅ Opens 12 PM Tue",10.338354669333746,True
Belleville,La Cantine de Babelville,4.6,593,4.6(593) · €1–10,"La Cantine de Babelville
4.6(593) · €1–10
African ·  · 77 Rue de la Fontaine au Roi
Counter-serve spot for African meals
Closed ⋅ Opens 12 PM Mon",10.985194398997725,True
Belleville,La Cantine de Babelville,4.6,593,4.6(593) · €1–10,"La Cantine de Babelville
4.6(593) · €1–10
African ·  · 77 Rue de la Fontaine au Roi
Counter-serve spot for African meals
Closed ⋅ Opens 12 PM Mon",10.985194398997725,True
Belleville,La Cave de Belleville,4.6,564,4.6(564) · $$,"La Cave de Belleville
4.6(564) · $$
Wine store ·  · 51 Rue de Belleville
Closed ⋅ Opens 11 AM",10.935054251498059,True
Belleville,MICRO BRASSERIE BALTHAZAR,4.6,557,4.6(557) · €10–20,"MICRO BRASSERIE BALTHAZAR
4.6(557) · €10–20
Brewpub ·  · 90 Bd de Ménilmontant
Closed ⋅ Opens 5 PM",10.922565239927284,True
Belleville,MICRO BRASSERIE BALTHAZAR,4.6,557,4.6(557) · €10–20,"MICRO BRASSERIE BALTHAZAR
4.6(557) · €10–20
Brewpub ·  · 90 Bd de Ménilmontant
Closed ⋅ Opens 5 PM",10.922565239927284,True
Belleville,Westborn Market,4.6,545,4.6(545),"Westborn Market
4.6(545)
Grocery store ·  · 860 Penniman Ave
Closed ⋅ Opens 8 AM",10.900785794663243,True
Belleville,Vieux Belleville,4.6,544,4.6(544) · $$,"Vieux Belleville
4.6(544) · $$
French ·  · 12 Rue des Envierges
Closed ⋅ Opens 10 AM",10.898949246855942,True
Belleville,Taste Kitchen,4.6,528,4.6(528) · $50–100,"Taste Kitchen
4.6(528) · $50–100
New American ·  · 521 E Liberty St
Upscale, modern American eatery
Closed ⋅ Opens 5 PM",10.869096283706261,True
Belleville,Combat,4.6,461,4.6(461) · €10–20,"Combat
4.6(461) · €10–20
Cocktail bar ·  · 63 Rue de Belleville
Chic bar serving creative cocktails
Closed ⋅ Opens 6 PM",10.733398042996647,True
Belleville,Basil Babe,4.6,415,4.6(415) · $10–20,"Basil Babe
4.6(415) · $10–20
Thai ·  · 701 W Cross St
Closed ⋅ Opens 12 PM Tue",10.628278520230698,True
Belleville,Dans La Foulée,4.6,300,4.6(300) · €10–20,"Dans La Foulée
4.6(300) · €10–20
Bistro ·  · 111 Bd de Ménilmontant
Closed ⋅ Opens 4:30 PM Mon",10.3037824746562,True
Belleville,Dans La Foulée,4.6,300,4.6(300) · €10–20,"Dans La Foulée
4.6(300) · €10–20
Bistro ·  · 111 Bd de Ménilmontant
Closed ⋅ Opens 4:30 PM Mon",10.3037824746562,True
Belleville,Le Grand Bain,4.5,762,4.5(762) · $$,"Le Grand Bain
4.5(762) · $$
French ·  · 14 Rue Denoyez
Rustic-chic setting for upscale cuisine
Closed ⋅ Opens 7 PM",11.135946555686647,True
Belleville,Le Grand Bain,4.5,762,4.5(762) · $$,"Le Grand Bain
4.5(762) · $$
French ·  · 14 Rue Denoyez
Rustic-chic setting for upscale cuisine
Closed ⋅ Opens 7 PM",11.135946555686647,True
