Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Canal Saint Martin,ASSANABEL,4.9,4016,"4.9(4,016) · €30–40","ASSANABEL
4.9(4,016) · €30–40
Lebanese ·  · 6 Rue Pierre Chausson
Closed ⋅ Opens 12 PM",13.198041661371565,True
Canal Saint Martin,La Cuisine de l'Himalaya - Journey of Flavor,4.9,739,4.9(739) · €20–30,"La Cuisine de l'Himalaya - Journey of Flavor
4.9(739) · €20–30
Nepalese ·  · 44 Rue du Faubourg du Temple
Warm eatery for Indian & Nepalese fare
Closed ⋅ Opens 11:30 AM Mon",11.505297920948202,True
Canal Saint Martin,Hawa Beirut,4.9,701,4.9(701) · €10–20,"Hawa Beirut
4.9(701) · €10–20
Lebanese · 12 Rue Beaurepaire
Compact counter serve for Lebanese eats
Closed ⋅ Opens 11:30 AM",11.45250788703459,True
Canal Saint Martin,Les Saveurs de Marrakech,4.9,469,4.9(469) · €20–30,"Les Saveurs de Marrakech
4.9(469) · €20–30
Restaurant ·  · 13 Rue Eugène Varlin
Relaxed option for Moroccan fare
Closed ⋅ Opens 11:30 AM",11.050602768446279,True
Canal Saint Martin,Sezono,4.9,336,4.9(336) · €20–30,"Sezono
4.9(336) · €20–30
Vegetarian ·  · 13 Rue Jacques Louvel-Tessier
Closed ⋅ Opens 11:30 AM",10.717111159963205,True
Canal Saint Martin,L’angelus du canal,4.9,333,4.9(333) · €30–40,"L’angelus du canal
4.9(333) · €30–40
Restaurant · 12 Av. Richerand
Closed ⋅ Opens 7 PM Tue",10.708142489980444,True
Canal Saint Martin,LArchimede - Restaurant Bistronomique Paris 10,4.8,1056,"4.8(1,056) · €30–50","LArchimede - Restaurant Bistronomique Paris 10
4.8(1,056) · €30–50
French ·  · 11 Rue Marie et Louise
Closed ⋅ Opens 12 PM",11.762243464266206,True
Canal Saint Martin,Au P'tit Curieux,4.8,1005,"4.8(1,005)","Au P'tit Curieux
4.8(1,005)
Restaurant ·  · 27 Rue de Sambre-et-Meuse
Closed ⋅ Opens 12 PM",11.712742820493176,True
Canal Saint Martin,restaurant al assil,4.8,983,4.8(983) · €10–20,"restaurant al assil
4.8(983) · €10–20
Lebanese ·  · 50 Bd de Magenta
Closed ⋅ Opens 11 AM",11.690609120147165,True
Canal Saint Martin,Paristanbul,4.8,979,4.8(979) · €1–10,"Paristanbul
4.8(979) · €1–10
Turkish ·  · 116 Rue du Faubourg Saint-Martin
Closed ⋅ Opens 11 AM Mon",11.686531642530511,True
Canal Saint Martin,Restaurant bodrum,4.8,944,4.8(944) · €1–10,"Restaurant bodrum
4.8(944) · €1–10
Kebab shop · 190 Rue du Faubourg Saint-Martin
Closed ⋅ Opens 11 AM Mon",11.650126166145501,True
Canal Saint Martin,Bibim House La Fayette,4.8,925,4.8(925) · €20–30,"Bibim House La Fayette
4.8(925) · €20–30
Korean ·  · 220 Rue La Fayette
Closed ⋅ Opens 12 PM",11.629793737512426,True
Canal Saint Martin,Jumbo Express,4.8,705,4.8(705) · €10–20,"Jumbo Express
4.8(705) · €10–20
Vietnamese · 25 Rue Eugène Varlin
Closed ⋅ Opens 11:45 AM Mon",11.358197802812269,True
Canal Saint Martin,Plan D - DWICH & GLACE,4.8,631,4.8(631) · €10–20,"Plan D - DWICH & GLACE
4.8(631) · €10–20
Fast Food · 22 Rue des Vinaigriers
Comfort food in a compact locale
Closed ⋅ Opens 12 PM",11.247305862541213,True
Canal Saint Martin,PRIMAVERA - Pizzeria Paris 10,4.8,335,4.8(335) · €10–20,"PRIMAVERA - Pizzeria Paris 10
4.8(335) · €10–20
Pizza · 16 Pl. Jacques Bonsergent
Closed ⋅ Opens 12 PM",10.614130531825065,True
Canal Saint Martin,Labranda,4.8,322,4.8(322) · €10–20,"Labranda
4.8(322) · €10–20
Restaurant ·  · 18 Rue Louis Blanc
Closed ⋅ Opens 11:30 AM Mon",10.57455154554441,True
Canal Saint Martin,Holybelly,4.7,6285,"4.7(6,285) · €20–30","Holybelly
4.7(6,285) · €20–30
Breakfast ·  · 5 Rue Lucien Sampaix
Buzzy stop for breakfast or brunch
Closed ⋅ Opens 9 AM",13.445921121024348,True
Canal Saint Martin,Gros Bao Paris,4.7,6104,"4.7(6,104) · €20–30","Gros Bao Paris
4.7(6,104) · €20–30
Chinese ·  · 72 Quai de Jemmapes
Bustling spot for stuffed Asian buns
Closed ⋅ Opens 12 PM",13.416699572964294,True
