Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Charonne,KALANK,4.9,553,4.9(553),"KALANK
4.9(553)
French ·  · 52 Boulevard de Charonne
Closed ⋅ Opens 12 PM Tue",11.215358001522336,True
Charonne,Cellar,4.9,552,4.9(552),"Cellar
4.9(552)
Restaurant · 9 Rue de Crussol
Snug bistro offering local fare & wine
Closed ⋅ Opens 12 PM",11.213548046277095,True
Charonne,BOMBOLÒ Cantine à Pizza - Cave à Vins Italiens,4.9,438,4.9(438) · €20–30,"BOMBOLÒ Cantine à Pizza - Cave à Vins Italiens
4.9(438) · €20–30
Italian ·  · 90 Bd Voltaire
Closed ⋅ Opens 12 PM Mon",10.982218910376446,True
Charonne,On Partage - Cantine Caféinée,4.9,272,4.9(272) · €10–20,"On Partage - Cantine Caféinée
4.9(272) · €10–20
Restaurant ·  · 137 bis Rue de Charonne
Closed ⋅ Opens 9 AM",10.505802066295999,True
Charonne,Bistrot Beyrouth,4.8,1177,"4.8(1,177) · €20–30","Bistrot Beyrouth
4.8(1,177) · €20–30
Lebanese ·  · 103 Rue de Charonne
Closed ⋅ Opens 12 PM Tue",11.870724107260276,True
Charonne,Marche Ou Crêpe,4.8,1107,"4.8(1,107) · $","Marche Ou Crêpe
4.8(1,107) · $
Crêperie ·  · 18 Rue des Haies
Crêpes & rum in eclectic surrounds
Closed ⋅ Opens 1 PM",11.809408932708637,True
Charonne,F.I.E.F. / Fait Ici En France,4.8,985,4.8(985) · €100+,"F.I.E.F. / Fait Ici En France
4.8(985) · €100+
Fine Dining · 44 Rue de la Folie Méricourt
Chic spot for area-sourced fine dining
Closed ⋅ Opens 7 PM Mon",11.692641641172088,True
Charonne,Ty Louis - Restaurant Breton Paris 12,4.8,981,4.8(981) · €20–40,"Ty Louis - Restaurant Breton Paris 12
4.8(981) · €20–40
Restaurant ·  · 240 Rue du Faubourg Saint-Antoine
Closed ⋅ Opens 12 PM Tue",11.688572459565364,True
Charonne,La Côte ou la Cuisse,4.8,821,4.8(821),"La Côte ou la Cuisse
4.8(821)
Restaurant ·  · 8 Rue Tournefort
Quaint option for creative local cuisine
Closed ⋅ Opens 12 PM",11.510523109452429,True
Charonne,Terre Restaurant,4.8,678,4.8(678),"Terre Restaurant
4.8(678)
French ·  · 23 Rue de Montreuil
Laid-back eatery for local cuisine
Closed ⋅ Opens 12:15 PM Tue",11.319147287940396,True
Charonne,TOWA Restaurant,4.8,563,4.8(563) · $$,"TOWA Restaurant
4.8(563) · $$
French ·  · 75 Rue Crozatier
Informal venue for creative local fare
Closed ⋅ Opens 12 PM",11.13327962813969,True
Charonne,Wanobi,4.8,449,4.8(449) · €10–20,"Wanobi
4.8(449) · €10–20
Japanese · 22 Rue de Bagnolet
Closed ⋅ Opens 11 AM Mon",10.907022887742254,True
Charonne,le temps au temps,4.8,326,4.8(326) · €30–40,"le temps au temps
4.8(326) · €30–40
French · 13 Rue Paul Bert
Closed ⋅ Opens 12 PM Tue",10.586897381366708,True
Charonne,Les Artistes Gourmands,4.8,318,4.8(318) · €20–30,"Les Artistes Gourmands
4.8(318) · €20–30
Italian ·  · 83 Rue de la Roquette
Closed ⋅ Opens 11:30 AM Mon",10.562051382780176,True
Charonne,Le rouge aux lèvres,4.8,292,4.8(292) · €20–30,"Le rouge aux lèvres
4.8(292) · €20–30
Restaurant ·  · 71 Rue des Grands Champs
Closed ⋅ Opens 9 AM Mon",10.47675380226828,True
Charonne,Lou Tiap,4.8,254,4.8(254) · €30–40,"Lou Tiap
4.8(254) · €30–40
Restaurant ·  · 81 Rue de Bagnolet
Closed ⋅ Opens 12 PM Tue",10.337334267018537,True
Charonne,Brasserie Rosie,4.7,5566,"4.7(5,566) · €20–30","Brasserie Rosie
4.7(5,566) · €20–30
Brasserie ·  · 53 Rue du Faubourg Saint-Antoine
Retro spot for classic fare with a twist
Closed ⋅ Opens 12 PM",13.324431942085837,True
Charonne,One & One Paris,4.7,1699,"4.7(1,699) · €20–30","One & One Paris
4.7(1,699) · €20–30
French · 7 Pass. des Panoramas
Classic eatery for burgers & cocktails
Closed ⋅ Opens 12 PM",12.137795121671932,True
Charonne,Midi12 La Fayette,4.7,1462,"4.7(1,462) · $$","Midi12 La Fayette
4.7(1,462) · $$
Crêperie ·  · 12 Rue La Fayette
Modern cafe for galettes & crêpes
Closed",11.987560640309724,True
Charonne,L'Atelier Saisonnier,4.7,1389,"4.7(1,389) · €20–30","L'Atelier Saisonnier
4.7(1,389) · €20–30
Restaurant · 15 Rue de Charonne
Closed ⋅ Opens 10 AM",11.936339342754344,True
Charonne,Qui plume la lune,4.7,831,4.7(831) · €100+,"Qui plume la lune
4.7(831) · €100+
French ·  · 50 Rue Amelot
Fine dining in an intimate setting
Closed ⋅ Opens 12 PM Tue",11.42262979485545,True
Charonne,Fulgurances,4.7,710,4.7(710) · €100+,"Fulgurances
4.7(710) · €100+
Restaurant ·  · 10 Rue Alexandre Dumas
Stylish locale for inventive cuisine
Closed ⋅ Opens 12 PM Mon",11.26526497003536,True
Charonne,Oplato - Bar à planches,4.7,582,4.7(582) · €20–30,"Oplato - Bar à planches
4.7(582) · €20–30
Restaurant ·  · 69 Rue de Charonne
Closed ⋅ Opens 6:30 PM Mon",11.066470447731438,True
Charonne,Le Chanard,4.7,533,4.7(533) · $$,"Le Chanard
4.7(533) · $$
French ·  · 8 Rue Saint-Paul
Snug bistro for traditional French food
Closed ⋅ Opens 6:30 PM Mon",10.978521424165844,True
Charonne,Mokonuts,4.7,524,4.7(524) · $$,"Mokonuts
4.7(524) · $$
Restaurant · 5 Rue Saint-Bernard
Snug spot for elevated breakfast & lunch
Closed ⋅ Opens 12 PM Mon",10.961491684321043,True
