Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Jardin des Plantes,KHONKAEN UDON THAI,5.0,673,5.0(673) · €10–20,"KHONKAEN UDON THAI
5.0(673) · €10–20
Thai · 4 Bd de Port-Royal
Closed ⋅ Opens 12 PM Mon",11.511745329644729,True
Jardin des Plantes,ASSANABEL,4.9,4016,"4.9(4,016) · €30–40","ASSANABEL
4.9(4,016) · €30–40
Lebanese ·  · 6 Rue Pierre Chausson
Closed ⋅ Opens 12 PM",13.198041661371565,True
Jardin des Plantes,Julia,4.9,1326,"4.9(1,326) · €10–20","Julia
4.9(1,326) · €10–20
Lebanese · 83 Rue Mouffetard
Closed ⋅ Opens 11:30 AM",12.089922170745808,True
Jardin des Plantes,JJ Beaumarchais,4.9,989,4.9(989),"JJ Beaumarchais
4.9(989)
French ·  · 92 Bd Beaumarchais
Creative cuisine in a relaxed restaurant
Closed ⋅ Opens 6:45 PM Tue",11.796694331622714,True
Jardin des Plantes,LE COQ & L'ELEPHANT,4.9,371,4.9(371) · €30–40,"LE COQ & L'ELEPHANT
4.9(371) · €30–40
French · 47 BIS Rue Poliveau
Closed ⋅ Opens 12:30 PM",10.816202062607434,True
Jardin des Plantes,Happy Caffé,4.8,4396,"4.8(4,396) · $","Happy Caffé
4.8(4,396) · $
Crêperie ·  · 214 Rue de Rivoli
Crepes & sandwiches to take away
Open ⋅ Closes 10 PM",13.18845031552351,True
Jardin des Plantes,Restaurant Libanais JOSEF,4.8,1820,"4.8(1,820) · €20–30","Restaurant Libanais JOSEF
4.8(1,820) · €20–30
Lebanese ·  · 39 Bd Saint-Marcel
Closed ⋅ Opens 11:30 AM",12.30659178007084,True
Jardin des Plantes,La Maison du Boulevard,4.8,1561,"4.8(1,561) · €20–30","La Maison du Boulevard
4.8(1,561) · €20–30
French ·  · 40 Bd de l'Hôpital
Closed ⋅ Opens 11 AM",12.153081920515433,True
Jardin des Plantes,Fric-Frac,4.8,1289,"4.8(1,289) · €10–20","Fric-Frac
4.8(1,289) · €10–20
Restaurant ·  · 4 Rue des Trois Frères
Classic sandwiches in a breezy cafe
Closed ⋅ Opens 12 PM",11.961622002939187,True
Jardin des Plantes,Les Crêpes de Louis-Marie,4.8,901,4.8(901),"Les Crêpes de Louis-Marie
4.8(901)
Crêperie ·  · 1 Rue de l'Arbalète
Quaint cafe for crêpes & sparkling cider
Closed ⋅ Opens 12 PM",11.603505257608337,True
Jardin des Plantes,L'Hommage,4.8,898,4.8(898) · $$,"L'Hommage
4.8(898) · $$
Restaurant ·  · 36 Av. de Choisy
Airy, modern venue for creative cuisine
Closed ⋅ Opens 12 PM Tue",11.6001700683022,True
Jardin des Plantes,EV Brochettes & Mezzés,4.8,641,4.8(641) · €10–20,"EV Brochettes & Mezzés
4.8(641) · €10–20
Mediterranean · 54 Bd Saint-Marcel
Snug spot for Middle Eastern bites
Closed ⋅ Opens 11:30 AM Mon",11.26302945692067,True
Jardin des Plantes,Chez Neung,4.8,635,4.8(635) · €10–20,"Chez Neung
4.8(635) · €10–20
Thai ·  · 70 Bd Saint-Marcel
Closed ⋅ Opens 12 PM Mon",11.253624998892692,True
Jardin des Plantes,Osteria Brutto - Restaurant Italien Paris 5,4.8,574,4.8(574) · €30–50,"Osteria Brutto - Restaurant Italien Paris 5
4.8(574) · €30–50
Restaurant · 15 Rue Gracieuse
Closed ⋅ Opens 12 PM",11.152629396319567,True
Jardin des Plantes,Combo Restaurant - traiteur,4.8,422,4.8(422) · €20–30,"Combo Restaurant - traiteur
4.8(422) · €20–30
Restaurant ·  · 29 Rue Dauphine
Closed ⋅ Opens 12 PM",10.845005314036012,True
Jardin des Plantes,Karavaki au Jardin de Luxembourg,4.8,375,4.8(375) · €20–30,"Karavaki au Jardin de Luxembourg
4.8(375) · €20–30
Greek ·  · 7 Rue Gay-Lussac
Simple eatery for regional Greek cooking
Closed",10.72692602597041,True
Jardin des Plantes,Green Deli,4.8,333,4.8(333) · €10–20,"Green Deli
4.8(333) · €10–20
Restaurant ·  · 45 Rue Censier
Closed ⋅ Opens 11:30 AM",10.608142489980445,True
Jardin des Plantes,Fu wei,4.8,298,4.8(298) · €10–20,"Fu wei
4.8(298) · €10–20
Mandarin restaurant ·  · 12b Bd de Port-Royal
Closed ⋅ Opens 7 PM",10.497093486505404,True
Jardin des Plantes,La Crète,4.7,2689,"4.7(2,689) · €20–30","La Crète
4.7(2,689) · €20–30
Restaurant · 85 Rue Mouffetard
Homey locale for Mediterranean classics
Closed ⋅ Opens 12 PM",12.596924656268865,True
Jardin des Plantes,Le Potager du Père Thierry,4.7,1567,"4.7(1,567) · €20–30","Le Potager du Père Thierry
4.7(1,567) · €20–30
Restaurant ·  · 16 Rue des Trois Frères
Closed ⋅ Opens 12 PM",12.056918242356021,True
Jardin des Plantes,L'Éclipse,4.7,1462,"4.7(1,462) · €20–30","L'Éclipse
4.7(1,462) · €20–30
Haute French ·  · 6 Bd de l'Hôpital
Open ⋅ Closes 12 AM",11.987560640309724,True
Jardin des Plantes,Bobun Break,4.7,896,4.7(896) · €10–20,"Bobun Break
4.7(896) · €10–20
Vietnamese ·  · 3 Rue Buffon
Casual venue for Vietnamese salads
Closed ⋅ Opens 11 AM Mon",11.49794041297493,True
Jardin des Plantes,India StreEAT,4.7,738,4.7(738) · €20–30,"India StreEAT
4.7(738) · €20–30
Indian · 105 Rue Monge
Closed ⋅ Opens 12 PM Tue",11.303943824600474,True
Jardin des Plantes,Sharma Ji,4.7,652,4.7(652),"Sharma Ji
4.7(652)
Indian ·  · 16 Rue Frémicourt
Closed ⋅ Opens 12 PM",11.180044561926653,True
Jardin des Plantes,Baca'v Paris par Gilles Choukroun,4.7,590,4.7(590) · $$,"Baca'v Paris par Gilles Choukroun
4.7(590) · $$
Bistro ·  · 6 Rue des Fossés Saint-Marcel
Closed ⋅ Opens 12 PM Mon",11.080122536899765,True
