Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Latin Quarter,ELENI,4.9,1023,"4.9(1,023) · €20–30","ELENI
4.9(1,023) · €20–30
Greek ·  · 24 Rue Monge
Snug, family-run outpost for Greek fare
Closed ⋅ Opens 12 PM",11.830494765951627,True
Latin Quarter,Kitchen Ter(re),4.8,1999,"4.8(1,999) · $$","Kitchen Ter(re)
4.8(1,999) · $$
Restaurant · 26 Bd Saint-Germain
Closed ⋅ Opens 12 PM Tue",12.400402334500399,True
Latin Quarter,Cook'n Saj,4.8,1721,"4.8(1,721) · €20–30","Cook'n Saj
4.8(1,721) · €20–30
Mediterranean · 5 Rue Bernard Palissy
Hip contemporary stop for meze & burgers
Closed ⋅ Opens 12 PM",12.25066079621154,True
Latin Quarter,Loufoque - Restaurant et bar à jeux,4.8,1206,"4.8(1,206) · €20–30","Loufoque - Restaurant et bar à jeux
4.8(1,206) · €20–30
Restaurant ·  · 57 Rue Galande
Buzzing bar for cocktails & board games
Closed ⋅ Opens 12 PM",11.895064377287131,True
Latin Quarter,Selva,4.8,1148,"4.8(1,148)","Selva
4.8(1,148)
Latin American ·  · 22 Rue du Sommerard
Colorful Latin-American bistro
Closed ⋅ Opens 7 PM Tue",11.845776576879512,True
Latin Quarter,Hugo & Co,4.8,1115,"4.8(1,115) · €50–60","Hugo & Co
4.8(1,115) · €50–60
French ·  · 48 Rue Monge
Closed ⋅ Opens 12 PM Mon",11.81660968389422,True
Latin Quarter,Oktobre,4.8,1075,"4.8(1,075) · $$$","Oktobre
4.8(1,075) · $$$
French ·  · 25 Rue des Grands Augustins
French cuisine in an artsy setting
Closed ⋅ Opens 12:15 PM Tue",11.780075940561762,True
Latin Quarter,Oriental Bowl - Bar à Couscous,4.8,913,4.8(913) · €10–20,"Oriental Bowl - Bar à Couscous
4.8(913) · €10–20
Tunisian ·  · 13 Rue de la Huchette
Fast-food spot for bowls & sandwiches
Closed ⋅ Opens 12 PM",11.616735880594968,True
Latin Quarter,Les Crêpes de Louis-Marie,4.8,901,4.8(901),"Les Crêpes de Louis-Marie
4.8(901)
Crêperie ·  · 1 Rue de l'Arbalète
Quaint cafe for crêpes & sparkling cider
Closed ⋅ Opens 12 PM",11.603505257608337,True
Latin Quarter,Toscanino,4.8,901,4.8(901) · €10–20,"Toscanino
4.8(901) · €10–20
Italian ·  · 4 Rue Mouffetard
Closed ⋅ Opens 12 PM",11.603505257608337,True
Latin Quarter,La Côte ou la Cuisse,4.8,821,4.8(821),"La Côte ou la Cuisse
4.8(821)
Restaurant ·  · 8 Rue Tournefort
Quaint option for creative local cuisine
Closed ⋅ Opens 12 PM",11.510523109452429,True
Latin Quarter,Alliance,4.8,663,4.8(663) · €100+,"Alliance
4.8(663) · €100+
Haute French ·  · 5 Rue de Poissy
High-concept eatery with tasting menus
Closed ⋅ Opens 12 PM Mon",11.296774990185863,True
Latin Quarter,TERRONIA,4.8,487,4.8(487) · $$,"TERRONIA
4.8(487) · $$
Italian ·  · Terronia, 11 Rue des Boulangers
Seasonal Italian fare in a rustic eatery
Closed ⋅ Opens 12 PM Tue",10.98826412308259,True
Latin Quarter,Le vent d'Armor,4.8,420,4.8(420) · €100+,"Le vent d'Armor
4.8(420) · €100+
Fish restaurant ·  · 25 Quai de la Tournelle
Upscale restaurant for haute cuisine
Closed ⋅ Opens 7:30 PM Mon",10.840254711277414,True
Latin Quarter,Karavaki au Jardin de Luxembourg,4.8,375,4.8(375) · €20–30,"Karavaki au Jardin de Luxembourg
4.8(375) · €20–30
Greek ·  · 7 Rue Gay-Lussac
Simple eatery for regional Greek cooking
Closed",10.72692602597041,True
Latin Quarter,Kehribar,4.7,3580,"4.7(3,580) · €10–30","Kehribar
4.7(3,580) · €10–30
Turkish ·  · 1 Rue des Fossés Saint-Jacques
Cozy Turkish eatery with outdoor seats
Closed ⋅ Opens 11 AM Mon",12.883118079394745,True
Latin Quarter,Brasserie Des Prés,4.7,3411,"4.7(3,411) · €20–40","Brasserie Des Prés
4.7(3,411) · €20–40
French ·  · 6 Cr du Commerce Saint-André
Closed ⋅ Opens 12 PM",12.834760782418645,True
Latin Quarter,Arrivederci pizzeria,4.7,2898,"4.7(2,898) · €20–30","Arrivederci pizzeria
4.7(2,898) · €20–30
Pizza ·  · 47 Rue Gay-Lussac
Unassuming setting for pizza & pasta
Closed ⋅ Opens 12 PM",12.671776122880628,True
Latin Quarter,La Crète,4.7,2689,"4.7(2,689) · €20–30","La Crète
4.7(2,689) · €20–30
Restaurant · 85 Rue Mouffetard
Homey locale for Mediterranean classics
Closed ⋅ Opens 12 PM",12.596924656268865,True
Latin Quarter,Ze Kitchen Galerie,4.7,1631,"4.7(1,631) · €100+","Ze Kitchen Galerie
4.7(1,631) · €100+
Fine Dining · 4 Rue des Grands Augustins
Closed ⋅ Opens 12:15 PM Mon",12.096948602621014,True
Latin Quarter,AGATA,4.7,1563,"4.7(1,563) · €20–30","AGATA
4.7(1,563) · €20–30
Pizza ·  · 168 Bd Saint-Germain
Closed ⋅ Opens 12 PM",12.054362330421476,True
