Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Les Halles,Maslow - Restaurant Paris 1,4.9,8444,"4.9(8,444) · €20–30","Maslow - Restaurant Paris 1
4.9(8,444) · €20–30
Vegetarian ·  · 14 Quai de la Mégisserie
Closed ⋅ Opens 11:15 AM",13.941211408968211,True
Les Halles,Restaurant Omar Dhiab,4.9,992,4.9(992) · €100+,"Restaurant Omar Dhiab
4.9(992) · €100+
Haute French ·  · 23 Rue Hérold
Closed ⋅ Opens 12:30 PM Mon",11.799723107284873,True
Les Halles,Restaurant Tracé,4.9,285,4.9(285) · €100+,"Restaurant Tracé
4.9(285) · €100+
Haute French · 15 Rue de Richelieu
Gourmet meals in sleek environs
Closed ⋅ Opens 12 PM Tue",10.552489180268651,True
Les Halles,Baguette - Restaurant,4.9,270,4.9(270) · €20–40,"Baguette - Restaurant
4.9(270) · €20–40
Restaurant ·  · 16 Rue Marie Stuart
Closed ⋅ Opens 12 PM Tue",10.498421958998374,True
Les Halles,Johana's Fish & Chips,4.8,974,4.8(974) · €10–20,"Johana's Fish & Chips
4.8(974) · €10–20
Fish & Chips ·  · 30 Rue Saint-Sauveur
Classic meals to eat in or take away
Closed ⋅ Opens 12 PM",11.681411303642534,True
Les Halles,Boutary,4.8,833,4.8(833) · €100+,"Boutary
4.8(833) · €100+
French ·  · 25 Rue Mazarine
Fine dining menus, champagne & caviar
Closed ⋅ Opens 7 PM Tue",11.525033642166843,True
Les Halles,Combo Restaurant - traiteur,4.8,422,4.8(422) · €20–30,"Combo Restaurant - traiteur
4.8(422) · €20–30
Restaurant ·  · 29 Rue Dauphine
Closed ⋅ Opens 12 PM",10.845005314036012,True
Les Halles,Le Galibot,4.8,411,4.8(411) · €20–30,"Le Galibot
4.8(411) · €20–30
Restaurant · 17 Rue Paul Lelong
Casual stop for beer & homestyle cooking
Closed ⋅ Opens 5 PM Mon",10.818593214496234,True
Les Halles,Voyage gourmand,4.8,299,4.8(299) · €10–20,"Voyage gourmand
4.8(299) · €10–20
Chinese · 50 Rue Rambuteau
Trendy Chinese snack shop with a terrace
Closed ⋅ Opens 11:30 AM",10.500443573390687,True
Les Halles,Thaï Market Caffè House,4.8,298,4.8(298) · €20–30,"Thaï Market Caffè House
4.8(298) · €20–30
Restaurant ·  · 280 Rue Saint-Honoré
Closed ⋅ Opens 12 PM",10.497093486505404,True
Les Halles,PB Poulet Braisé Châtelet,4.7,6931,"4.7(6,931) · €10–20","PB Poulet Braisé Châtelet
4.7(6,931) · €10–20
Restaurant ·  · 12 Rue de la Cossonnerie
Closed ⋅ Opens 11:30 AM",13.543759381917983,True
Les Halles,Hoppy Corner,4.7,1550,"4.7(1,550) · €10–20","Hoppy Corner
4.7(1,550) · €10–20
Beer hall · 34 Rue des Petits Carreaux
Cool bar for artisanal beers & pub food
Closed ⋅ Opens 3 PM",12.046010209913293,True
Les Halles,Au Vieux Comptoir,4.7,864,4.7(864) · $$$,"Au Vieux Comptoir
4.7(864) · $$$
French ·  · 17 Rue des Lavandières Sainte-Opportune
Informal pick for modern bistro fare
Closed ⋅ Opens 12 PM Tue",11.461572768804055,True
Les Halles,Juveniles,4.7,526,4.7(526) · $$,"Juveniles
4.7(526) · $$
French ·  · 47 Rue de Richelieu
Cozy spot for wines & classic dishes
Closed ⋅ Opens 12 PM Tue",10.96530121273771,True
