Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Montparnasse,Paris Bogota,4.9,379,4.9(379) · €30–40,"Paris Bogota
4.9(379) · €30–40
Restaurant · 30 Av. du Maine
Cheery eatery for South American staples
Closed ⋅ Opens 12 PM Mon",10.837536205082426,True
Montparnasse,Restaurant MONTÉE,4.9,342,4.9(342) · €100+,"Restaurant MONTÉE
4.9(342) · €100+
Haute French ·  · 9 Rue Léopold Robert
Closed ⋅ Opens 12 PM Tue",10.734810737062606,True
Montparnasse,Ristorante Italiano da Pupetta,4.9,320,4.9(320),"Ristorante Italiano da Pupetta
4.9(320)
Italian ·  · 55 Rue Brancion
Closed",10.668320995793772,True
Montparnasse,Le Jéroboam,4.8,3743,"4.8(3,743) · $$","Le Jéroboam
4.8(3,743) · $$
French ·  · 72 Rue Didot
Quaint spot for creative French cuisine
Closed ⋅ Opens 12 PM",13.02764270790443,True
Montparnasse,Harper's Paris 15,4.8,3005,"4.8(3,005) · €20–30","Harper's Paris 15
4.8(3,005) · €20–30
French ·  · 46 Bis Bd du Montparnasse
Closed ⋅ Opens 12 PM",12.808032846969308,True
Montparnasse,avec amour - le burger Montparnasse,4.8,2647,"4.8(2,647) · €10–20","avec amour - le burger Montparnasse
4.8(2,647) · €10–20
Hamburger · 100 Rue du Château
Closed ⋅ Opens 11 AM",12.681182202227102,True
Montparnasse,Cook'n Saj,4.8,1721,"4.8(1,721) · €20–30","Cook'n Saj
4.8(1,721) · €20–30
Mediterranean · 5 Rue Bernard Palissy
Hip contemporary stop for meze & burgers
Closed ⋅ Opens 12 PM",12.25066079621154,True
Montparnasse,Mosuke par Mory Sacko,4.8,1390,"4.8(1,390) · €100+","Mosuke par Mory Sacko
4.8(1,390) · €100+
Fine Dining · 11 Rue Raymond Losserand
Chic, simple spot for high-concept fare
Closed ⋅ Opens 12:15 PM Mon",12.037059026124737,True
Montparnasse,La Véraison,4.8,927,4.8(927) · $$,"La Véraison
4.8(927) · $$
French · 64 Rue de la Croix Nivert
Chill spot for creative French dishes
Closed ⋅ Opens 7 PM Mon",11.631953565565855,True
Montparnasse,Terra Mia,4.8,719,4.8(719) · €20–30,"Terra Mia
4.8(719) · €20–30
Italian ·  · 118 Bd du Montparnasse
Closed ⋅ Opens 12 PM Mon",11.377861357721047,True
Montparnasse,Mez Beer (ex Ker Beer) - Bar à bières,4.8,575,4.8(575) · €10–20,"Mez Beer (ex Ker Beer) - Bar à bières
4.8(575) · €10–20
Beer hall ·  · 10 Rue Vandamme
Cool stop for craft beer & snacks
Closed ⋅ Opens 5 PM",11.15437004079735,True
Montparnasse,nouilles danseuses,4.8,562,4.8(562) · €10–20,"nouilles danseuses
4.8(562) · €10–20
Chinese Noodles · 12 Rue Marmontel
Closed ⋅ Opens 12 PM Mon",11.131501849893692,True
Montparnasse,Kigawa,4.8,492,4.8(492) · €100+,"Kigawa
4.8(492) · €100+
French · 186 Rue du Château
Closed ⋅ Opens 12:15 PM Tue",10.998478716492308,True
Montparnasse,Le Clos Y,4.8,377,4.8(377) · $$$,"Le Clos Y
4.8(377) · $$$
Restaurant ·  · 27 Av. du Maine
Sleek bistro for Japanese-French fusion
Closed ⋅ Opens 12:15 PM Tue",10.732245187448012,True
Montparnasse,Le 46,4.8,297,4.8(297) · €20–30,"Le 46
4.8(297) · €20–30
Restaurant ·  · 46 Rue Falguière
Closed ⋅ Opens 12 PM Mon",10.493732138802699,True
Montparnasse,Bistrot 15,4.8,257,4.8(257) · €10–20,"Bistrot 15
4.8(257) · €10–20
Restaurant ·  · 1 Rue Aristide Maillol, 99 Rue Falguière
Closed ⋅ Opens 10 AM",10.34907608489522,True
Montparnasse,Royal Dragon,4.7,8433,"4.7(8,433) · €20–30","Royal Dragon
4.7(8,433) · €20–30
Mandarin restaurant ·  · 18 Rue Delambre, 98 Bd du Montparnasse
Informal buffet for Asian cuisine
Closed ⋅ Opens 12 PM",13.739907859574643,True
Montparnasse,Mian Fan - Restaurant Asiatique,4.7,3008,"4.7(3,008) · €10–20","Mian Fan - Restaurant Asiatique
4.7(3,008) · €10–20
Asian Fusion ·  · 124 Bd du Montparnasse
Classic Chinese food in a stylish space
Closed ⋅ Opens 12 PM",12.709030685069731,True
Montparnasse,My Noodles,4.7,2194,"4.7(2,194) · €10–20","My Noodles
4.7(2,194) · €10–20
Chinese · 129 Bd du Montparnasse
Relaxed venue for noodle soups
Closed ⋅ Opens 12 PM",12.393481640835176,True
Montparnasse,CRISPY SOUL Paris 15,4.7,1869,"4.7(1,869) · €10–20","CRISPY SOUL Paris 15
4.7(1,869) · €10–20
Hamburger ·  · 101 Rue Brancion
Fast-food staples in a casual eatery
Closed ⋅ Opens 12 PM",12.233158807455563,True
Montparnasse,Tonkatsu Tombo,4.7,1572,"4.7(1,572) · €20–30","Tonkatsu Tombo
4.7(1,572) · €20–30
Tonkatsu restaurant · 14 Rue de l'Arrivée
Simple Japanese bistro for pork dishes
Closed ⋅ Opens 12 PM Mon",12.060103972989152,True
Montparnasse,XV Burger,4.7,901,4.7(901) · €10–20,"XV Burger
4.7(901) · €10–20
French · 179 Rue de Vaugirard
Artisan burgers with fries & milkshakes
Closed ⋅ Opens 6 PM",11.503505257608339,True
Montparnasse,"Anicia, table nature par François Gagnaire",4.7,872,4.7(872),"Anicia, table nature par François Gagnaire
4.7(872)
French ·  · 97 Rue du Cherche-Midi
Closed ⋅ Opens 12 PM Tue",11.470789423908979,True
Montparnasse,Le Coup de Torchon,4.7,752,4.7(752) · €10–20,"Le Coup de Torchon
4.7(752) · €10–20
French ·  · 187 Rue Saint-Jacques
Closed ⋅ Opens 12 PM Mon",11.32273632394984,True
Montparnasse,Murphy - Beers and tartines,4.7,703,4.7(703) · €10–20,"Murphy - Beers and tartines
4.7(703) · €10–20
Beer hall · 3 Rue du Maine
Many craft beers & gourmet sandwiches
Closed ⋅ Opens 5 PM",11.255356891810665,True
