Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Quartier Pigalle,Chenapan,5.0,384,5.0(384) · €100+,"Chenapan
5.0(384) · €100+
Restaurant ·  · 28 Rue Louise-Émilie de la Tour d'Auvergne
Closed ⋅ Opens 7 PM Tue",10.950642552587727,True
Quartier Pigalle,Le Cancan Pigalle - Restaurant/Bar/Scène,5.0,292,5.0(292),"Le Cancan Pigalle - Restaurant/Bar/Scène
5.0(292)
Restaurant ·  · 3 Rue de Douai
Closed ⋅ Opens 7 PM Tue",10.676753802268282,True
Quartier Pigalle,Les Confrères,4.9,1009,"4.9(1,009) · €20–40","Les Confrères
4.9(1,009) · €20–40
French ·  · 57 Rue Rodier
Closed ⋅ Opens 12 PM Tue",11.816715020353609,True
Quartier Pigalle,Fimmina - Pizzeria Paris 9,4.9,628,4.9(628) · €10–20,"Fimmina - Pizzeria Paris 9
4.9(628) · €10–20
Pizza ·  · 43 Rue Laffitte
Closed ⋅ Opens 12 PM Mon",11.342540166468199,True
Quartier Pigalle,Elle & Dee's,4.9,556,4.9(556) · €10–20,"Elle & Dee's
4.9(556) · €10–20
Salad ·  · 1 Rue Bourdaloue
Closed ⋅ Opens 11:30 AM",11.220768294250583,True
Quartier Pigalle,La Cantine de la Cigale,4.9,462,4.9(462) · €10–20,"La Cantine de la Cigale
4.9(462) · €10–20
Restaurant · 124 Blvd Marguerite de Rochechouart
Closed ⋅ Opens 10 AM",11.035564891081739,True
Quartier Pigalle,Perception,4.9,456,4.9(456) · €100+,"Perception
4.9(456) · €100+
Restaurant · 53 Rue Blanche
Closed ⋅ Opens 12:30 PM Tue",11.022492809514386,True
Quartier Pigalle,GOSIER,4.9,404,4.9(404),"GOSIER
4.9(404)
Restaurant · 27 Rue Rodier
Closed ⋅ Opens 11:30 AM",10.901414877961152,True
Quartier Pigalle,Ciccio Bar et Cuisine,4.9,397,4.9(397),"Ciccio Bar et Cuisine
4.9(397)
Italian ·  · 20 Av. Trudaine
Cozy locale for Italian cuisine & wine
Closed ⋅ Opens 7 PM Tue",10.883936280687191,True
Quartier Pigalle,Peppe Pizzeria Martyrs,4.8,10568,"4.8(10,568) · €20–30","Peppe Pizzeria Martyrs
4.8(10,568) · €20–30
Pizza ·  · 61 R. des Martyrs
Closed ⋅ Opens 12 PM",14.065585846202161,True
Quartier Pigalle,Poni,4.8,2317,"4.8(2,317) · €20–30","Poni
4.8(2,317) · €20–30
Brasserie ·  · 24 Rue Saint-Lazare
Creative dishes in a modern restaurant
Closed ⋅ Opens 11 AM",12.548028524432375,True
Quartier Pigalle,La Boîte aux Lettres,4.8,2043,"4.8(2,043) · €20–30","La Boîte aux Lettres
4.8(2,043) · €20–30
French ·  · 108 Rue Lepic
Charming bistro for unfussy French food
Closed ⋅ Opens 12 PM Mon",12.422174594817623,True
Quartier Pigalle,Le 17.45 Paris Pigalle - Planches à composer,4.8,1992,"4.8(1,992) · €20–30","Le 17.45 Paris Pigalle - Planches à composer
4.8(1,992) · €20–30
French · 49 Rue Jean-Baptiste Pigalle
Stylish tavern known for charcuterie
Closed ⋅ Opens 11 AM",12.396894438144543,True
Quartier Pigalle,Pépé Ronchon - Pizzeria Napolitaine,4.8,1030,"4.8(1,030) · €20–30","Pépé Ronchon - Pizzeria Napolitaine
4.8(1,030) · €20–30
Pizza · 31 Rue Saint-Lazare
Closed ⋅ Opens 12 PM Mon",11.737314081223682,True
