Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Saint-Germain-des-Prés,Akabeko - Restaurant Fusion Franco Japonais,4.9,391,4.9(391) · €100+,"Akabeko - Restaurant Fusion Franco Japonais
4.9(391) · €100+
French · 40 Rue de l'Université
Closed ⋅ Opens 12 PM Tue",10.868707559985367,True
Saint-Germain-des-Prés,Hestia,4.9,288,4.9(288),"Hestia
4.9(288)
French · 8 Rue de la Huchette
Closed ⋅ Opens 12 PM Tue",10.562960480135946,True
Saint-Germain-des-Prés,Kitchen Ter(re),4.8,1999,"4.8(1,999) · $$","Kitchen Ter(re)
4.8(1,999) · $$
Restaurant · 26 Bd Saint-Germain
Closed ⋅ Opens 12 PM Tue",12.400402334500399,True
Saint-Germain-des-Prés,Cook'n Saj,4.8,1721,"4.8(1,721) · €20–30","Cook'n Saj
4.8(1,721) · €20–30
Mediterranean · 5 Rue Bernard Palissy
Hip contemporary stop for meze & burgers
Closed ⋅ Opens 12 PM",12.25066079621154,True
Saint-Germain-des-Prés,Bistro des lettres,4.8,1292,"4.8(1,292) · €20–40","Bistro des lettres
4.8(1,292) · €20–40
Restaurant ·  · 52 Bd Saint-Germain
Closed ⋅ Opens 11:45 AM",11.963946684342547,True
Saint-Germain-des-Prés,Assanabel - Saint-Germain-des-Prés,4.8,1197,"4.8(1,197) · €30–40","Assanabel - Saint-Germain-des-Prés
4.8(1,197) · €30–40
Lebanese · 38 Rue Jacob
Temporarily closed",11.887573705557973,True
Saint-Germain-des-Prés,Assanabel - Saint-Germain-des-Prés,4.8,1197,"4.8(1,197) · €30–40","Assanabel - Saint-Germain-des-Prés
4.8(1,197) · €30–40
Lebanese · 38 Rue Jacob
Temporarily closed",11.887573705557973,True
Saint-Germain-des-Prés,Oktobre,4.8,1075,"4.8(1,075) · $$$","Oktobre
4.8(1,075) · $$$
French ·  · 25 Rue des Grands Augustins
French cuisine in an artsy setting
Closed ⋅ Opens 12:15 PM Tue",11.780075940561762,True
Saint-Germain-des-Prés,Les Deux Colombes,4.8,1033,"4.8(1,033) · €20–30","Les Deux Colombes
4.8(1,033) · €20–30
Restaurant · 4 Rue de la Colombe
Artful eatery for easygoing meals & wine
Closed ⋅ Opens 12 PM",11.740222469119638,True
Saint-Germain-des-Prés,Combo Restaurant - traiteur,4.8,422,4.8(422) · €20–30,"Combo Restaurant - traiteur
4.8(422) · €20–30
Restaurant ·  · 29 Rue Dauphine
Closed ⋅ Opens 12 PM",10.845005314036012,True
