name,rating,reviews,info,category,composite_score,high_review_flag,address
On Partage - Cantine Caféinée,4.9,272,€10–20,Cafe,10.505802066296,True, · 137 bis Rue de Charonne
Brigat',4.8,681,4.8(681),Patisserie,11.323562306149512,True,6 Rue du Pas de la Mule
Brigat',4.8,681,4.8(681),Patisserie,11.323562306149512,True,6 Rue du Pas de la Mule
"Levain, Le Vin",4.8,418,€20–30,Bakery,10.835481432524755,True, · 83 Rue du Faubourg Saint-Martin
Emma Duvéré - Pâtisserie & Cantine,4.8,388,$$,Patisserie,10.761005339623274,True, · 41 Rue Sedaine
BOULANGERIE RÉMY,4.8,366,€1–10,Bakery,10.702633333401366,True,127 Rue de Charenton
Adria's bakery,4.8,262,€1–10,Bakery,10.368344503761096,True,93 Rue de Reuilly
Le Rempart Bastille,4.7,3212,€20–30,Restaurant,12.774649075066652,True, · 15 Rue Saint-Antoine
Mokonuts,4.7,525,$$,Restaurant,10.963398262591625,True,5 Rue Saint-Bernard
L'osmanthe,4.7,427,$$,Patisserie,10.756784013228623,True, · 8 Rue Tourneux
La Bête Noire,4.7,421,€10–20,Brunch,10.742632833682382,True, · 58 Rue Henri Barbusse
DonAntónia Pastelaria,4.7,321,$$,Bakery,10.471441123130017,True,8 Rue de la Grange aux Belles
La Petite Bouclerie,4.6,2018,$,Crêperie,12.209862200913554,True,33 Rue de la Harpe
Aux Merveilleux de Fred,4.6,1654,$$,Patisserie,12.010951875583636,True, · 24 Rue du Pont Louis-Philippe
Nonette Bánh Mì & Donuts,4.6,729,€10–20,Sandwich,11.191673732008658,True, · 71 Rue Jean-Pierre Timbaud
Aux Merveilleux de Fred,4.6,699,$$,Patisserie,11.14965074223381,True, · 2 Rue Monge
Boulangerie Milligramme,4.6,329,€1–10,Bakery,10.396057750765372,True,3-5 Rue du Plateau
LE BON Patisserie,4.6,267,4.6(267),Pastries,10.18724865840025,True,85 Bd Voltaire
Boulangerie Utopie,4.5,3542,€1–10,Bakery,12.67244681834278,True,20 Rue Jean-Pierre Timbaud
C'est Mon Donuts Paris 11,4.5,2044,€1–10,Donuts,12.122663951323595,True,49 Rue du Chemin Vert
Café Mirabelle,4.5,999,$$,Cafe,11.406754778648557,True, · 16 Rue la Vacquerie
epicery,4.5,856,4.5(856),Bakery,11.25227037614174,True,4 Bd Poissonnière
Boulangerie MAISON LETISSIER,4.5,806,€1–10,Bakery,11.192083742506629,True,59 Rue de Charenton
La Maison du Mochi,4.5,774,4.5(774),Pastries,11.151571873589727,True, · 39 Rue du Cherche-Midi
Aux 2 Anges,4.5,638,€1–10,Bakery,10.95833828334479,True,23 Rue Daval
