name,rating,reviews,info,category,composite_score,high_review_flag,address
NOTRE PLAISIR,4.8,669,€100+,Cake shop,11.305784060128229,True, · 20 Rue Dulong
Café Dose Paris • Batignolles,4.7,3179,€10–20,Cafe,12.764321960910802,True, · 82 Place du Dr Félix Lobligeois
C'est Mon Donuts,4.7,1869,"4.7(1,869)",Donuts,12.233158807455563,True,83 Rue de Dunkerque
Christophe Roussel,4.7,344,4.7(344),Chocolate shop,10.5406416573734,True, · 5 Rue Tardieu
Aux Merveilleux de Fred,4.6,1654,$$,Patisserie,12.010951875583636,True, · 24 Rue du Pont Louis-Philippe
Leonie Bakery,4.6,966,€1–10,Bakery,11.473163834212516,True, · 15 Av. Trudaine
Boulangerie BO&MIE Louvre-Rivoli,4.5,9128,€1–10,Bakery,13.619101891541913,True, · 91 Rue de Rivoli
BO&MIE,4.5,6671,€1–10,Bakery,13.305525052709516,True, · 18 R. de Turbigo
Aki Boulangerie,4.5,3818,€1–10,Bakery,12.747482004285692,True, · 16 Rue Sainte-Anne
Boulangerie Utopie,4.5,3542,€1–10,Bakery,12.67244681834278,True,20 Rue Jean-Pierre Timbaud
BREIZH Café Batignolles | La Crêpe Autrement,4.5,956,$$,Crêperie,11.3627579130514,True, · 31 Rue des Batignolles
MAISON GEORGES LARNICOL - MOF - Biscuiterie Chocolaterie,4.5,762,€1–10,Chocolate artisan,11.135946555686647,True, · 7 Rue de Steinkerque
The French Bastards,4.5,628,€1–10,Bakery,10.942540166468198,True, · 35 Pl. Saint-Ferdinand
Tranché Batignolles - Boulangerie engagée,4.5,525,€1–10,Bakery,10.763398262591624,True,20 Rue des Dames
Jean Paul Charbonnier,4.5,262,€1–10,Bakery,10.068344503761097,True, · 38 Rue des Batignolles
Le Grenier à Pain Abbesses Bodian,4.4,1278,€1–10,Bakery,11.55305163493748,True,38 Rue des Abbesses
Le Valentin Jouffroy,4.4,1074,$$$,Tea house,11.379145275068812,True,30 Pass. Jouffroy
Boulangerie Léonie,4.4,585,€1–10,Bakery,10.771611847231856,True, · 96 R. de Lévis
Boulangerie Léonie,4.4,585,€1–10,Bakery,10.771611847231856,True, · 96 R. de Lévis
Boulangerie Léonie,4.4,585,€1–10,Bakery,10.771611847231856,True, · 96 R. de Lévis
Boulangerie Bacillus - Dames,4.4,541,€1–10,Bakery,10.69341927884648,True, · 100 Rue des Dames
Jeffrey Cagnes Paris 17ème,4.4,535,4.4(535),Pastries,10.682266746896008,True,24 Rue des Moines
Boulangerie Castellane,4.4,482,€1–10,Bakery,10.5779441140506,True, · 6 Rue de Castellane
Boulangerie Montgolfière,4.4,365,€1–20,Bakery,10.299897353582493,True,49 Rue Laugier
Angelina,4.3,15660,€10–30,French,13.958864969544797,True, · 226 Rue de Rivoli
