name,rating,reviews,info,category,composite_score,high_review_flag,address
Brigat',4.8,681,4.8(681),Patisserie,11.323562306149512,True,6 Rue du Pas de la Mule
Brigat',4.8,681,4.8(681),Patisserie,11.323562306149512,True,6 Rue du Pas de la Mule
Emma Duvéré - Pâtisserie & Cantine,4.8,388,$$,Patisserie,10.761005339623274,True, · 41 Rue Sedaine
Leonie Bakery,4.6,966,€1–10,Bakery,11.473163834212516,True, · 15 Av. Trudaine
"Pâtisserie Boulangerie ""La Petite Alsacienne""",4.6,690,€1–10,Bakery,11.136691597591303,True, · 45 Rue Raymond Losserand
Le Moulin de la Croix Nivert,4.6,610,€1–10,Bakery,11.013458957167355,True, · 39 Rue de la Croix Nivert
Aki Boulangerie,4.5,3818,€1–10,Bakery,12.747482004285692,True, · 16 Rue Sainte-Anne
Boulangerie Utopie,4.5,3542,€1–10,Bakery,12.67244681834278,True,20 Rue Jean-Pierre Timbaud
Patisserie de Choisy,4.5,627,$$,Pastries,10.940946540632922,True,62 Av. de Choisy
L'Artisan,4.5,252,€1–10,Bakery,10.029429087511424,True, · 25 Rue de la Butte aux Cailles
Boulangerie Archibald,4.5,252,€1–10,Bakery,10.029429087511424,True,28 Rue des Fossés Saint-Bernard
La Pâtisserie Cyril Lignac | Chaillot,4.4,3065,$$$,Patisserie,12.427802848370312,True, · 2 Rue de Chaillot
La Pâtisserie Cyril Lignac | Chaillot,4.4,3065,$$$,Patisserie,12.427802848370312,True, · 2 Rue de Chaillot
Le Grenier à Pain Abbesses Bodian,4.4,1278,€1–10,Bakery,11.55305163493748,True,38 Rue des Abbesses
Le Grenier à Pain Abbesses Bodian,4.4,1278,€1–10,Bakery,11.55305163493748,True,38 Rue des Abbesses
La Fabrique aux Gourmandises,4.4,758,€1–10,Bakery,11.030683385642371,True,82 Rue de l'Amiral Mouchez
La Fabrique aux Gourmandises,4.4,758,€1–10,Bakery,11.030683385642371,True,82 Rue de l'Amiral Mouchez
Lorette Gourmet Bakery,4.4,754,€1–10,Bakery,11.025392368007957,True, · 2 Rue de la Butte aux Cailles
Lorette Gourmet Bakery,4.4,754,€1–10,Bakery,11.025392368007957,True, · 2 Rue de la Butte aux Cailles
Du Pain et des Idées,4.3,3618,€1–10,Bakery,12.493676665955242,True,34 Rue Yves Toudic
The Smiths Bakery,4.3,907,€10–20,Bakery,11.110142450115136,True,12 Rue de Buci
Boulangerie bo,4.3,720,€1–10,Bakery,10.8792512120101,True, · 85bis Rue de Charenton
Legay Choc,4.3,518,€1–10,Bakery,10.549975242259482,True,33 Rue Rambuteau
Au Chaud Pain Choc,4.3,289,€1–10,Bakery,9.966426688112431,True, · 22 Bd de Sébastopol
Boulangerie Poilâne,4.2,999,€1–10,Bakery,11.106754778648554,True, · 8 Rue du Cherche-Midi
