name,rating,reviews,info,category,composite_score,high_review_flag,address
Café Tranquille,4.9,542,€1–10,Coffee shop,11.195266001439649,True, · 147 Rue du Faubourg Saint-Denis
Gem la Pâtisserie Paris,4.9,535,4.9(535),Pastries,11.182266746896008,True,1 Rue de Marivaux
UNION BOULANGERIE,4.8,666,€1–10,Bakery,11.301289670540388,True, · 2 Rue Bleue
"Levain, Le Vin",4.8,418,€20–30,Bakery,10.835481432524755,True, · 83 Rue du Faubourg Saint-Martin
Emma Duvéré - Pâtisserie & Cantine,4.8,388,$$,Patisserie,10.761005339623274,True, · 41 Rue Sedaine
C'est Mon Donuts,4.7,1869,"4.7(1,869)",Donuts,12.233158807455563,True,83 Rue de Dunkerque
"Sucre Glace, le glacier Artisanal du canal Saint Martin",4.7,611,$$,Ice Cream,11.115096959171597,True, · 61 Quai de Valmy
DonAntónia Pastelaria,4.7,321,$$,Bakery,10.471441123130017,True,8 Rue de la Grange aux Belles
Boulangerie BO&MIE - Saint Michel,4.6,4634,€1–10,Bakery,13.04117570499232,True, · 5 Bd Saint-Michel
Boulangerie BO&MIE - Saint Martin,4.6,3815,€1–10,Bakery,12.846695943718556,True, · 359 Rue Saint-Martin
Mamiche,4.6,1890,€1–10,Bakery,12.144332108053687,True, · 45 Rue Condorcet
A. Lacroix Pâtissier,4.6,1681,$$,Patisserie,12.027144133408616,True, · 11 Quai de Montebello
Aux Merveilleux de Fred,4.6,1654,$$,Patisserie,12.010951875583636,True, · 24 Rue du Pont Louis-Philippe
The French Bastards,4.6,1585,€1–10,Bakery,11.96833968631138,True,181 Rue St Denis
Leonie Bakery,4.6,966,€1–10,Bakery,11.473163834212516,True, · 15 Av. Trudaine
Le Pain des Copains,4.6,782,€1–10,Bakery,11.26185474054531,True, · 96 Rue du Faubourg Saint-Martin
Maison Aleph,4.6,747,4.6(747),Patisserie,11.216065185132816,True, · 20 Rue de la Verrerie
Nonette Bánh Mì & Donuts,4.6,729,€10–20,Sandwich,11.191673732008658,True, · 71 Rue Jean-Pierre Timbaud
Aux Merveilleux de Fred,4.6,699,$$,Patisserie,11.14965074223381,True, · 2 Rue Monge
Boulangerie-Pâtisserie Laurent Dheilly,4.6,661,€1–10,Bakery,11.093753839851686,True,6 Rue des Halles
She’s Cake,4.6,649,$$,Pastries,11.07543271670409,True,37 Rue du Roi de Sicile
BINICI,4.6,466,4.6(466),Tea house,10.744185634125646,True,18 Rue Chapon
Bulliz,4.6,444,€1–10,Coffee shop,10.695824562432223,True, · 14 Rue d'Hauteville
Les Gamins du Faubourg,4.6,396,€1–10,Bakery,10.58141421125448,True, · 210 Rue du Faubourg Saint-Martin
JOJO & CO Pâtisserie,4.6,364,4.6(364),Patisserie,10.49715386763674,True,37 Rue du Roi de Sicile
