name,rating,reviews,info,category,composite_score,high_review_flag,address
Cakepart,4.9,480,4.9(480),Pastries,11.073786103901938,True,77 Rue de Charonne
Adria's bakery,4.8,262,€1–10,Bakery,10.368344503761096,True,93 Rue de Reuilly
Aux Merveilleux de Fred,4.6,1654,$$,Patisserie,12.010951875583636,True, · 24 Rue du Pont Louis-Philippe
Graine,4.6,328,€1–10,Bakery,10.393013608384145,True, · 54 Rue Oberkampf
LE BON Patisserie,4.6,267,4.6(267),Pastries,10.18724865840025,True,85 Bd Voltaire
BO&MIE,4.5,6671,€1–10,Bakery,13.305525052709516,True, · 18 R. de Turbigo
Boulangerie Utopie,4.5,3542,€1–10,Bakery,12.67244681834278,True,20 Rue Jean-Pierre Timbaud
C'est Mon Donuts Paris 11,4.5,2044,€1–10,Donuts,12.122663951323595,True,49 Rue du Chemin Vert
Aux 2 Anges,4.5,638,€1–10,Bakery,10.95833828334479,True,23 Rue Daval
La Pâtisserie Cyril Lignac | Chaillot,4.4,3065,$$$,Patisserie,12.427802848370312,True, · 2 Rue de Chaillot
Chambelland Oberkampf,4.4,1411,€10–20,Bakery,11.652053951852814,True, · 14 Rue Ternaux
Land&Monkeys Beaumarchais,4.4,1338,€10–20,Bakery,11.598931240688174,True,86 Bd Beaumarchais
Le Grenier à Pain Abbesses Bodian,4.4,1278,€1–10,Bakery,11.55305163493748,True,38 Rue des Abbesses
Bontemps La Pâtisserie,4.4,919,$$$,Patisserie,11.223286122355688,True, · 57 Rue de Bretagne
Boulangerie La Parisienne,4.4,913,€1–10,Bakery,11.216735880594968,True,48 Rue Madame
La Fabrique aux Gourmandises,4.4,758,€1–10,Bakery,11.030683385642371,True,82 Rue de l'Amiral Mouchez
Ten Belles Bread | Coffee Shop | Pain au levain & torréfaction artisanale,4.4,562,€1–10,Bakery,10.731501849893691,True, · 17-19 R. Bréguet
Tapisserie - Charonne,4.4,347,4.4(347),Patisserie,10.24932477994686,True,65 Rue de Charonne
Du Pain et des Idées,4.3,3618,€1–10,Bakery,12.493676665955242,True,34 Rue Yves Toudic
La Pâtisserie Cyril Lignac,4.3,3222,$$$,Patisserie,12.37775756373692,True,24 Rue Paul Bert
The Smiths Bakery,4.3,907,€10–20,Bakery,11.110142450115136,True,12 Rue de Buci
Ble Sucre,4.3,630,€1–10,Bakery,10.745719819385576,True,7 Rue Antoine Vollon
Boulangerie Poilâne,4.2,999,€1–10,Bakery,11.106754778648554,True, · 8 Rue du Cherche-Midi
Boulangerie Maison Ménier,4.2,593,€1–10,Bakery,10.585194398997723,True, · 30 Bd Diderot
Aux Castelblangeois,4.2,468,€1–10,Bakery,10.348468295917648,True, · 168 Rue Saint-Honoré
