name,rating,reviews,info,category,composite_score,high_review_flag,address
Gem la Pâtisserie Paris,4.9,535,4.9(535),Pastries,11.182266746896008,True,1 Rue de Marivaux
OH La La C BON,4.7,288,€1–10,Bakery,10.362960480135946,True,178 Rue de Rivoli
Boulangerie BO&MIE - Saint Martin,4.6,3815,€1–10,Bakery,12.846695943718556,True, · 359 Rue Saint-Martin
Aux Merveilleux de Fred,4.6,1654,$$,Patisserie,12.010951875583636,True, · 24 Rue du Pont Louis-Philippe
Boulangerie-Pâtisserie Laurent Dheilly,4.6,661,€1–10,Bakery,11.093753839851686,True,6 Rue des Halles
JOJO & CO Pâtisserie,4.6,364,4.6(364),Patisserie,10.49715386763674,True,37 Rue du Roi de Sicile
Boulangerie BO&MIE Louvre-Rivoli,4.5,9128,€1–10,Bakery,13.619101891541913,True, · 91 Rue de Rivoli
BO&MIE,4.5,6671,€1–10,Bakery,13.305525052709516,True, · 18 R. de Turbigo
Aki Boulangerie,4.5,3818,€1–10,Bakery,12.747482004285692,True, · 16 Rue Sainte-Anne
Boulangerie-Pâtisserie Terroirs d'Avenir,4.5,823,€1–10,Bakery,11.21295620067707,True, · 3 Rue du Nil
Aux 2 Anges,4.5,638,€1–10,Bakery,10.95833828334479,True,23 Rue Daval
Le Grenier à Pain Abbesses Bodian,4.4,1278,€1–10,Bakery,11.55305163493748,True,38 Rue des Abbesses
Bontemps La Pâtisserie,4.4,919,$$$,Patisserie,11.223286122355688,True, · 57 Rue de Bretagne
Boulangerie La Parisienne,4.4,913,€1–10,Bakery,11.216735880594968,True,48 Rue Madame
Besties Bakery,4.3,4634,€10–20,Bakery,12.741175704992322,True,11 Rue Auber
Besties Bakery,4.3,4634,€10–20,Bakery,12.741175704992322,True,11 Rue Auber
Du Pain et des Idées,4.3,3618,€1–10,Bakery,12.493676665955242,True,34 Rue Yves Toudic
The Smiths Bakery,4.3,907,€10–20,Bakery,11.110142450115136,True,12 Rue de Buci
Pierre Hermé,4.3,816,$$$,Pastries,11.004414354964108,True, · 4 Rue Cambon
Legay Choc,4.3,518,€1–10,Bakery,10.549975242259482,True,33 Rue Rambuteau
Au Chaud Pain Choc,4.3,289,€1–10,Bakery,9.966426688112431,True, · 22 Bd de Sébastopol
Boulangerie Poilâne,4.2,999,€1–10,Bakery,11.106754778648554,True, · 8 Rue du Cherche-Midi
Boulangerie Painorama,4.2,668,€1–10,Bakery,10.704288173536646,True,75 Rue Saint-Honoré
Maison Marnay,4.2,472,€1–10,Bakery,10.356978985585556,True, · 24 Rue Saint-Martin
Aux Castelblangeois,4.2,468,€1–10,Bakery,10.348468295917648,True, · 168 Rue Saint-Honoré
