name,rating,reviews,info,category,composite_score,high_review_flag,address
"Pâtisserie Boulangerie ""La Petite Alsacienne""",4.6,690,€1–10,Bakery,11.136691597591303,True, · 45 Rue Raymond Losserand
Mie Amor Paris,4.6,347,€1–10,Bakery,10.44932477994686,True, · 18 Rue Littré
Boulangerie Pâtisserie L'Equilibre,4.6,282,€1–10,Bakery,10.241907070938112,True, · 108 Rue Blomet
BO&MIE,4.5,6671,€1–10,Bakery,13.305525052709516,True, · 18 R. de Turbigo
Les Frères Blavette,4.5,318,€1–10,Bakery,10.262051382780175,True, · 69 Rue Daguerre
Boulangerie La Parisienne,4.4,913,€1–10,Bakery,11.216735880594968,True,48 Rue Madame
Boulangerie La Parisienne,4.4,913,€1–10,Bakery,11.216735880594968,True,48 Rue Madame
La Fabrique aux Gourmandises,4.4,758,€1–10,Bakery,11.030683385642371,True,82 Rue de l'Amiral Mouchez
La Fabrique aux Gourmandises,4.4,758,€1–10,Bakery,11.030683385642371,True,82 Rue de l'Amiral Mouchez
Le temps et le pain,4.4,285,€1–10,Bakery,10.052489180268651,True,7 Rue Mouton-Duvernet
The Smiths Bakery,4.3,907,€10–20,Bakery,11.110142450115136,True,12 Rue de Buci
The Smiths Bakery,4.3,907,€10–20,Bakery,11.110142450115136,True,12 Rue de Buci
Boulangerie Suffren 55,4.3,383,€1–10,Bakery,10.248034989180644,True, · 55 Av. de Suffren
Boulangerie Poilâne,4.2,999,€1–10,Bakery,11.106754778648554,True, · 8 Rue du Cherche-Midi
PANADE,4.2,707,€1–10,Bakery,10.761030665896572,True, · 35 Rue Violet
Bread & Roses Paris,4.1,623,€10–20,Bakery,10.534546518787453,True, · 62 Rue Madame
La Parisienne,4.1,460,€1–10,Bakery,10.231226489483142,True, · 19 Rue d'Odessa
Boulangerie Éric Kayser - 8 rue Monge,4.1,324,€1–10,Bakery,9.880743515792329,True," · Maubert-Mutualité, 8 Rue Monge"
Paris Baguette,4.1,267,€1–10,Bakery,9.68724865840025,True, · 5 Pl. du 18 Juin 1940
Paris Baguette,4.1,267,€1–10,Bakery,9.68724865840025,True, · 5 Pl. du 18 Juin 1940
Des gâteaux et du pain,4.0,1125,$$$,Patisserie,11.02553831463852,True, · 63 Bd Pasteur
Des gâteaux et du pain,4.0,1125,$$$,Patisserie,11.02553831463852,True, · 63 Bd Pasteur
Bakery Thévenin Saint Placide,4.0,932,€1–10,Bakery,10.837332814685592,True, · 5 Rue Notre Dame des Champs
La DUCHESSE bakery,4.6,234,€1–10,Bakery,10.0553211153577,False,33 Rue Viala
Boulangerie Un pain à part,4.5,163,€1–10,Bakery,9.593750200806763,False, · 4 Place Constantin Brancusi
