name,rating,reviews,info,category,composite_score,high_review_flag,address
Emma Duvéré - Pâtisserie & Cantine,4.8,388,$$,Patisserie,10.761005339623274,True, · 41 Rue Sedaine
Atelier Guinot Baker,4.7,261,€1–10,Bakery,10.264520407322694,True,6 Rue Saint-Ambroise
VG Pâtisserie,4.6,2312,$$$,Patisserie,12.345868229792268,True, · 123 Bd Voltaire
Scoop Me a Cookie - Oberkampf,4.6,363,4.6(363),Cookies,10.49440283426485,True,57 Rue Oberkampf
Graine,4.6,328,€1–10,Bakery,10.393013608384145,True, · 54 Rue Oberkampf
LE BON Patisserie,4.6,267,4.6(267),Pastries,10.18724865840025,True,85 Bd Voltaire
BO&MIE,4.5,6671,€1–10,Bakery,13.305525052709516,True, · 18 R. de Turbigo
Boulangerie Utopie,4.5,3542,€1–10,Bakery,12.67244681834278,True,20 Rue Jean-Pierre Timbaud
Pépite boulangerie,4.5,999,€1–10,Bakery,11.406754778648557,True, · 195 Bd Voltaire
Land&Monkeys Beaumarchais,4.4,1338,€10–20,Bakery,11.598931240688174,True,86 Bd Beaumarchais
Le Grenier à Pain Abbesses Bodian,4.4,1278,€1–10,Bakery,11.55305163493748,True,38 Rue des Abbesses
Bontemps La Pâtisserie,4.4,919,$$$,Patisserie,11.223286122355688,True, · 57 Rue de Bretagne
Boulangerie Léonie,4.4,585,€1–10,Bakery,10.771611847231856,True, · 96 R. de Lévis
Ten Belles Bread | Coffee Shop | Pain au levain & torréfaction artisanale,4.4,562,€1–10,Bakery,10.731501849893691,True, · 17-19 R. Bréguet
Boulangerie Castellane,4.4,482,€1–10,Bakery,10.5779441140506,True, · 6 Rue de Castellane
Dupain,4.4,419,€1–10,Bakery,10.437870919922135,True,20 Bd des Filles du Calvaire
Besties Bakery,4.3,4634,€10–20,Bakery,12.741175704992322,True,11 Rue Auber
Du Pain et des Idées,4.3,3618,€1–10,Bakery,12.493676665955242,True,34 Rue Yves Toudic
La Pâtisserie Cyril Lignac,4.3,3222,$$$,Patisserie,12.37775756373692,True,24 Rue Paul Bert
The French Bastards,4.3,1226,€1–10,Bakery,11.411512116496157,True, · 61 Rue Oberkampf
La Parisienne,4.3,694,€1–10,Bakery,10.842471960506805,True, · 85 Rue Saint-Dominique
Boulangerie Poilâne,4.2,999,€1–10,Bakery,11.106754778648554,True, · 8 Rue du Cherche-Midi
Le Pain Quotidien,4.1,1013,€10–20,Bakery,11.020671504248682,True, · 24 Rue de Charonne
Aux Péchés Normands,4.1,671,€1–10,Bakery,10.60876913697168,True,9 Rue du Faubourg du Temple
Maison Landemaine Oberkampf,4.1,608,€1–10,Bakery,10.510174881966169,True, · 41 Rue Oberkampf
