name,rating,reviews,info,category,composite_score,high_review_flag,address
Pâtisserie GINKO,4.9,263,4.9(263),Patisserie,10.472154032177766,True,33 Rue des Alouettes
DonAntónia Pastelaria,4.7,321,$$,Bakery,10.471441123130017,True,8 Rue de la Grange aux Belles
Leonie Bakery,4.6,966,€1–10,Bakery,11.473163834212516,True, · 15 Av. Trudaine
Boulangerie-Pâtisserie Laurent Dheilly,4.6,661,€1–10,Bakery,11.093753839851686,True,6 Rue des Halles
Boulangerie Milligramme,4.6,329,€1–10,Bakery,10.396057750765372,True,3-5 Rue du Plateau
BO&MIE,4.5,6671,€1–10,Bakery,13.305525052709516,True, · 18 R. de Turbigo
Boulangerie Utopie,4.5,3542,€1–10,Bakery,12.67244681834278,True,20 Rue Jean-Pierre Timbaud
Boulangerie Alexine,4.5,622,€1–10,Bakery,10.93294009273918,True, · 40 Rue Lepic
Popelini,4.5,390,$$$,Pastries,10.466146739123692,True,29 Rue Debelleyme
La Pâtisserie Cyril Lignac | Chaillot,4.4,3065,$$$,Patisserie,12.427802848370312,True, · 2 Rue de Chaillot
Boneshaker Donuts,4.4,1779,$$,Pastries,11.883806687665835,True, · 86 Rue d'Aboukir
Land&Monkeys Beaumarchais,4.4,1338,€10–20,Bakery,11.598931240688174,True,86 Bd Beaumarchais
Le Grenier à Pain Abbesses Bodian,4.4,1278,€1–10,Bakery,11.55305163493748,True,38 Rue des Abbesses
Bontemps La Pâtisserie,4.4,919,$$$,Patisserie,11.223286122355688,True, · 57 Rue de Bretagne
Ten Belles 10 | Coffee Shop | Pain au levain & torréfaction artisanale,4.4,886,€1–10,Bakery,11.18671695060508,True,10 Rue de la Grange aux Belles
Sacha Finkelsztajn - La Boutique Jaune,4.4,846,€10–20,Bakery,11.140519359606223,True,27 Rue des Rosiers
Ten Belles Bread | Coffee Shop | Pain au levain & torréfaction artisanale,4.4,562,€1–10,Bakery,10.731501849893691,True, · 17-19 R. Bréguet
Café Mareva,4.4,521,€10–30,Gluten Free,10.655750041753368,True,27 Rue de Clignancourt
Du Pain et des Idées,4.3,3618,€1–10,Bakery,12.493676665955242,True,34 Rue Yves Toudic
La Pâtisserie Cyril Lignac,4.3,3222,$$$,Patisserie,12.37775756373692,True,24 Rue Paul Bert
Ladurée,4.3,2052,$$$,Pastries,11.92657020629066,True, · 21 Rue Bonaparte
The French Bastards,4.3,1226,€1–10,Bakery,11.411512116496157,True, · 61 Rue Oberkampf
The Smiths Bakery,4.3,907,€10–20,Bakery,11.110142450115136,True,12 Rue de Buci
Ble Sucre,4.3,630,€1–10,Bakery,10.745719819385576,True,7 Rue Antoine Vollon
Jeffrey Cagnes Paris 2ème,4.3,512,4.3(512),Patisserie,10.538324625039508,True, · 73 Rue Montorgueil
