name,rating,reviews,info,category,composite_score,high_review_flag,address
JJ Beaumarchais,4.9,989,4.9(989),French,11.796694331622714,True, · 92 Bd Beaumarchais
Chez Pradel Bastille,4.9,633,€20–30,French,11.350470422144175,True, · 3 Rue du Pasteur Wagner
BOMBOLÒ Cantine à Pizza - Cave à Vins Italiens,4.9,438,€20–30,Italian,10.982218910376446,True, · 90 Bd Voltaire
Menekse,4.9,349,€20–30,Restaurant,10.755071922202427,True,7 Pass. de la Main d'Or
BEER Paris,4.9,330,€10–20,Beer hall,10.699092654460523,True,3 Rue de la Forge Royale
Cagettes,4.9,305,€10–20,Restaurant,10.620311776607412,True, · 3 Rue Froment
On Partage - Cantine Caféinée,4.9,272,€10–20,Restaurant,10.505802066296,True, · 137 bis Rue de Charonne
Kitchen Ter(re),4.8,1999,$$,Restaurant,12.4004023345004,True,26 Bd Saint-Germain
Madito,4.8,1040,€30–40,Lebanese,11.746975992135418,True, · 12 Rue de Candie
Les Deux Colombes,4.8,1033,€20–30,Restaurant,11.740222469119638,True,4 Rue de la Colombe
Ty Louis - Restaurant Breton Paris 12,4.8,981,€20–40,Restaurant,11.688572459565364,True, · 240 Rue du Faubourg Saint-Antoine
La Côte ou la Cuisse,4.8,821,4.8(821),Restaurant,11.510523109452429,True, · 8 Rue Tournefort
Eunoé,4.8,728,4.8(728),Restaurant,11.390301048196688,True, · 6 Rue Rochebrune
Terre Restaurant,4.8,678,4.8(678),French,11.319147287940396,True, · 23 Rue de Montreuil
La MiNהארץ,4.8,657,€30–50,Restaurant,11.28768401848461,True,45 Rue de Montreuil
TOWA Restaurant,4.8,563,$$,French,11.13327962813969,True, · 75 Rue Crozatier
La réserve,4.8,409,€30–40,Tapas Bar,10.813715156042802,True, · 44 Rue Léon Frot
Bistro S,4.8,388,4.8(388),French,10.761005339623274,True,7 Rue Saint-Nicolas
Les Artistes Gourmands,4.8,318,€20–30,Italian,10.562051382780176,True, · 83 Rue de la Roquette
BAANBECK,4.8,291,4.8(291),Thai,10.473323267171493,True, · 2 Quai Henri IV
Le Rempart Bastille,4.7,3210,€20–30,Restaurant,12.77402621612406,True, · 15 Rue Saint-Antoine
Papa Poule Paris Bastille,4.7,1472,€30–50,Restaurant,11.99437729928882,True, · 23 Rue des Taillandiers
Restaurant L'Ange 20,4.7,1348,€30–50,French,11.906377291472252,True, · 44 Rue des Tournelles
Distrito Francés Marais,4.7,897,€20–30,Mexican,11.499055862058796,True, · 25 Rue du Pont aux Choux
Qui plume la lune,4.7,831,€100+,French,11.42262979485545,True, · 50 Rue Amelot
