name,rating,reviews,info,category,composite_score,high_review_flag,address
Rooster par Frédéric Duca,4.9,1080,€100+,Haute French,11.884716320118264,True, · 137 Rue Cardinet
Petit Boutary,4.9,903,4.9(903),French,11.705722553416988,True, · 16 Rue Jacquemont
Mallory Gabsi,4.8,1954,€100+,Haute French,12.377633832602728,True, · 28 Rue des Acacias
Les P'tits Potes - Bar à vin de copains,4.8,1412,€20–30,Wine bar,12.052762418053188,True, · 33 Rue des Dames
Le Truffaut,4.8,648,4.8(648),Restaurant,11.273890696352275,True,89 Rue Truffaut
Chez Tartar,4.8,511,€30–40,Restaurant,11.036369590203703,True, · 31 Rue Legendre
"Les Frérots Burger, bistrot",4.8,461,€20–30,Restaurant,10.933398042996648,True,117 Rue des Dames
Mamine Batignolles,4.8,301,€30–40,Tapas Bar,10.507110264748874,True,19 Rue des Dames
Que pour les Gourmands,4.8,255,€20–30,French,10.341263545158426,True, · 97 Rue de Tocqueville
MELT BATIGNOLLES,4.7,3075,€20–30,Meat,12.731060180240618,True, · 83 Rue Legendre
BRUTUS - Batignolles,4.7,1861,"4.7(1,861)",Crêperie,12.228869256642252,True,99 Rue des Dames
Le 27 Gourmand,4.7,1245,$$,French,11.826890808898808,True, · 27 Bd des Batignolles
ANONA,4.7,1198,€100+,Fine Dining,11.788408778675397,True, · 80 Bd des Batignolles
Le 17.45 Paris Batignolles - Planches à composer,4.7,1097,€20–30,French,11.70033446027523,True,45 Rue des Dames
Franquette Paris,4.7,982,4.7(982),French,11.589591308354466,True,8 Rue des Dames
Le Paris 17,4.7,712,$$,French,11.268077911411975,True, · 41 Rue Guersant
Chez Gusto,4.7,651,€20–30,Italian,11.178509642208567,True, · 93 Rue de La Jonquière
Le Bistrot d'Yves,4.7,645,€30–40,Restaurant,11.169250316795772,True, · 33 Rue Cardinet
Les Marchands de Vin,4.7,537,€30–40,Restaurant,10.985998094508863,True, · 9 Rue Biot
Ripaille,4.7,513,$$,Restaurant,10.94027584517077,True,69 Rue des Dames
Restaurant Vatel Paris,4.7,484,$$,French,10.882084906716631,True, · 122 Rue Nollet
L'entrepotes,4.7,439,€10–20,Bar,10.78449941307517,True, · 68 Av. de Clichy
Kokoya,4.7,408,€20–30,Japanese,10.711267174404162,True, · 5 Rue des Batignolles
Les Poulettes Batignolles,4.7,400,$$,Traditional restaurant,10.691464547107982,True, · 10 Rue de Cheroy
Pêche,4.7,369,$$,French,10.610796644040526,True, · 127 Rue Cardinet
