name,rating,reviews,info,category,composite_score,high_review_flag,address
Restaurant Musa Belleville - Paris 20,5.0,503,5.0(503),Tapas,11.22059017009974,True, · 82 Bd de Belleville
avec amour - le burger Belleville,4.8,2985,€10–20,Hamburger,12.801355025826702,True, · 78 Rue de Belleville
Les Petites Flèches Parmentier,4.8,734,€20–30,Dart bar,11.398509028614516,True, · 49 Rue Jean-Pierre Timbaud
11ème Domaine,4.8,624,€20–30,Wine bar,11.236150368369428,True, · 14 Rue des Trois Bornes
Fifty fifty,4.8,287,€10–20,Cocktail bar,10.45948221575962,True,74 Rue Jean-Pierre Timbaud
Le Jourdain,4.7,950,€20–40,Restaurant,11.556461984594588,True,101 Rue des Couronnes
Le Jourdain,4.7,950,€20–40,Restaurant,11.556461984594588,True,101 Rue des Couronnes
Le Hérisson,4.7,487,€20–30,Moroccan,10.888264123082587,True, · 78 Bd de Belleville
Le Hérisson,4.7,487,€20–30,Moroccan,10.888264123082587,True, · 78 Bd de Belleville
Babel Belleville,4.7,452,4.7(452),3-star tourist hotel,10.813682179832233,True,
Coup de Tête,4.7,281,€20–30,Restaurant,10.338354669333746,True, · 107 Rue de Belleville
La Cantine de Babelville,4.6,593,€1–10,African,10.985194398997724,True, · 77 Rue de la Fontaine au Roi
La Cantine de Babelville,4.6,593,€1–10,African,10.985194398997724,True, · 77 Rue de la Fontaine au Roi
La Cave de Belleville,4.6,564,$$,Wine store,10.93505425149806,True, · 51 Rue de Belleville
MICRO BRASSERIE BALTHAZAR,4.6,557,€10–20,Brewpub,10.922565239927284,True, · 90 Bd de Ménilmontant
MICRO BRASSERIE BALTHAZAR,4.6,557,€10–20,Brewpub,10.922565239927284,True, · 90 Bd de Ménilmontant
Westborn Market,4.6,545,4.6(545),Grocery store,10.900785794663244,True, · 860 Penniman Ave
Vieux Belleville,4.6,544,$$,French,10.898949246855942,True, · 12 Rue des Envierges
Taste Kitchen,4.6,528,$50–100,New American,10.86909628370626,True, · 521 E Liberty St
Combat,4.6,461,€10–20,Cocktail bar,10.733398042996647,True, · 63 Rue de Belleville
Basil Babe,4.6,415,$10–20,Thai,10.628278520230698,True, · 701 W Cross St
Dans La Foulée,4.6,300,€10–20,Bistro,10.3037824746562,True, · 111 Bd de Ménilmontant
Dans La Foulée,4.6,300,€10–20,Bistro,10.3037824746562,True, · 111 Bd de Ménilmontant
Le Grand Bain,4.5,762,$$,French,11.135946555686647,True, · 14 Rue Denoyez
Le Grand Bain,4.5,762,$$,French,11.135946555686647,True, · 14 Rue Denoyez
