name,rating,reviews,info,category,composite_score,high_review_flag,address
Chez Trassoudaine,4.8,1425,$$$,French,12.061927092702753,True, · 3 Pl. nationale
Marso & co,4.8,796,€40–50,French,11.479599185844382,True, · 16 Rue Vulpian
Simone,4.8,552,$$,Haute French,11.113548046277096,True, · 33 Bd Arago
Dame Augustine,4.7,600,4.7(600),Restaurant,11.096929655216147,True, · 32 Av. des Gobelins
Au Petit Village,4.7,412,€20–30,Restaurant,10.721023349349526,True,6 Rue Coypel
La Bonne Mer,4.7,342,4.7(342),Seafood,10.534810737062603,True,22 Rue du Moulin des Prés
La cantine de la Butte,4.7,287,€20–30,Restaurant,10.359482215759622,True, · 14 Rue des cinq Diamants
Chez Mamane,4.6,878,€20–30,Couscous,11.377646593635117,True, · 27 Rue des cinq Diamants
Thai Papaya,4.6,749,€20–30,Thai,11.21873898351722,True,51 Rue des cinq Diamants
L'Auberge du Roi Gradlon,4.6,332,€40–50,Restaurant,10.405134968916489,True, · 36 Bd Arago
Crêperie Paris Breizh Italie,4.5,1138,$,Crêperie,11.537027614686275,True, · 166 Bd Vincent Auriol
Butte aux Thaï,4.5,547,€20–30,Thai,10.80444880242198,True, · 43 Rue des cinq Diamants
Le Feu de Mars,4.5,515,$$,Japanese,10.744166900663735,True,41 Rue Vandrezanne
Soyouz - Bar & Pizza,4.5,437,€10–20,Pizza,10.57993319509559,True, · 11 Rue de l'Espérance
Le Petit Cervantes,4.5,402,€20–30,Tapas,10.49645208861902,True, · Rue des cinq Diamants
Au Banquier,4.5,318,€10–20,Restaurant,10.262051382780175,True, · 7 Rue du Banquier
LÜKS Kebab Paris 13,4.4,4917,€10–20,Kebab shop,12.90045386741194,True, · 6 Rue du Père Guérin
Chez Gladines Butte aux Cailles,4.4,4519,€20–30,Basque,12.81604600941128,True, · 30 Rue des cinq Diamants
Chez Gladines Butte aux Cailles,4.4,4519,€20–30,Basque,12.81604600941128,True, · 30 Rue des cinq Diamants
Chez Gladines Butte aux Cailles,4.4,4519,€20–30,Basque,12.81604600941128,True, · 30 Rue des cinq Diamants
Comme Au Vietnam,4.4,2182,€20–30,Vietnamese,12.087997166393016,True, · 195 Av. de Choisy
ICONIK,4.4,1460,"4.4(1,460)",Restaurant,11.686191714702382,True, · 28bis Av. d'Italie
Dudule,4.4,1246,€20–30,Restaurant,11.5276936993474,True, · 205 Bd Vincent Auriol
Restaurant Chez Nathalie,4.4,707,€30–40,French,10.961030665896573,True, · 45 Rue Vandrezanne
Auberge Etchegorry,4.4,396,€30–40,French,10.38141421125448,True,41 Rue de Croulebarbe
