name,rating,reviews,info,category,composite_score,high_review_flag,address
ASSANABEL,4.9,4016,€30–40,Lebanese,13.198041661371564,True, · 6 Rue Pierre Chausson
La Cuisine de l'Himalaya - Journey of Flavor,4.9,739,€20–30,Nepalese,11.505297920948202,True, · 44 Rue du Faubourg du Temple
Hawa Beirut,4.9,701,€10–20,Lebanese,11.45250788703459,True,12 Rue Beaurepaire
Les Saveurs de Marrakech,4.9,469,€20–30,Restaurant,11.05060276844628,True, · 13 Rue Eugène Varlin
Sezono,4.9,336,€20–30,Vegetarian,10.717111159963205,True, · 13 Rue Jacques Louvel-Tessier
L’angelus du canal,4.9,333,€30–40,Restaurant,10.708142489980444,True,12 Av. Richerand
LArchimede - Restaurant Bistronomique Paris 10,4.8,1056,€30–50,French,11.762243464266206,True, · 11 Rue Marie et Louise
Au P'tit Curieux,4.8,1005,"4.8(1,005)",Restaurant,11.712742820493176,True, · 27 Rue de Sambre-et-Meuse
restaurant al assil,4.8,983,€10–20,Lebanese,11.690609120147164,True, · 50 Bd de Magenta
Paristanbul,4.8,979,€1–10,Turkish,11.686531642530513,True, · 116 Rue du Faubourg Saint-Martin
Restaurant bodrum,4.8,944,€1–10,Kebab shop,11.6501261661455,True,190 Rue du Faubourg Saint-Martin
Bibim House La Fayette,4.8,925,€20–30,Korean,11.629793737512426,True, · 220 Rue La Fayette
Jumbo Express,4.8,705,€10–20,Vietnamese,11.358197802812269,True,25 Rue Eugène Varlin
Plan D - DWICH & GLACE,4.8,631,€10–20,Fast Food,11.247305862541213,True,22 Rue des Vinaigriers
PRIMAVERA - Pizzeria Paris 10,4.8,335,€10–20,Pizza,10.614130531825063,True,16 Pl. Jacques Bonsergent
Labranda,4.8,322,€10–20,Restaurant,10.57455154554441,True, · 18 Rue Louis Blanc
Holybelly,4.7,6285,€20–30,Breakfast,13.445921121024348,True, · 5 Rue Lucien Sampaix
Gros Bao Paris,4.7,6104,€20–30,Chinese,13.416699572964294,True, · 72 Quai de Jemmapes
Yamanashi Ramen,4.7,2220,€10–20,Ramen,12.405262474866326,True,5 Rue de Lancry
New Soul Food Le Maquis · et FoodTruck,4.7,2202,€10–20,African,12.397121317282624,True, · 177 Quai de Valmy
La Taverne de Zhao,4.7,1611,€10–20,Chinese,12.084610383176974,True,49 Rue des Vinaigriers
Nonno Nino Restaurant,4.7,1530,€20–40,Italian,12.03302301438648,True,10 Rue Bremontier
Canal Poké - Canal Saint-Martin,4.7,1038,€10–20,Poke bar,11.645051063725834,True,25 Rue Bichat
Vendredi Soir,4.7,944,€20–40,Restaurant,11.5501261661455,True, · 140 Rue du Faubourg Saint-Martin
Amore Mio,4.7,940,€20–30,Italian,11.545879875264047,True, · 31 bis Rue Louis Blanc
