name,rating,reviews,info,category,composite_score,high_review_flag,address
KALANK,4.9,553,4.9(553),French,11.215358001522336,True, · 52 Boulevard de Charonne
Cellar,4.9,552,4.9(552),Restaurant,11.213548046277095,True,9 Rue de Crussol
BOMBOLÒ Cantine à Pizza - Cave à Vins Italiens,4.9,438,€20–30,Italian,10.982218910376446,True, · 90 Bd Voltaire
On Partage - Cantine Caféinée,4.9,272,€10–20,Restaurant,10.505802066296,True, · 137 bis Rue de Charonne
Bistrot Beyrouth,4.8,1177,€20–30,Lebanese,11.870724107260276,True, · 103 Rue de Charonne
Marche Ou Crêpe,4.8,1107,$,Crêperie,11.809408932708635,True, · 18 Rue des Haies
F.I.E.F. / Fait Ici En France,4.8,985,€100+,Fine Dining,11.692641641172088,True,44 Rue de la Folie Méricourt
Ty Louis - Restaurant Breton Paris 12,4.8,981,€20–40,Restaurant,11.688572459565364,True, · 240 Rue du Faubourg Saint-Antoine
La Côte ou la Cuisse,4.8,821,4.8(821),Restaurant,11.510523109452429,True, · 8 Rue Tournefort
Terre Restaurant,4.8,678,4.8(678),French,11.319147287940396,True, · 23 Rue de Montreuil
TOWA Restaurant,4.8,563,$$,French,11.13327962813969,True, · 75 Rue Crozatier
Wanobi,4.8,449,€10–20,Japanese,10.907022887742254,True,22 Rue de Bagnolet
le temps au temps,4.8,326,€30–40,French,10.586897381366708,True,13 Rue Paul Bert
Les Artistes Gourmands,4.8,318,€20–30,Italian,10.562051382780176,True, · 83 Rue de la Roquette
Le rouge aux lèvres,4.8,292,€20–30,Restaurant,10.47675380226828,True, · 71 Rue des Grands Champs
Lou Tiap,4.8,254,€30–40,Restaurant,10.337334267018536,True, · 81 Rue de Bagnolet
Brasserie Rosie,4.7,5566,€20–30,Brasserie,13.324431942085836,True, · 53 Rue du Faubourg Saint-Antoine
One & One Paris,4.7,1699,€20–30,French,12.137795121671932,True,7 Pass. des Panoramas
Midi12 La Fayette,4.7,1462,$$,Crêperie,11.987560640309724,True, · 12 Rue La Fayette
L'Atelier Saisonnier,4.7,1389,€20–30,Restaurant,11.936339342754344,True,15 Rue de Charonne
Qui plume la lune,4.7,831,€100+,French,11.42262979485545,True, · 50 Rue Amelot
Fulgurances,4.7,710,€100+,Restaurant,11.26526497003536,True, · 10 Rue Alexandre Dumas
Oplato - Bar à planches,4.7,582,€20–30,Restaurant,11.066470447731438,True, · 69 Rue de Charonne
Le Chanard,4.7,533,$$,French,10.978521424165844,True, · 8 Rue Saint-Paul
Mokonuts,4.7,524,$$,Restaurant,10.961491684321045,True,5 Rue Saint-Bernard
