name,rating,reviews,info,category,composite_score,high_review_flag,address
ELENI,4.9,1023,€20–30,Greek,11.830494765951627,True, · 24 Rue Monge
Kitchen Ter(re),4.8,1999,$$,Restaurant,12.4004023345004,True,26 Bd Saint-Germain
Cook'n Saj,4.8,1721,€20–30,Mediterranean,12.25066079621154,True,5 Rue Bernard Palissy
Loufoque - Restaurant et bar à jeux,4.8,1206,€20–30,Restaurant,11.895064377287133,True, · 57 Rue Galande
Selva,4.8,1148,"4.8(1,148)",Latin American,11.845776576879512,True, · 22 Rue du Sommerard
Hugo & Co,4.8,1115,€50–60,French,11.81660968389422,True, · 48 Rue Monge
Oktobre,4.8,1075,$$$,French,11.780075940561762,True, · 25 Rue des Grands Augustins
Oriental Bowl - Bar à Couscous,4.8,913,€10–20,Tunisian,11.616735880594968,True, · 13 Rue de la Huchette
Les Crêpes de Louis-Marie,4.8,901,4.8(901),Crêperie,11.603505257608337,True, · 1 Rue de l'Arbalète
Toscanino,4.8,901,€10–20,Italian,11.603505257608337,True, · 4 Rue Mouffetard
La Côte ou la Cuisse,4.8,821,4.8(821),Restaurant,11.510523109452429,True, · 8 Rue Tournefort
Alliance,4.8,663,€100+,Haute French,11.296774990185863,True, · 5 Rue de Poissy
TERRONIA,4.8,487,$$,Italian,10.98826412308259,True," · Terronia, 11 Rue des Boulangers"
Le vent d'Armor,4.8,420,€100+,Fish restaurant,10.840254711277414,True, · 25 Quai de la Tournelle
Karavaki au Jardin de Luxembourg,4.8,375,€20–30,Greek,10.72692602597041,True, · 7 Rue Gay-Lussac
Kehribar,4.7,3580,€10–30,Turkish,12.883118079394745,True, · 1 Rue des Fossés Saint-Jacques
Brasserie Des Prés,4.7,3411,€20–40,French,12.834760782418645,True, · 6 Cr du Commerce Saint-André
Arrivederci pizzeria,4.7,2898,€20–30,Pizza,12.671776122880628,True, · 47 Rue Gay-Lussac
La Crète,4.7,2689,€20–30,Restaurant,12.596924656268865,True,85 Rue Mouffetard
Ze Kitchen Galerie,4.7,1631,€100+,Fine Dining,12.096948602621014,True,4 Rue des Grands Augustins
AGATA,4.7,1563,€20–30,Pizza,12.054362330421476,True, · 168 Bd Saint-Germain
La Pie Noir,4.7,1444,€30–50,French,11.97517231945277,True, · 5 Rue de la Montagne Ste Geneviève
Latin Quartier,4.7,1342,$$,Pizza,11.901916317531628,True, · 1 Rue Mouffetard
Nossa Churrasqueira Paris 5,4.7,1277,€10–20,Portuguese,11.85226885603254,True,1 Rue de l'École Polytechnique
Pépita,4.7,1163,€20–30,Brasserie,11.758758152518665,True, · 88 Bd Saint-Germain
