name,rating,reviews,info,category,composite_score,high_review_flag,address
Maslow - Restaurant Paris 1,4.9,8444,€20–30,Vegetarian,13.941211408968211,True, · 14 Quai de la Mégisserie
Restaurant Omar Dhiab,4.9,992,€100+,Haute French,11.799723107284873,True, · 23 Rue Hérold
Restaurant Tracé,4.9,285,€100+,Haute French,10.552489180268651,True,15 Rue de Richelieu
Baguette - Restaurant,4.9,270,€20–40,Restaurant,10.498421958998374,True, · 16 Rue Marie Stuart
Johana's Fish & Chips,4.8,974,€10–20,Fish & Chips,11.681411303642534,True, · 30 Rue Saint-Sauveur
Boutary,4.8,833,€100+,French,11.525033642166845,True, · 25 Rue Mazarine
Combo Restaurant - traiteur,4.8,422,€20–30,Restaurant,10.845005314036012,True, · 29 Rue Dauphine
Le Galibot,4.8,411,€20–30,Restaurant,10.818593214496234,True,17 Rue Paul Lelong
Voyage gourmand,4.8,299,€10–20,Chinese,10.500443573390688,True,50 Rue Rambuteau
Thaï Market Caffè House,4.8,298,€20–30,Restaurant,10.497093486505404,True, · 280 Rue Saint-Honoré
PB Poulet Braisé Châtelet,4.7,6931,€10–20,Restaurant,13.543759381917983,True, · 12 Rue de la Cossonnerie
Hoppy Corner,4.7,1550,€10–20,Beer hall,12.046010209913293,True,34 Rue des Petits Carreaux
Au Vieux Comptoir,4.7,864,$$$,French,11.461572768804055,True, · 17 Rue des Lavandières Sainte-Opportune
Juveniles,4.7,526,$$,French,10.96530121273771,True, · 47 Rue de Richelieu
Sushi-B,4.7,479,€100+,Sushi,10.871700597410914,True, · 5 Rue Rameau
Granite,4.7,451,€100+,Haute French,10.81146733950268,True, · 6 Rue Bailleul
Boutique yam'Tcha,4.7,426,€10–20,Restaurant,10.754439346269372,True,4 Rue Sauval
Restaurant de La Cordonnerie,4.7,348,$$,Restaurant,10.552202479774476,True,20 Rue Saint-Roch
Adam et Eve Café - Restaurant Végétarien,4.7,317,€20–30,Vegetarian,10.45890177387728,True,41 Rue Saint-Honoré
Tigermilk,4.6,5446,€20–30,Restaurant,13.202636673233703,True,77 Rue d'Aboukir
Dalmata,4.6,4265,€10–20,Pizza,12.95819745992578,True, · 8 Rue Tiquetonne
Petit Bao - Etienne Marcel,4.6,4165,€20–30,Chinese,12.934471554600943,True, · 116 Rue St Denis
Pizzeria Iovine's,4.6,3886,€20–30,Italian,12.865135629937384,True, · 7bis Rue du Colonel Driant
Casa Festa,4.6,1915,€10–20,Pizza,12.157472901614746,True,16 Rue Jean-Jacques Rousseau
Omusubi Gonbei Paris Palais-Royal,4.6,1834,€1–10,Japanese,12.11425465281641,True, · 27 Rue des Petits Champs
