name,rating,reviews,info,category,composite_score,high_review_flag,address
adraba,4.9,1076,"4.9(1,076)",Restaurant,11.88100574072173,True, · 40 Rue Véron
Les Confrères,4.9,1009,€20–40,French,11.816715020353609,True, · 57 Rue Rodier
Aléa,4.9,839,4.9(839),French,11.632210706467204,True,39 Rue Lamarck
Signature,4.9,735,4.9(735),Asian Fusion,11.499870499212836,True,12 Rue des Trois Frères
La Travesía,4.9,564,€20–30,Lebanese,11.23505425149806,True, · 19 Rue Muller
Les Vins de Montmartre,4.9,317,€30–40,French,10.65890177387728,True, · 14 Rue des Trois Frères
Les Inséparables,4.9,297,€20–30,Restaurant,10.5937321388027,True,12 Rue Francœur
Sacrée Fleur,4.8,2869,$$,French,12.761718815981364,True, · 50 Rue de Clignancourt
La Boîte aux Lettres,4.8,2043,€20–30,French,12.422174594817625,True, · 108 Rue Lepic
Le 17.45 Paris Pigalle - Planches à composer,4.8,1992,€20–30,French,12.396894438144544,True,49 Rue Jean-Baptiste Pigalle
Bistro L'Olivier,4.8,1484,€30–40,French,12.102496423727326,True,88 Rue Ordener
Bobby,4.8,1444,€20–30,Italian,12.075172319452772,True, · 29 Rue Lambert
Il Padrino,4.8,1439,€20–30,Italian,12.071703706887368,True,49 Rue Custine
Fric-Frac,4.8,1289,€10–20,Restaurant,11.961622002939189,True, · 4 Rue des Trois Frères
L'Atelier Ramey,4.8,1164,€40–60,French,11.859617628291382,True, · 23 Rue Ramey
Le 975,4.8,1003,$$,French,11.710750787961937,True,185 Rue Marcadet
L'Annexe,4.8,966,€30–40,French,11.673163834212517,True, · 13 Rue des Trois Frères
Les Apôtres de Pigalle,4.8,956,€20–30,Tapas Bar,11.6627579130514,True,2 Rue Germain Pilon
CAJUN FACTORY,4.8,897,4.8(897),Cajun,11.599055862058796,True, · 69 Rue Marguerite de Rochechouart
Chantoiseau,4.8,774,4.8(774),French,11.451571873589728,True, · 63 Rue Lepic
Le Lamarck,4.8,712,4.8(712),Restaurant,11.368077911411977,True, · 8 Rue Lamarck
La Couvée Montmartre,4.8,684,4.8(684),French,11.32795791762255,True,32 Rue Véron
Pink Fizz,4.8,606,€20–30,Japanese,11.206879986069314,True,46 Bd de Clichy
Patoche - Microbrasserie,4.8,509,€10–20,Brewpub,11.03244801655052,True, · 32 Rue des Trois Frères
Chez Pitou,4.8,470,4.8(470),Restaurant,10.952732694704103,True,28 Rue Tholozé
