name,rating,reviews,info,category,composite_score,high_review_flag,address
burger 47,4.9,776,€10–20,Hamburger,11.55415252018322,True, · 47 Av. Raymond Poincaré
Talai Lamo Restaurant,4.9,376,€20–30,Tibetan,10.829589143389896,True, · 18 Boulevard Exelmans
Mallory Gabsi,4.8,1954,€100+,Haute French,12.377633832602728,True, · 28 Rue des Acacias
Langousta,4.8,491,4.8(491),Seafood,10.99644412779452,True, · 20 Rue Singer
HSP La Table - Huîtres et Saumons de Passy,4.8,433,$$,Oyster Bar,10.870737728002489,True,17 Rue de l'Annonciation
BAEZ,4.8,404,4.8(404),Argentinian,10.80141487796115,True, · 2 Rue de Sontay
Pleine Terre,4.8,334,€100+,Haute French,10.6111409929767,True,15 Rue de Bassano
New Jawad Longchamp,4.7,4841,€20–30,Indian,13.184876589939694,True, · 30 Rue de Longchamp
Mayfair Garden,4.7,2144,$$,Indian,12.370428522190691,True, · 33 Rue de Longchamp
Pop's,4.7,1062,€20–30,French,11.667909201801884,True, · 38 Rue du Ranelagh
Le Bizetro,4.7,851,$$,French,11.446412128573376,True, · 6 Rue Georges Bizet
Le CasseNoix,4.7,843,$$,French,11.436966958001856,True, · 56 Rue de la Fédération
Les Coltineurs,4.7,606,4.7(606),French,11.106879986069314,True, · 97 Av. de Versailles
La Petite Tour,4.7,605,$$$,French,11.105228458030842,True, · 11 Rue de la Tour
Sunflower Café,4.7,414,€10–20,Restaurant,10.725865973825314,True,41 Av. de Suffren
Le Traiteur du Bois le Vent,4.7,394,€10–20,Lebanese,10.676350909297934,True,63 Rue de Boulainvilliers
Lucia Pasta & Pizza,4.7,351,€10–20,Italian,10.560786223465865,True,19 Rue Gustave Courbet
Schum,4.7,317,€20–30,Restaurant,10.45890177387728,True,50 Rue Lauriston
La famille & cie,4.7,298,€20–30,Restaurant,10.397093486505405,True, · 6 Rue Fourcade
Settebello,4.7,252,$$$,Italian,10.229429087511424,True, · 9 Rue Duban
Le Drugstore,4.6,3705,"4.6(3,705)",Brasserie,12.817438537730188,True, · 133 Av. des Champs-Élysées
L'Oiseau Blanc,4.6,1331,€100+,Fine Dining,11.793685818395112,True, · 19 Av. Kléber
Plan B - Bar bières crafts,4.6,883,€10–20,Bar,11.38332520060396,True,28 Rue de Lourmel
Les Saveurs du Maroc,4.6,858,€20–30,Moroccan,11.35460409948796,True,51 Rue Rouelle
Le Paris Seize,4.6,816,$$,French,11.304414354964106,True, · 18 Rue des Belles Feuilles
