name,rating,reviews,info,category,composite_score,high_review_flag,address
Chenapan,5.0,384,€100+,Restaurant,10.950642552587729,True, · 28 Rue Louise-Émilie de la Tour d'Auvergne
Le Cancan Pigalle - Restaurant/Bar/Scène,5.0,292,5.0(292),Restaurant,10.676753802268282,True, · 3 Rue de Douai
Les Confrères,4.9,1009,€20–40,French,11.816715020353609,True, · 57 Rue Rodier
Fimmina - Pizzeria Paris 9,4.9,628,€10–20,Pizza,11.3425401664682,True, · 43 Rue Laffitte
Elle & Dee's,4.9,556,€10–20,Salad,11.220768294250584,True, · 1 Rue Bourdaloue
La Cantine de la Cigale,4.9,462,€10–20,Restaurant,11.03556489108174,True,124 Blvd Marguerite de Rochechouart
Perception,4.9,456,€100+,Restaurant,11.022492809514386,True,53 Rue Blanche
GOSIER,4.9,404,4.9(404),Restaurant,10.901414877961152,True,27 Rue Rodier
Ciccio Bar et Cuisine,4.9,397,4.9(397),Italian,10.883936280687193,True, · 20 Av. Trudaine
Peppe Pizzeria Martyrs,4.8,10568,€20–30,Pizza,14.06558584620216,True, · 61 R. des Martyrs
Poni,4.8,2317,€20–30,Brasserie,12.548028524432375,True, · 24 Rue Saint-Lazare
La Boîte aux Lettres,4.8,2043,€20–30,French,12.422174594817625,True, · 108 Rue Lepic
Le 17.45 Paris Pigalle - Planches à composer,4.8,1992,€20–30,French,12.396894438144544,True,49 Rue Jean-Baptiste Pigalle
Pépé Ronchon - Pizzeria Napolitaine,4.8,1030,€20–30,Pizza,11.737314081223682,True,31 Rue Saint-Lazare
L'Annexe,4.8,966,€30–40,French,11.673163834212517,True, · 13 Rue des Trois Frères
Les Apôtres de Pigalle,4.8,956,€20–30,Tapas Bar,11.6627579130514,True,2 Rue Germain Pilon
GEGEOR - Caviste & Restaurateur,4.8,868,$$,Restaurant,11.56619171466035,True, · 1 Rue Moncey
Chantoiseau,4.8,774,4.8(774),Restaurant,11.451571873589728,True, · 63 Rue Lepic
ASPIC,4.8,621,€100+,Haute French,11.23133108193348,True, · 24 Rue Louise-Émilie de la Tour d'Auvergne
Pink Fizz,4.8,606,€20–30,Japanese,11.206879986069314,True,46 Bd de Clichy
Gargouille,4.8,572,€20–30,Mediterranean,11.149138991379797,True,7 Rue Jean-Baptiste Pigalle
Chez Pitou,4.8,470,4.8(470),Restaurant,10.952732694704103,True,28 Rue Tholozé
ZINCOU - Vins & Tapas,4.8,469,€20–40,Restaurant,10.95060276844628,True, · 50 Rue Blanche
LAO Pigalle,4.8,404,€20–30,Restaurant,10.80141487796115,True,7 Rue de Douai
Titi Graille,4.8,293,4.8(293),French,10.480172609017067,True,98 R. des Martyrs
