name,rating,reviews,info,category,composite_score,high_review_flag,address
Akabeko - Restaurant Fusion Franco Japonais,4.9,391,€100+,French,10.868707559985369,True,40 Rue de l'Université
Hestia,4.9,288,4.9(288),French,10.562960480135946,True,8 Rue de la Huchette
Kitchen Ter(re),4.8,1999,$$,Restaurant,12.4004023345004,True,26 Bd Saint-Germain
Cook'n Saj,4.8,1721,€20–30,Mediterranean,12.25066079621154,True,5 Rue Bernard Palissy
Bistro des lettres,4.8,1292,€20–40,Restaurant,11.963946684342549,True, · 52 Bd Saint-Germain
Assanabel - Saint-Germain-des-Prés,4.8,1197,€30–40,Lebanese,11.887573705557973,True,38 Rue Jacob
Assanabel - Saint-Germain-des-Prés,4.8,1197,€30–40,Lebanese,11.887573705557973,True,38 Rue Jacob
Oktobre,4.8,1075,$$$,French,11.780075940561762,True, · 25 Rue des Grands Augustins
Les Deux Colombes,4.8,1033,€20–30,Restaurant,11.740222469119638,True,4 Rue de la Colombe
Combo Restaurant - traiteur,4.8,422,€20–30,Restaurant,10.845005314036012,True, · 29 Rue Dauphine
Japanos Ramen Bar Saint-Germain-des-Pres,4.8,280,€10–20,Authentic Japanese,10.43478960316925,True,41 Rue Dauphine
La Crème de Paris Notre-Dame,4.7,7617,$$,Crêperie,13.638137870372788,True, · 1 Quai Saint-Michel
Brasserie Des Prés,4.7,3411,€20–40,French,12.834760782418645,True, · 6 Cr du Commerce Saint-André
Le Calife,4.7,2121,€100+,French,12.359642954564682,True, · Port des Saints-Pères
Apégo,4.7,1646,€30–40,Vegetarian,12.106103381237016,True, · 22 Rue des Saints-Pères
AGATA,4.7,1563,€20–30,Pizza,12.054362330421476,True, · 168 Bd Saint-Germain
Crêperie Little Breizh,4.7,1240,$,Crêperie,11.822866658599082,True, · 11 Rue Grégoire de Tours
Pépita,4.7,1163,€20–30,Brasserie,11.758758152518665,True, · 88 Bd Saint-Germain
Chez Germaine,4.7,872,$$,French,11.47078942390898,True,30 Rue Pierre Leroux
Steam Bar,4.7,859,$$$,Dim Sum,11.455768921984255,True, · 2 Rue du Sabot
Didon,4.7,834,4.7(834),Haute French,11.426233402358749,True, · 8 Rue du Dragon
Ministry of Spice - Modern Indian Cuisine,4.7,764,4.7(764),Indian,11.338567789166522,True, · 22 Av. Duquesne
Chez Marcel,4.7,636,$$,French,11.155198563340122,True,7 Rue Stanislas
Restaurant Cléo,4.7,586,€100+,Restaurant,11.073319789577011,True, · 19 Bd de la Tour-Maubourg
Au pied de fouet Restaurant Traditionnel,4.7,559,€20–30,French,11.0261494731551,True,45 Rue de Babylone
